# norb=10 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas610_155_lucj.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
00000001110000000111 977423
00000010110000001011 3912
00000101010000010101 3623
00000101010000000111 2576
00000001110000010101 2442
00000001110100000101 1393
01000001010000000111 1363
00100000110000000111 922
00000001110010000011 911
00000001110000110100 497
00001101000000000111 481
00000001110000010011 285
00000100110000000111 279
00000010110000000111 170
00000001110000001011 159
00001001100000100110 154
00001010100000000111 146
00000001110000101010 136
01000000110000000111 124
00000100110000001011 123
00000001110000011001 118
00000001110100000011 116
00000110010000000111 113
00000101010000001101 111
00000010110000010011 109
00000101100000010110 108
00000010110000001101 106
00100001010000000111 104
00000011010000010101 103
00000011010000001011 98
00000001110000001101 97
00000001110010000101 88
00000011010000000111 84
00000011100000001110 82
00000001110001010100 67
00010101000000000111 67
00000001110000010110 61
00000100110000010011 57
00000011010000001101 54
00000101100000000111 53
10000001100000000111 53
00000001111010000010 53
00000001110000100110 50
00000001110110000001 50
01100000010000000111 49
00000001111000000110 49
00000001110000001110 44
10100000100000000111 44
00000001110001000110 41
00000011100000000111 40
00000101010000010011 40
00001001100000000111 39
00010001100000000111 39
00010010100000000111 37
00000100110000010101 36
00000001110001001010 34
00010001100001000110 30
00001000110000100011 27
00001001100001000110 23
00001001010000100101 23
00000101010000001011 20
00100000110010000011 20
00010001100000100110 18
01000001010100000101 17
00001001010000000111 15
00000110010000001011 12
00000001111100000100 12
00000010110000010101 12
11000001000000000111 11
00001011000000000111 10
00000010110000011001 10
00000110010000011001 9
00000001110000100101 8
00100100010000010101 7
00000001110000101100 6
00000010110100001001 6
00000101010010000011 5
01000010010000001011 5
00000001110001000101 5
00010001010000000111 4
00000001110000111000 3
00010011000000000111 2
00000001110010010001 2
00100000110000010101 2
00100000110100000101 2
01000001010010000011 2
00001101000000010011 2
00010000110000000111 2
00000001110001001100 2
01000001010000010101 2
00000101010100000101 2
00010001010000100101 2
00000101010010010001 2
10000001011000000101 2
00000001110000100011 2
00010001010001000101 2
00001000110000000111 2
10000010100000001011 1
00001010100000101010 1
10000001100100000101 1
00100100100000010110 1
10000000111000000011 1
01000000110000010101 1
00000110100000001011 1
00001110000000000111 1
01000000110100000011 1
00100100010000000111 1
00001101000000110100 1
00001110000000001011 1
00000011010000010011 1
01000001010010000101 1
00000101011010010000 1
10000101000000010101 1
10100001000000000111 1
00010000110000100011 1
00101100000000000111 1
00000101100000010101 1
00001000110001000011 1
00000001110100000110 1
00001101000010000011 1
00000101100100010100 1
00000101010001011000 1
00010101000100000101 1
00001001100000010101 1
00100001011000000110 1
00000001110000011100 1
00100001100010000110 1
10100100000000010101 1
01001001000000000111 1
00000111000000001110 1
00000001110100001001 1
01000001010000001110 1
00100001100000000111 1
00000100110100000101 1
