# norb=10 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas610_155_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
00000001110000000111 791925
00000101010000010101 45697
00000010110000001011 45268
00000010110000010101 12072
00000101010000001011 11828
00000110010000011001 6907
00000011010000010011 5493
00000100110000001101 5435
00001001100000100110 5136
00001001100000010101 3918
00000010110000100110 3845
00001001100000001011 3775
00000101010000100110 3758
00000001110000011001 1978
00000110010000000111 1917
00000001110000101010 1844
00001010100000000111 1813
00001101000000000111 1808
00000001110000110100 1805
00000010110000001101 1738
00000101010000010011 1713
00000100110000010101 1713
00000010110000010011 1706
00000011010000010101 1696
00000101010000001101 1683
00000100110000001011 1679
00000011010000001011 1664
00000100110000010011 1272
00000011010000001101 1196
00000011100000001110 1148
00000101100000010110 1128
00000001110010000011 1024
00100000110000000111 995
01000001010000000111 968
00000001110100000101 958
00010001100000100110 707
00001001100001000110 703
00010001100000001011 653
00000010110001000110 650
00000101010001000110 638
00010001100000010101 633
00000110010000101010 601
00001010100000011001 587
00010001100001000110 578
00001101000000011001 576
00000110010000110100 564
00001010100000101010 533
00001101000000110100 485
00000101100000100101 398
00001000110000001110 390
00001001010000010110 373
00000011100000100011 345
00001110000000010101 321
00000010110000111000 313
00000101010000111000 303
00001110000000001011 301
00001000110000100011 300
00001001010000100101 293
01000001010100000101 289
00100000110010000011 285
00000001110001010100 279
00000001110001001010 272
00010010100000000111 267
10000001101000000110 256
00010101000000000111 244
00001010100000110100 222
00100000110100000101 204
00001101000000101010 202
00000100110000100110 200
01000001010010000011 199
10000001100100000101 196
00000001110110000001 192
00000011010000100110 192
01100000010000000111 186
00001001100000001101 185
01000001011000000110 183
10000001100010000011 171
00001001100000010011 162
00100000111000000110 158
00001110000000111000 158
00000001110100000011 108
00000001111100000100 102
00100001010000000111 99
10100000100000000111 98
00000101100001000101 98
01000000110000000111 97
00000001110010000101 96
00000001111010000010 96
00001011000000000111 96
11000001000000000111 95
00010101000000011001 95
00000011100001000011 95
00010000110000001110 94
00000110010001001010 93
00000110100000011010 93
00000001110000110010 92
00001110000000100110 92
00000001110000101100 91
00000111000000011100 90
00001001100000111000 84
00010001010000010110 77
00001100100000000111 77
00010010100000011001 76
00000110010001010100 76
01000010010000001011 68
00001010100001001010 67
00010010100000101010 66
00010101000000110100 63
10000001100000000111 62
00000101010010010001 61
00000001111000000110 60
00100100010000010101 60
00001100010000011100 59
00001101000001010100 56
00000110100000101001 51
00000010110001011000 51
00000101010001011000 48
00010010100001001010 47
00000111000000110001 47
00000010110100001001 46
00010101000001010100 43
00001010010000011010 42
00010110000000010101 40
00001100100000011001 39
00001101000001001010 37
00010001100000001101 36
00001100100000101100 36
00010001100000010011 34
00000011010001000110 32
00010110000000001011 31
00010101000000101010 31
00010010100000110100 30
01000001010010000101 29
01000010010100001001 27
00001010100001010100 26
00001010100000101100 26
01000000110100000101 25
00000110010000101100 24
00000100110001000110 24
00001011000000101010 24
00001100010000110001 24
00001011000000011001 24
00001011000000110010 24
00010110000000111000 23
01000001010100000011 23
00100001010010000011 23
00001010100000110010 23
00000011010000111000 23
00000110010000110010 22
10000010101000001010 22
00001101000000101100 22
00001001010000001110 22
00100001010100000101 22
00010010100001010100 21
00100100010000001011 21
01000000110100000011 21
00001110000001011000 21
10000101001000010100 21
01000000110010000011 20
01000000111000000110 20
00001101000000110010 20
00100100010010010001 20
00000101100000100011 20
00001010010000101001 19
01000010010000010101 19
10000010100100001001 19
00010011000000000111 18
00100000110010000101 17
00001110000001000110 17
00001100100000110010 17
00100000110100000011 17
00000001111100000010 17
00000011100000100101 17
00001100100000110100 16
00001110000000010011 16
00001100100000101010 16
00000001110001010010 16
00100001010010000101 15
00100001011000000110 15
00001001100001011000 14
00001110000000001101 14
00000101010100001001 14
00001000110000010110 14
00000100110000111000 14
00010100100000000111 14
10000001100100000011 13
00010010010000011010 13
00000100110010001001 13
00010110000000100110 13
00100001101000000011 12
00001011000000110100 12
00010100010000011100 12
00010001100000111000 12
00000001111010000100 12
01000100010000001101 12
00010101000001001010 12
00101000100000100110 12
00010110000001011000 11
10000101000010010001 11
11000000100000000111 11
00000011010100010001 10
00000010110010010001 10
00010100100001001100 10
00100100010000100110 10
00001000110001000011 9
10000001100010000101 9
10000000111000000011 9
00100010010000010011 9
00001011000000101100 8
11000010000000001011 8
10000000110010000110 8
00001001010001000101 8
00000101100001000011 7
00100100011000010100 7
00001001100100001001 7
00000110010100000101 7
00000111000001010001 7
01001001000000001011 7
00010101000000101100 7
10000010101000010100 7
00100100010100001001 7
00000001110001001100 7
00010001010000001110 6
00001101000001001100 6
10000001011000000101 6
00000010110100100100 6
00000110100001001001 6
00000010110010100010 6
00000110010001001100 6
10100001000000000111 6
00000001110100101000 6
00010000110000100011 6
01000001010000110100 6
00101000100000010101 5
00010001100001011000 5
01000010010000001101 5
01000011000000001110 5
10000001010100000110 5
10100100000000010101 5
00001010100001010010 5
01000010010010100010 5
00100100010000010011 5
01000010010000100110 5
00000011100001000101 5
10000010100000001011 5
00001001100100100100 5
01000001010000101010 4
01000001100100000110 4
00001001100010100010 4
00001010100001001100 4
01000101000000010110 4
00100010010100010001 4
00100001100010000110 4
00000101010100100100 4
01001001000000100110 4
00000100110001011000 4
00000010111000001010 4
01100000010010000011 4
00000100110010010001 4
10000100101000001100 4
00010011000000101010 4
00100100011000001010 4
00101000100000001011 4
00001001100010010001 4
01000010011000001010 4
00010000110000010110 4
01100000010100000101 4
00101000100100001001 3
00010011000001010100 3
00010001010001000101 3
00001100100001001100 3
10000001010010000110 3
00001101000001010010 3
00010101000001001100 3
00010110000001000110 3
00000010111010010000 3
00010110000000010011 3
01001001000000010101 3
00000101010010100010 3
00100000110110000001 3
00010011000001001010 3
01000001101000000101 3
00010010100000110010 3
00010001010000100101 3
00000101011000001010 3
00001100100001001010 3
11000100000000001101 3
00001100010000011010 3
00000011010100001001 3
01000010010010010001 3
00010011000000110100 3
10000101000000010101 3
00010011000000011001 3
00001011000001010010 2
00000011100010001010 2
00000001110010110000 2
10000010100010010001 2
00100010010010001001 2
10000010100010100010 2
10000101001000001100 2
01101000000000010101 2
00101001000000100110 2
01001010001000000110 2
00000101100100010100 2
00000100110100010001 2
01001001000100001001 2
10000110001000011000 2
01010001000100001001 2
00100001101000000101 2
00010010100001010010 2
00010100100000011001 2
00000111000001001001 2
10100010000000010011 2
00010100100000101100 2
00001011000001010100 2
00101000100100100100 2
00000101100010010010 2
00001101000010110000 2
01000010010001000110 2
01000001010110000001 2
00010010010000011100 2
00000011100100001100 2
10000101001000010010 2
01000100010000010011 2
11000010000000010101 2
01010001000010010001 2
00100000110001001010 2
00010100100001010010 2
00001010010001001001 2
00010100100001010100 2
00000111000000101001 2
00100000110000011001 2
00000011010001011000 2
00000010110110100000 2
00000101010101000100 2
00010010100100000101 2
00001100100001010100 2
01000100011000001100 2
01000100010100010001 2
00000010111100001000 2
00101000101000010100 2
00000101010110100000 2
00100000110000101010 2
10000100100010001001 2
00010001100100100100 2
00010011000001010010 2
10000101000100001001 2
00010001100101000100 2
01000001010010110000 2
00001010010001100100 2
00010011000000110010 2
00000101011010010000 2
00000110100000110001 2
00110000100000100110 2
00001001010010100001 2
11000001000100000101 2
10000011001000010010 2
00101100000000000111 2
11000001001000000110 2
10000010100000010101 2
00101000100010100010 1
10000101001000001010 1
01000101001000001001 1
