# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_equilibrium_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 940770
010011010011 9557
001101001101 9371
000111011001 3374
011001000111 3319
010011001101 3067
001101010011 3018
001011010011 2449
010011001011 2414
010101010011 2407
010011010101 2362
001101001011 2354
001101010101 2351
001011001101 2292
010101001101 2289
001011001011 1966
010101010101 1952
001110001110 1259
010110010110 1228
011001011001 762
101100000111 137
000111101100 132
110010000111 123
100110100110 113
000111110010 104
010110100011 64
100101001110 62
100011010110 60
001110100101 56
000111101010 51
101010000111 51
100011100011 49
000111110100 49
110100000111 39
100101100101 30
011100011100 26
001110100011 24
011010011010 23
100011001110 21
010011100110 21
001101100110 17
100101010110 15
001011010101 15
100110010011 15
010101001011 15
100110001101 14
010110100101 12
111000001101 11
001101111000 9
010101100110 7
010011111000 7
001011100110 7
111000010011 7
111000010101 6
100110010101 6
101100101100 4
100110001011 4
110001011010 3
110100011001 3
010101111000 3
110010011001 3
011001110010 2
011010101001 2
101100011001 2
011100101001 2
110010110010 2
011001101100 2
100110111000 2
101010101100 1
111000001011 1
001011111000 1
110100101100 1
011001110100 1
101100110100 1
110010101100 1
