# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_very_stretched_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 328808
011001011001 80942
100110100110 61537
001101001101 33305
010011010011 32222
010101010011 19289
010011010101 19199
001011001101 18439
001101001011 18244
001101010101 17416
010101001101 17335
010011001011 16158
001011010011 16075
000111011001 12803
011001000111 12697
010101010101 11471
001101100110 10856
100110001101 10635
010011100110 10608
100110010011 10441
001011001011 10406
100101001110 9035
100011010110 9030
001110100101 9017
010110100011 8957
111000111000 7729
100110010101 6880
010101100110 6609
100110001011 6395
001011100110 6228
000111110010 6206
101100000111 6105
110010000111 6100
010011001101 6021
001101010011 5965
000111101100 5883
010110100101 5574
001110100011 5564
100101010110 5541
100011001110 5513
011001101100 3954
011001110010 3936
110010011001 3910
101010000111 3830
101100011001 3793
000111101010 3782
101001011100 3668
000111110100 3628
011100101001 3610
011010110001 3596
110100000111 3578
110001011010 3533
110010110100 3230
101010101100 3199
101100101010 3137
110100110010 3072
101010011001 2592
011001101010 2470
011001110100 2419
110100011001 2287
011100110001 2271
110001011100 2210
110010110010 2199
101001011010 2170
011010101001 2155
101100101100 2125
110010101010 1998
101010110010 1945
101100110100 1864
001011010101 1862
010101001011 1833
110100101100 1819
001101111000 1273
111000010011 1224
010011111000 1182
111000001101 1166
111000010101 818
010101111000 765
001011111000 740
111000001011 698
111000100110 491
100110111000 462
010110010110 310
001110001110 310
100011100011 228
100101100101 226
110010101100 217
110001110001 159
101100110010 152
011010011010 136
101001101001 127
011100011100 119
101010110100 106
110100101010 78
110100110100 48
101010101010 41
100101100011 3
100011100101 3
011100011010 2
001110010110 1
011010011100 1
010110001110 1
