ordering,perm,E_var,err_var_mHa,retained_J,n_unique,n_alpha_tot,n_beta_tot,top1,dim,E_sub,err_sub_mHa,pct_corr,depth,cx
identity,0123456789,-108.64778006887195,196.52036343998702,0.2873536075155891,146,39,39,0.977585,225,-108.8184866406579,25.81379165404485,89.9548581363424,2586,0
p01,2590783416,-108.63476075423846,209.53967807348306,0.21351062244259778,115,34,34,0.986134,225,-108.805821429987,38.47900232493373,85.026336219561,2535,0
p02,2847319065,-108.59094802041301,253.35241189893054,0.2306335970710036,77,32,33,0.990608,225,-108.8220226014498,22.277830862137193,91.33083684784168,2540,0
p03,3186970425,-108.626674481136,217.62595117593264,0.2095571326848594,132,35,38,0.979061,225,-108.7945757994807,49.72463283124284,80.65022769214713,2547,0
p04,3976501824,-108.59866572158705,245.63471072488596,0.23294068702602144,94,31,30,0.985494,225,-108.8025690708324,41.73136147953471,83.76071784247871,2529,0
p05,0841723956,-108.62171027067984,222.59016163209822,0.20373249110891956,109,36,38,0.988915,225,-108.8195793869779,24.721045334032965,90.38008787216035,2379,0
p06,7245831609,-108.6412077845536,203.09264775833924,0.2263090709592158,119,33,35,0.978637,225,-108.7912131503164,53.0872819955448,79.34169121886114,2477,0
p07,2519086374,-108.60571714361997,238.5832886919701,0.3044550866471124,120,34,36,0.986961,225,-108.8240399301353,20.260502176640216,92.11585723938373,2607,0
p08,5294863710,-108.64267820133803,201.62223097391063,0.23196214520012517,123,39,37,0.978223,225,-108.8022448810258,42.0555512861398,83.63456308607006,2586,0
p09,1420693857,-108.61482856011949,229.47187219244825,0.1454054033157669,87,30,28,0.988585,225,-108.7940289974585,50.27143485344254,80.43744593741911,2357,0
p10,2013948657,-108.61765693837924,226.64349393269845,0.2019501778857106,117,39,35,0.988009,225,-108.7992336292605,45.06680305144073,82.46276889267818,2570,0
p11,2059483716,-108.62795218358768,216.34824872425895,0.1548157013889487,117,33,30,0.986486,225,-108.8026963035715,41.60412874044539,83.81022900809835,2488,0
p12,0874562139,-108.62906765145593,215.23278085601305,0.2092286218785164,123,39,35,0.986444,225,-108.8190340604872,25.266371824741896,90.16788030364054,2570,0
p13,8054372961,-108.60957988725586,234.72054505607787,0.1997790013511812,111,38,38,0.989692,225,-108.8242922495952,20.008182716736655,92.2140444721491,2526,0
p14,6579301248,-108.59320164779183,251.09878452011003,0.18054520269322355,71,29,28,0.9875,225,-108.7957758840865,48.524548225444164,81.117226894558,2526,0
p15,8172640953,-108.61587230661664,228.42812569530224,0.2563210382736304,99,29,31,0.983268,225,-108.7940289974585,50.27143485344254,80.43744593741911,2364,0
p16,0472635918,-108.62410281737992,220.19761493201884,0.2714476067960903,145,39,38,0.975125,225,-108.8078137940775,36.486638234435986,85.80164192440778,2524,0
p17,6237098145,-108.61424689979405,230.05353251788563,0.3101049577944687,126,38,39,0.986321,225,-108.7968137906301,47.48664168184291,81.52111635843144,2552,0
p18,9752803416,-108.66353462401761,180.76580829432487,0.2608203348140015,211,47,43,0.949955,225,-108.8165542028456,27.746229466345085,89.20287205745072,2570,0
p19,0836497215,-108.64906679289864,195.23363941330274,0.23706894721234323,149,37,43,0.966759,225,-108.814433219465,29.86721284693772,88.37751562651452,2508,0
p20,2756819403,-108.63300116122296,211.29927108897562,0.27242614862198655,180,42,42,0.960847,225,-108.8222128256641,22.087606647843927,91.40486042578355,2541,0
p21,5836412790,-108.63000241959571,214.2980127162275,0.21666034080302335,131,40,41,0.984213,225,-108.800588383044,43.71204926793837,82.98995583708339,2543,0
p22,9537612480,-108.64026167435705,204.03875795489057,0.22650533688468172,137,37,37,0.974976,225,-108.8222128256641,22.087606647843927,91.40486042578355,2567,0
p23,2938704165,-108.61610258796357,228.1978443483723,0.13869229863726315,72,27,24,0.989287,225,-108.7476512152956,96.64921701633489,62.39006229879493,2307,0
p24,0972835641,-108.65662746062281,187.67297168912478,0.24236881205647415,154,36,39,0.979631,225,-108.8017196652629,42.580767049045676,83.43018137732592,2432,0
p25,4135860729,-108.62846421141569,215.8362208962501,0.15694755546932465,114,29,32,0.984859,225,-108.7883902352666,55.91019704533551,78.24318610484167,2541,0
