ordering,permutation,err_mHa,retained_J,captured,retained_J_recomputed,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,s2_ss_L3,s2_ss_L4,s2_ss_L5,s2_ss_L6,s2_ss_L7
identity,123456789,31.870454303643218,0.2873536081379665,0.9788639618129475,0.16864483163522764,0.25231716898174583,0.19410131653786517,0.3105330214256265,0.40575668776289975,0.3796947841105427,0.43181859141525675,0.7966272075364935,0.5932544150729872,1.0,0.33610082361333704,0.09366221602206139,0.09366221602206139,0.5932544150729872,0.7749508965538847,0.8556353210123624
max_captured_ORACLE,1749023586,24.26703865324953,0.2661201990928504,0.9831497139805824,0.15386364277847925,0.25421561007047294,0.18069206913588734,0.32773915100505857,0.5657877682724731,0.24675518959179282,0.8848203469531534,0.680894182034885,0.36178836406977005,1.0,0.26448530419372673,0.05444435936858368,0.12662669886093086,0.36178836406977005,0.45545058009273215,0.7762940736833311
max_retainedJ,2810974536,44.32014149094243,0.319515255718449,0.966754661228433,0.20467336738282724,0.31644720915889335,0.26257237287221613,0.3703220454455705,0.38362704928134095,0.6581271620990841,0.10912693646359778,0.6255013839677118,0.27949346280971177,0.9715093051257119,0.25222524677747266,0.07218233949234727,0.09219141786777776,0.27949346280971177,0.47484520296929283,0.7610451838678384
r000,214985367,46.56101398964552,0.2382615813402766,0.965979281459412,0.1284641786086156,0.17789497938003251,0.18115016269518353,0.1746397960648815,0.29345560672887205,0.15199186574209286,0.4349193477156512,0.536091169746624,0.07218233949324783,1.0,0.16212781692295442,0.0,9.005474553968703e-13,0.07218233949324783,0.41564065504077213,0.6654367545671357
r001,2815690473,54.92247062583999,0.2306125668996637,0.9334801605062696,0.11897715816344563,0.21404387716900342,0.18734426738559945,0.2407434869524074,0.21222083655033108,0.35709960628915827,0.06734206681150393,0.5632092335803689,0.1264184671607378,1.0,0.1468076585854151,0.0,0.0,0.1264184671607378,0.1664366239122321,0.6992348923598656
r002,4638592710,72.12048962684037,0.208210757904547,0.9415751108659168,0.09929366836862848,0.30267375898578047,0.1718502939854598,0.43349722398610113,0.4022122766039353,0.3514227976699739,0.4530017555378967,0.5764333819748407,0.1528667639496814,1.0,0.15548044947173836,0.0,0.07218233949234716,0.1528667639496814,0.2250491034420287,0.47484520296839233
r003,1497852360,44.41642877804952,0.1795456311693343,0.965053979900405,0.06771682123837222,0.19877987505952335,0.15681626316664093,0.24074348695240577,0.26179985691938906,0.025861128365933125,0.497738585472845,0.537122603021656,0.07424520604331201,1.0,0.13569157102044158,0.019800846675312466,0.07424520604299559,0.07424520604331201,0.15492963050147282,0.3207741860158814
r004,279863154,47.81049166358997,0.2372437176228413,0.9581892860733796,0.1291556174204562,0.24886726323410385,0.2777448829813219,0.21998964348688585,0.2967072906403986,0.1615959898655404,0.43181859141525675,0.5360911697467451,0.07218233949349015,1.0,0.1512671702412726,0.0521732611169167,0.07218233949234719,0.07218233949349015,0.17266761062613686,0.3158973441856637
r005,7498351260,50.027906020339685,0.1729172180760638,0.939421458443877,0.06185281126488218,0.19076958674505368,0.15800181611713332,0.22353735737297403,0.04227860361697979,0.07850449065071068,0.006052716583248906,0.6703221701329558,0.34064434026591167,1.0,0.19845871886642383,0.0,0.0,0.34064434026591167,0.43430655628911496,0.5871733202396973
r006,7840931256,55.482046597944645,0.2155070271384357,0.935170321002877,0.1112422704098395,0.1631603097765527,0.21430930467118703,0.11201131488191834,0.12138165598059822,0.18887300914260477,0.05389030281859167,0.6835704408959771,0.3956315766662424,0.9715093051257119,0.2607573121558363,9.007760943096786e-13,9.007760943096786e-13,0.3956315766662424,0.7762940736830151,0.9999999999977147
r007,5601328497,44.20166422479355,0.2094033920324379,0.966754661228433,0.09974857142857993,0.23621128576134218,0.20985003359528703,0.2625725379273973,0.18719433388766749,0.3265510815399922,0.04783758623534276,0.7171532781445575,0.43430655628911496,1.0,0.3763372119375775,0.07104739406513637,0.37986219692029,0.43430655628911496,0.6780215609810465,0.9999999999988566
