dim_alpha,dim_beta,n_unique_alpha,n_unique_beta,depth,two_qubit_count,energy,err_mHa,captured,status,ordering,permutation,seed,anchor_offset,retained_J,retained_J_samespin,retained_J_oppspin
15,15,252,252,3182,19090,-4.665751894286254,300.31919403956664,0.5554887797095325,OK,identity,0123456789,2026,0,0.24419999627885725,0.3930745534684346,0.09532543908927983
15,15,252,252,3232,19090,-4.670141687387018,295.92940093880316,0.5734402956236082,OK,identity,0123456789,2026,1,0.24419999627885725,0.3930745534684346,0.0953254390892799
15,15,250,248,3182,19040,-4.50774017946491,458.3309088609111,0.47029518068512705,OK,identity,0123456789,2026,2,0.19866005805205914,0.3930745534684346,0.0042455626356835965
15,15,248,247,3232,19040,-4.507371426756333,458.6996615694874,0.470193930372267,OK,identity,0123456789,2026,3,0.19866005805205914,0.3930745534684346,0.004245562635683595
15,15,245,246,3280,19090,-4.57635613246739,389.7149558584312,0.45168283919378793,OK,physical,7281504936,2026,0,0.16162561933334427,0.3186266112504917,0.004624627416196836
15,15,252,252,3232,19090,-4.747433214148655,218.63787417716551,0.6615930986901128,OK,physical,7281504936,2026,1,0.19377028016834832,0.3186266112504917,0.06891394908620496
15,15,252,251,3232,19040,-4.71177180858828,254.29927973754118,0.5972912294751641,OK,physical,7281504936,2026,2,0.17464183194462507,0.3186266112504917,0.030657052638758474
15,15,251,251,3282,19040,-4.743025727203501,223.04536112231955,0.6515977200502424,OK,physical,7281504936,2026,3,0.20678649277962918,0.3186266112504917,0.09494637430876665
15,15,252,252,3232,19090,-4.747433214148655,218.63787417716551,0.6615930986901128,OK,physical_reverse,6394051827,2026,0,0.19377028016834832,0.3186266112504917,0.06891394908620496
15,15,245,246,3280,19090,-4.57635613246739,389.7149558584312,0.45168283919378793,OK,physical_reverse,6394051827,2026,1,0.16162561933334427,0.3186266112504917,0.004624627416196836
15,15,251,251,3282,19040,-4.743025727203501,223.04536112231955,0.6515977200502424,OK,physical_reverse,6394051827,2026,2,0.20678649277962918,0.3186266112504917,0.09494637430876665
15,15,252,251,3232,19040,-4.71177180858828,254.29927973754118,0.5972912294751641,OK,physical_reverse,6394051827,2026,3,0.17464183194462507,0.3186266112504917,0.030657052638758474
15,15,247,245,3332,19090,-4.773947331331937,192.12375699388406,0.6694664723263455,OK,s2_max,7263509418,2026,0,0.22668549480836167,0.4196417266051853,0.03372926301153811
15,15,249,247,3282,19090,-4.732991003731214,233.08008459460706,0.6175473314144989,OK,s2_max,7263509418,2026,1,0.25883015564336576,0.4196417266051853,0.09801858468154624
15,15,238,238,3282,19040,-4.69937832068184,266.6927676439812,0.599855465225351,OK,s2_max,7263509418,2026,2,0.24274173265930532,0.4196417266051853,0.06584173871342537
15,15,203,195,3282,19040,-4.637218495284361,328.85259304145984,0.507483550529325,OK,s2_max,7263509418,2026,3,0.21059707182430126,0.4196417266051853,0.0015524170434171984
