triple,retained_J_oppspin
"(0, 1, 9)",0.15961476075928802
"(0, 8, 9)",0.15961476075928802
"(0, 7, 9)",0.13240898327382244
"(0, 2, 9)",0.13240898327382242
"(0, 6, 9)",0.13051012516394672
"(0, 3, 9)",0.1305101251639467
"(0, 5, 9)",0.12971583768155603
"(0, 4, 9)",0.129715837681556
"(1, 8, 9)",0.1252243621670119
"(0, 1, 8)",0.12522436216701183
"(1, 2, 9)",0.09801858468154631
"(7, 8, 9)",0.09801858468154628
"(2, 8, 9)",0.09801858468154628
"(1, 7, 9)",0.09801858468154628
"(0, 1, 7)",0.09801858468154626
"(0, 7, 8)",0.09801858468154624
"(0, 1, 2)",0.09801858468154624
"(0, 2, 8)",0.09801858468154624
"(6, 8, 9)",0.09611972657167062
"(1, 3, 9)",0.09611972657167062
"(1, 6, 9)",0.0961197265716706
"(3, 8, 9)",0.0961197265716706
"(0, 1, 3)",0.09611972657167056
"(0, 1, 6)",0.09611972657167056
"(0, 3, 8)",0.09611972657167055
"(0, 6, 8)",0.09611972657167055
"(1, 4, 9)",0.0953254390892799
"(1, 5, 9)",0.0953254390892799
"(5, 8, 9)",0.0953254390892799
"(4, 8, 9)",0.09532543908927989
"(0, 1, 5)",0.09532543908927986
"(0, 5, 8)",0.09532543908927983
"(0, 4, 8)",0.09532543908927983
"(0, 1, 4)",0.09532543908927983
"(2, 7, 9)",0.07081280719608068
"(0, 2, 7)",0.07081280719608063
"(3, 7, 9)",0.06891394908620502
"(6, 7, 9)",0.06891394908620502
"(2, 6, 9)",0.068913949086205
"(2, 3, 9)",0.068913949086205
"(0, 6, 7)",0.06891394908620498
"(0, 3, 7)",0.06891394908620498
"(0, 2, 6)",0.06891394908620496
"(0, 2, 3)",0.06891394908620496
"(4, 7, 9)",0.06811966160381429
"(5, 7, 9)",0.06811966160381429
"(2, 5, 9)",0.06811966160381429
"(2, 4, 9)",0.06811966160381429
"(0, 2, 5)",0.06811966160381425
"(0, 4, 7)",0.06811966160381425
"(0, 5, 7)",0.06811966160381425
"(0, 2, 4)",0.06811966160381425
"(3, 6, 9)",0.06701509097632934
"(0, 3, 6)",0.06701509097632928
"(3, 5, 9)",0.06622080349393862
"(3, 4, 9)",0.06622080349393862
"(5, 6, 9)",0.06622080349393862
"(4, 6, 9)",0.06622080349393862
"(0, 3, 4)",0.06622080349393857
"(0, 3, 5)",0.06622080349393857
"(0, 5, 6)",0.06622080349393857
"(0, 4, 6)",0.06622080349393855
"(4, 5, 9)",0.0654265160115479
"(0, 4, 5)",0.06542651601154784
"(1, 2, 8)",0.06362818608927011
"(1, 7, 8)",0.06362818608927011
"(1, 6, 8)",0.061729327979394434
"(1, 3, 8)",0.061729327979394434
"(1, 5, 8)",0.06093504049700372
"(1, 4, 8)",0.06093504049700372
"(1, 2, 7)",0.03642240860380452
"(2, 7, 8)",0.03642240860380452
"(1, 2, 6)",0.03452355049392884
"(1, 3, 7)",0.03452355049392884
"(6, 7, 8)",0.03452355049392884
"(1, 2, 3)",0.03452355049392884
"(1, 6, 7)",0.03452355049392884
"(3, 7, 8)",0.03452355049392883
"(2, 6, 8)",0.03452355049392883
"(2, 3, 8)",0.03452355049392883
"(2, 5, 8)",0.03372926301153811
"(1, 2, 4)",0.03372926301153811
"(1, 2, 5)",0.03372926301153811
"(1, 5, 7)",0.03372926301153811
"(5, 7, 8)",0.03372926301153811
"(1, 4, 7)",0.03372926301153811
"(2, 4, 8)",0.03372926301153811
"(4, 7, 8)",0.033729263011538106
"(1, 3, 6)",0.032624692384053154
"(3, 6, 8)",0.032624692384053154
"(3, 5, 8)",0.03183040490166244
"(5, 6, 8)",0.03183040490166244
"(1, 5, 6)",0.03183040490166244
"(1, 3, 5)",0.03183040490166244
"(1, 4, 6)",0.03183040490166244
"(1, 3, 4)",0.03183040490166244
"(3, 4, 8)",0.03183040490166243
"(4, 6, 8)",0.03183040490166243
"(1, 4, 5)",0.03103611741927172
"(4, 5, 8)",0.031036117419271713
"(2, 6, 7)",0.007317773008463233
"(2, 3, 7)",0.007317773008463233
"(2, 5, 7)",0.006523485526072514
"(2, 4, 7)",0.006523485526072513
"(2, 3, 6)",0.005418914898587555
"(3, 6, 7)",0.005418914898587554
"(2, 3, 5)",0.0046246274161968375
"(2, 5, 6)",0.0046246274161968375
"(2, 4, 6)",0.004624627416196836
"(2, 3, 4)",0.004624627416196836
"(3, 5, 7)",0.004624627416196836
"(5, 6, 7)",0.004624627416196836
"(4, 6, 7)",0.004624627416196836
"(3, 4, 7)",0.004624627416196836
"(2, 4, 5)",0.003830339933806118
"(4, 5, 7)",0.0038303399338061165
"(3, 5, 6)",0.0027257693063211593
"(3, 4, 6)",0.0027257693063211575
"(4, 5, 6)",0.0019314818239304394
"(3, 4, 5)",0.0019314818239304394
