triple,err_mHa,captured,retained_J_oppspin,source,status
"(0, 1, 9)",247.27858328064744,0.6375995619759883,0.159614760759288,B2_reused,
"(0, 8, 9)",257.11435362020563,0.6288742346048453,0.159614760759288,B2_reused,
"(0, 7, 9)",247.27858328064744,0.6375995619759884,0.1324089832738224,B2_reused,
"(0, 2, 9)",247.27858328064744,0.6375995619759883,0.1324089832738224,B2_reused,
"(0, 6, 9)",247.27858328064744,0.6375995619759882,0.1305101251639467,B2_reused,
"(0, 3, 9)",247.27858328064744,0.6375995619759882,0.1305101251639467,B2_reused,
"(0, 5, 9)",247.27858328064744,0.6375995619759884,0.129715837681556,B2_reused,
"(0, 4, 9)",247.27858328064744,0.6375995619759884,0.129715837681556,B2_reused,
"(1, 8, 9)",238.4666851471939,0.6131574261325994,0.1252243621670119,B2_reused,
"(0, 1, 8)",237.40961119760317,0.6136709749648273,0.1252243621670118,B2_reused,
"(3, 5, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,
"(5, 6, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,
"(4, 6, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,
"(3, 4, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,
"(2, 4, 5)",458.6996615694874,0.470193930372267,0.0038303399338061,B2_reused,
"(4, 5, 7)",458.6996615694874,0.470193930372267,0.0038303399338061,B2_reused,
"(3, 5, 6)",458.6996615694874,0.470193930372267,0.0027257693063211,B2_reused,
"(3, 4, 6)",458.6996615694874,0.470193930372267,0.0027257693063211,B2_reused,
"(4, 5, 6)",458.6996615694874,0.470193930372267,0.0019314818239304,B2_reused,
"(3, 4, 5)",458.6996615694874,0.470193930372267,0.0019314818239304,B2_reused,
"(1, 3, 8)",296.5457231982533,0.5775381093186457,0.0617293279793944,B2_reused,
"(4, 5, 9)",236.38581837080696,0.6297827813983574,0.0654265160115479,B2_reused,
"(0, 1, 2)",224.59889961938285,0.6282143489644749,0.0980185846815462,B2_reused,
"(0, 4, 8)",300.31919403956664,0.5554887797095325,0.0953254390892798,B2_reused,
"(3, 7, 9)",236.38581837080696,0.6297827813983575,0.068913949086205,B2_reused,
"(6, 8, 9)",230.86586030434563,0.6258450900157321,0.0961197265716706,B2_reused,
"(1, 6, 9)",300.6037081154602,0.5634385197749637,0.0961197265716706,B2_reused,
"(1, 6, 8)",303.7640003041826,0.5596740718651256,0.0617293279793944,B2_reused,
"(2, 5, 6)",457.9529596286971,0.4704020787680804,0.0046246274161968,B2_reused,
"(2, 3, 5)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,
"(0, 1, 3)",225.9529912288274,0.6356385055764429,0.09611972657167056,C1_new,OK
"(0, 1, 4)",225.9529912288274,0.6356385055764427,0.09532543908927983,C1_new,OK
"(0, 1, 5)",225.9529912288274,0.6356385055764427,0.09532543908927986,C1_new,OK
"(0, 1, 6)",287.9825389173369,0.5885763371019783,0.09611972657167056,C1_new,OK
"(0, 1, 7)",225.95309927133388,0.6256356334818867,0.09801858468154626,C1_new,OK
"(0, 2, 3)",233.2070232490526,0.6329303916639427,0.06891394908620496,C1_new,OK
"(0, 2, 4)",233.2070232490526,0.6329303916639428,0.06811966160381425,C1_new,OK
"(0, 2, 5)",294.25998017798884,0.5757256819880452,0.06811966160381425,C1_new,OK
"(0, 2, 6)",294.25998017798884,0.5757256819880452,0.06891394908620496,C1_new,OK
"(0, 2, 7)",295.8198576831057,0.5749080116609866,0.07081280719608063,C1_new,OK
"(0, 2, 8)",303.8089550003589,0.552231926660376,0.09801858468154624,C1_new,OK
"(0, 3, 4)",233.2070232490526,0.6329303916639429,0.06622080349393857,C1_new,OK
"(0, 3, 5)",233.2070232490526,0.6329303916639428,0.06622080349393857,C1_new,OK
"(0, 3, 6)",295.8198576831057,0.5749080116609866,0.06701509097632928,C1_new,OK
"(0, 3, 7)",295.8198576831057,0.5749080116609866,0.06891394908620498,C1_new,OK
"(0, 3, 8)",306.0917193849022,0.5500036044192987,0.09611972657167055,C1_new,OK
"(0, 4, 5)",295.8198576831057,0.5749080116609866,0.06542651601154784,C1_new,OK
"(0, 4, 6)",295.8198576831057,0.5749080116609866,0.06622080349393855,C1_new,OK
"(0, 4, 7)",295.8198576831057,0.5749080116609866,0.06811966160381425,C1_new,OK
"(0, 5, 6)",295.8198576831057,0.5749080116609866,0.06622080349393857,C1_new,OK
