ordering,triple,err_mHa,captured,retained_J_oppspin,s1_amp_os,s1_ampJ_os
identity,"(0, 1, 3)",225.9529912288274,0.6356385055764429,0.0961197265716705,0.30322607951471653,0.45551399690317373
identity,"(0, 1, 5)",225.9529912288274,0.6356385055764427,0.0953254390892798,0.31821810740620676,0.4432825776524351
identity,"(0, 1, 9)",247.27858328064744,0.6375995619759883,0.159614760759288,0.31610018105460125,0.6742801150469009
identity,"(0, 2, 3)",233.2070232490526,0.6329303916639427,0.0689139490862049,0.29044067346404046,0.30358577671471
identity,"(0, 2, 4)",233.2070232490526,0.6329303916639428,0.0681196616038142,0.3032260795123736,0.29118282753713065
identity,"(0, 2, 6)",294.25998017798884,0.5757256819880452,0.0689139490862049,0.2908563376343752,0.3036787651659931
identity,"(0, 2, 7)",295.8198576831057,0.5749080116609866,0.0708128071960806,0.2908563376418519,0.32185439125000576
identity,"(0, 2, 9)",247.27858328064744,0.6375995619759883,0.1324089832738224,0.3033147750039252,0.5223518948584371
identity,"(0, 3, 4)",233.2070232490526,0.6329303916639429,0.0662208034939385,0.3032260795184982,0.2730891517385814
identity,"(0, 4, 8)",300.31919403956664,0.5554887797095325,0.0953254390892798,0.31610018106172905,0.44327268969634365
identity,"(0, 4, 9)",247.27858328064744,0.6375995619759884,0.129715837681556,0.316100181058383,0.4918552698823085
identity,"(0, 5, 6)",295.8198576831057,0.5749080116609866,0.0662208034939385,0.30584836553199,0.27335367011670525
identity,"(0, 5, 7)",295.8198576831057,0.5749080116609866,0.0681196616038142,0.3058483655394668,0.29152929620071794
identity,"(0, 6, 7)",295.8198576831057,0.5749080116609865,0.0689139490862049,0.29127200181831137,0.3038537039027397
identity,"(1, 2, 6)",365.3931112773181,0.5176330377054383,0.0345235504939288,0.28852262240318566,0.24980089022478538
identity,"(1, 2, 7)",365.3931112773181,0.5176330377054384,0.0364224086038045,0.2885226224106624,0.26797651630879804
identity,"(1, 3, 5)",365.4335079906108,0.5175877685217029,0.0318304049016624,0.3030989861304657,0.21938280672421437
identity,"(1, 4, 7)",294.5243494375287,0.5732385911630595,0.0337292630115381,0.30130802846512017,0.23747989133266947
identity,"(1, 5, 6)",365.4504865056092,0.5174272757180144,0.0318304049016624,0.3035146503008005,0.2194757951754975
identity,"(1, 5, 7)",365.4335079906108,0.5175877685217027,0.0337292630115381,0.30351465030827723,0.23765142125951016
identity,"(1, 6, 7)",458.2753501346808,0.4588397102591525,0.0345235504939288,0.2889382865871218,0.24997582896153195
identity,"(1, 6, 8)",303.7640003041826,0.5596740718651256,0.0617293279793944,0.3013967239525411,0.4018907523839984
identity,"(1, 7, 9)",230.3124333400728,0.6258653439561566,0.0980185846815462,0.3013967239566718,0.46864895865397593
identity,"(2, 3, 5)",458.6996615694874,0.470193930372267,0.0046246274161968,0.29031358007978963,0.06745458653575062
identity,"(2, 3, 7)",458.549396056509,0.4730280434619366,0.0073177730084632,0.2757372163661109,0.09795462032178504
identity,"(2, 3, 9)",301.5627342514975,0.5700632483773542,0.068913949086205,0.2881956537281842,0.29845212393021636
identity,"(2, 4, 6)",458.6996615694874,0.470193930372267,0.0046246274161968,0.28852262240696736,0.067376045060193
identity,"(2, 4, 7)",458.69520919153393,0.4700962892052299,0.0065234855260725,0.28852262241444415,0.08555167114420566
identity,"(2, 6, 7)",458.549396056509,0.4730280434619365,0.0073177730084632,0.27615288053644577,0.09804760877306813
identity,"(2, 6, 9)",238.28833543724937,0.6275684925998497,0.068913949086205,0.288611317898519,0.29854511238149944
identity,"(3, 4, 6)",458.6996615694874,0.470193930372267,0.0027257693063211,0.288522622413092,0.049282369261643796
identity,"(3, 5, 9)",236.38581837080696,0.6297827813983574,0.0662208034939386,0.30318768162579907,0.26812702888092854
identity,"(3, 6, 9)",236.38581837080696,0.6297827813983575,0.0670150909763293,0.28861131790464356,0.28045143658295024
identity,"(3, 8, 9)",294.8068205631822,0.5735870187954646,0.0961197265716706,0.30106975527753965,0.45054198608942936
identity,"(4, 5, 6)",458.6996615694874,0.470193930372267,0.0019314818239304,0.30351465030458225,0.03705095001090515
identity,"(4, 6, 8)",365.4517569539335,0.517642676055443,0.0318304049016624,0.3013967239563229,0.21946590721940604
identity,"(4, 6, 9)",236.38581837080696,0.6297827813983573,0.0662208034939386,0.30139672395297673,0.26804848740537085
identity,"(5, 6, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,0.29114490843406055,0.06772251372378031
identity,"(5, 6, 8)",365.4517569539335,0.5176426760554429,0.0318304049016624,0.3036033457994799,0.21963743714624678
identity,"(5, 7, 9)",236.38581837080696,0.6297827813983574,0.0681196616038142,0.30360334580361054,0.28639564341622425
physical,"(1, 6, 8)",183.58452992042817,0.6894747491861564,0.0617293279793944,0.3013967239525411,0.4018907523839984
physical,"(1, 4, 7)",268.87516285398937,0.5780884770024218,0.0337292630115381,0.30130802846512017,0.23747989133266947
physical,"(2, 4, 6)",297.572227797807,0.5516742832724483,0.0046246274161968,0.28852262240696736,0.067376045060193
physical,"(1, 6, 7)",270.74337446453,0.578889164121683,0.0345235504939288,0.2889382865871218,0.24997582896153195
physical,"(0, 2, 7)",221.6289189077152,0.65710199899811,0.0708128071960806,0.2908563376418519,0.32185439125000576
physical,"(3, 6, 9)",269.1237568078595,0.5923666542545941,0.0670150909763293,0.28861131790464356,0.28045143658295024
physical,"(1, 2, 6)",220.4397209424638,0.6397214424179712,0.0345235504939288,0.28852262240318566,0.24980089022478538
physical,"(1, 5, 7)",226.48491392501313,0.6203579204161187,0.0337292630115381,0.30351465030827723,0.23765142125951016
physical,"(0, 2, 9)",268.5719206638488,0.5933187615824217,0.1324089832738224,0.3033147750039252,0.5223518948584371
physical,"(5, 7, 9)",219.32371513488567,0.6583515136233303,0.0681196616038142,0.30360334580361054,0.28639564341622425
physical,"(2, 3, 5)",304.7670319220908,0.5322891496125512,0.0046246274161968,0.29031358007978963,0.06745458653575062
physical,"(0, 5, 7)",220.94528600747145,0.6586595808195449,0.0681196616038142,0.3058483655394668,0.29152929620071794
physical,"(1, 5, 6)",210.0243033866711,0.6511451413497085,0.0318304049016624,0.3035146503008005,0.2194757951754975
physical,"(0, 2, 6)",218.63787417716551,0.6615930986901128,0.0689139490862049,0.2908563376343752,0.3036787651659931
physical,"(5, 6, 7)",269.86705160719634,0.5721703343610745,0.0046246274161968,0.29114490843406055,0.06772251372378031
physical,"(2, 6, 9)",268.3478007147997,0.59629229067241,0.068913949086205,0.288611317898519,0.29854511238149944
physical,"(1, 3, 5)",264.65016424447094,0.5687982412580788,0.0318304049016624,0.3030989861304657,0.21938280672421437
physical,"(4, 6, 8)",301.16552450996005,0.5457347834575439,0.0318304049016624,0.3013967239563229,0.21946590721940604
physical,"(0, 6, 7)",218.63787417716551,0.6615930986901126,0.0689139490862049,0.29127200181831137,0.3038537039027397
physical,"(2, 4, 7)",172.14939218691416,0.6955385362149424,0.0065234855260725,0.28852262241444415,0.08555167114420566
physical,"(3, 4, 6)",386.4008031346869,0.4530670348135028,0.0027257693063211,0.288522622413092,0.049282369261643796
physical,"(0, 1, 9)",219.9049260850092,0.6547827697182128,0.159614760759288,0.31610018105460125,0.6742801150469009
physical,"(0, 3, 4)",220.94528600747145,0.658659580819545,0.0662208034939385,0.3032260795184982,0.2730891517385814
physical,"(3, 8, 9)",225.71215968089663,0.6386663352819468,0.0961197265716706,0.30106975527753965,0.45054198608942936
physical,"(5, 6, 8)",251.1205221539532,0.6067004880571014,0.0318304049016624,0.3036033457994799,0.21963743714624678
physical,"(0, 5, 6)",218.63787417716551,0.6615930986901126,0.0662208034939385,0.30584836553199,0.27335367011670525
physical,"(2, 3, 9)",268.6432425764611,0.5924755498458512,0.068913949086205,0.2881956537281842,0.29845212393021636
physical,"(0, 4, 8)",214.50849171642173,0.6532612127357948,0.0953254390892798,0.31610018106172905,0.44327268969634365
physical,"(1, 2, 7)",189.39782400814752,0.6726222492452094,0.0364224086038045,0.2885226224106624,0.26797651630879804
physical,"(4, 5, 6)",373.109132816376,0.4788693343078371,0.0019314818239304,0.30351465030458225,0.03705095001090515
physical,"(0, 4, 9)",266.64047918834746,0.6003501654672635,0.129715837681556,0.316100181058383,0.4918552698823085
physical,"(0, 2, 3)",218.63787417716551,0.6615930986901126,0.0689139490862049,0.29044067346404046,0.30358577671471
physical,"(2, 6, 7)",218.56940597565887,0.63653624917405,0.0073177730084632,0.27615288053644577,0.09804760877306813
physical,"(0, 2, 4)",218.63787417716551,0.6615930986901126,0.0681196616038142,0.3032260795123736,0.29118282753713065
physical,"(4, 6, 9)",219.74517877720336,0.6570911626581302,0.0662208034939386,0.30139672395297673,0.26804848740537085
physical,"(0, 1, 3)",181.4337155473007,0.6994102249597494,0.0961197265716705,0.30322607951471653,0.45551399690317373
physical,"(1, 7, 9)",229.400497251123,0.63192635520319,0.0980185846815462,0.3013967239566718,0.46864895865397593
physical,"(2, 3, 7)",175.17356732665235,0.6890443543524386,0.0073177730084632,0.2757372163661109,0.09795462032178504
physical,"(0, 1, 5)",181.4337155473007,0.6994102249597492,0.0953254390892798,0.31821810740620676,0.4432825776524351
physical,"(3, 5, 9)",256.18934824031305,0.6028366049528782,0.0662208034939386,0.30318768162579907,0.26812702888092854
rand007,"(1, 6, 8)",221.6377001311667,0.6293327259725365,0.0617293279793944,0.3013967239525411,0.4018907523839984
rand007,"(1, 4, 7)",260.87977530669895,0.5737332499436106,0.0337292630115381,0.30130802846512017,0.23747989133266947
rand007,"(2, 4, 6)",372.8896294803494,0.4511884049703825,0.0046246274161968,0.28852262240696736,0.067376045060193
rand007,"(1, 6, 7)",310.1122018089564,0.5128302772233498,0.0345235504939288,0.2889382865871218,0.24997582896153195
rand007,"(0, 2, 7)",215.39947887265853,0.6695513834559433,0.0708128071960806,0.2908563376418519,0.32185439125000576
rand007,"(3, 6, 9)",269.1237568080016,0.5923666542545103,0.0670150909763293,0.28861131790464356,0.28045143658295024
rand007,"(1, 2, 6)",309.62763259623307,0.5163581200713618,0.0345235504939288,0.28852262240318566,0.24980089022478538
rand007,"(1, 5, 7)",307.4320742311212,0.5185250822422232,0.0337292630115381,0.30351465030827723,0.23765142125951016
rand007,"(0, 2, 9)",217.85019032460883,0.6609392640751481,0.1324089832738224,0.3033147750039252,0.5223518948584371
rand007,"(5, 7, 9)",219.67120761325543,0.6562824502450649,0.0681196616038142,0.30360334580361054,0.28639564341622425
rand007,"(2, 3, 5)",371.58477217940344,0.4580023516347256,0.0046246274161968,0.29031358007978963,0.06745458653575062
rand007,"(0, 5, 7)",212.1238972681727,0.6763101581038712,0.0681196616038142,0.3058483655394668,0.29152929620071794
rand007,"(1, 5, 6)",303.04575867559345,0.5273514390385423,0.0318304049016624,0.3035146503008005,0.2194757951754975
rand007,"(0, 2, 6)",212.1238972681727,0.6763101581038711,0.0689139490862049,0.2908563376343752,0.3036787651659931
rand007,"(5, 6, 7)",255.9476032054704,0.5642934866836116,0.0046246274161968,0.29114490843406055,0.06772251372378031
rand007,"(2, 6, 9)",232.94094787676656,0.6199018458143988,0.068913949086205,0.288611317898519,0.29854511238149944
rand007,"(1, 3, 5)",304.07945309189887,0.5237414350028798,0.0318304049016624,0.3030989861304657,0.21938280672421437
rand007,"(4, 6, 8)",340.71379782044266,0.4974898002373317,0.0318304049016624,0.3013967239563229,0.21946590721940604
rand007,"(0, 6, 7)",212.1238972681727,0.6763101581038711,0.0689139490862049,0.29127200181831137,0.3038537039027397
rand007,"(2, 4, 7)",256.01746921348314,0.5638144127688542,0.0065234855260725,0.28852262241444415,0.08555167114420566
rand007,"(3, 4, 6)",372.8896294803494,0.4511884049703825,0.0027257693063211,0.288522622413092,0.049282369261643796
rand007,"(0, 1, 9)",218.6538135657612,0.6572112097363891,0.159614760759288,0.31610018105460125,0.6742801150469009
rand007,"(0, 3, 4)",212.1238972681727,0.6763101581038711,0.0662208034939385,0.3032260795184982,0.2730891517385814
rand007,"(3, 8, 9)",225.4373425633629,0.6378104746488928,0.0961197265716706,0.30106975527753965,0.45054198608942936
rand007,"(5, 6, 8)",340.52337391812057,0.4990303611132524,0.0318304049016624,0.3036033457994799,0.21963743714624678
rand007,"(0, 5, 6)",212.1238972681727,0.6763101581038711,0.0662208034939385,0.30584836553199,0.27335367011670525
rand007,"(2, 3, 9)",181.36166671463272,0.7002444637381979,0.068913949086205,0.2881956537281842,0.29845212393021636
rand007,"(0, 4, 8)",219.0999715854449,0.6581663914550515,0.0953254390892798,0.31610018106172905,0.44327268969634365
rand007,"(1, 2, 7)",260.76595742499273,0.5720882373340894,0.0364224086038045,0.2885226224106624,0.26797651630879804
rand007,"(4, 5, 6)",372.8896294803494,0.4511884049703825,0.0019314818239304,0.30351465030458225,0.03705095001090515
