n_occ,n_vir,min_idx_sep,max_idx_sep,min_pos_sep,max_pos_sep,triple,err_mHa
2,1,1,9,1,9,"(0, 1, 9)",247.27858328064744
1,2,1,9,1,9,"(0, 8, 9)",257.11435362020563
1,2,2,9,2,9,"(0, 7, 9)",247.27858328064744
2,1,2,9,2,9,"(0, 2, 9)",247.27858328064744
1,2,3,9,3,9,"(0, 6, 9)",247.27858328064744
2,1,3,9,3,9,"(0, 3, 9)",247.27858328064744
1,2,4,9,4,9,"(0, 5, 9)",247.27858328064744
2,1,4,9,4,9,"(0, 4, 9)",247.27858328064744
1,2,1,8,1,8,"(1, 8, 9)",238.4666851471939
2,1,1,8,1,8,"(0, 1, 8)",237.40961119760317
1,2,2,4,2,4,"(3, 5, 7)",458.6996615694874
0,3,1,2,1,2,"(5, 6, 7)",458.6996615694874
1,2,1,3,1,3,"(4, 6, 7)",458.6996615694874
2,1,1,4,1,4,"(3, 4, 7)",458.6996615694874
2,1,1,3,1,3,"(2, 4, 5)",458.6996615694874
1,2,1,3,1,3,"(4, 5, 7)",458.6996615694874
1,2,1,3,1,3,"(3, 5, 6)",458.6996615694874
2,1,1,3,1,3,"(3, 4, 6)",458.6996615694874
1,2,1,2,1,2,"(4, 5, 6)",458.6996615694874
2,1,1,2,1,2,"(3, 4, 5)",458.6996615694874
2,1,2,7,2,7,"(1, 3, 8)",296.5457231982533
1,2,1,5,1,5,"(4, 5, 9)",236.38581837080696
3,0,1,2,1,2,"(0, 1, 2)",224.59889961938285
2,1,4,8,4,8,"(0, 4, 8)",300.31919403956664
1,2,2,6,2,6,"(3, 7, 9)",236.38581837080696
0,3,1,3,1,3,"(6, 8, 9)",230.86586030434563
1,2,3,8,3,8,"(1, 6, 9)",300.6037081154602
1,2,2,7,2,7,"(1, 6, 8)",303.7640003041826
1,2,1,4,1,4,"(2, 5, 6)",457.9529596286971
2,1,1,3,1,3,"(2, 3, 5)",458.6996615694874
3,0,1,3,1,3,"(0, 1, 3)",225.9529912288274
3,0,1,4,1,4,"(0, 1, 4)",225.9529912288274
2,1,1,5,1,5,"(0, 1, 5)",225.9529912288274
2,1,1,6,1,6,"(0, 1, 6)",287.9825389173369
2,1,1,7,1,7,"(0, 1, 7)",225.95309927133388
3,0,1,3,1,3,"(0, 2, 3)",233.2070232490526
3,0,2,4,2,4,"(0, 2, 4)",233.2070232490526
2,1,2,5,2,5,"(0, 2, 5)",294.25998017798884
2,1,2,6,2,6,"(0, 2, 6)",294.25998017798884
2,1,2,7,2,7,"(0, 2, 7)",295.8198576831057
2,1,2,8,2,8,"(0, 2, 8)",303.8089550003589
3,0,1,4,1,4,"(0, 3, 4)",233.2070232490526
2,1,2,5,2,5,"(0, 3, 5)",233.2070232490526
2,1,3,6,3,6,"(0, 3, 6)",295.8198576831057
2,1,3,7,3,7,"(0, 3, 7)",295.8198576831057
2,1,3,8,3,8,"(0, 3, 8)",306.0917193849022
2,1,1,5,1,5,"(0, 4, 5)",295.8198576831057
2,1,2,6,2,6,"(0, 4, 6)",295.8198576831057
2,1,3,7,3,7,"(0, 4, 7)",295.8198576831057
1,2,1,6,1,6,"(0, 5, 6)",295.8198576831057
1,2,2,7,2,7,"(0, 5, 7)",295.8198576831057
1,2,3,8,3,8,"(0, 5, 8)",374.3630554883097
1,2,1,7,1,7,"(0, 6, 7)",295.8198576831057
1,2,2,8,2,8,"(0, 6, 8)",372.931064268756
1,2,1,8,1,8,"(0, 7, 8)",300.31919403956664
3,0,1,2,1,2,"(1, 2, 3)",365.3931112773181
3,0,1,3,1,3,"(1, 2, 4)",294.5243494375287
2,1,1,4,1,4,"(1, 2, 5)",365.3931112773181
2,1,1,5,1,5,"(1, 2, 6)",365.3931112773181
2,1,1,6,1,6,"(1, 2, 7)",365.3931112773181
2,1,1,7,1,7,"(1, 2, 8)",240.1625352889134
2,1,1,8,1,8,"(1, 2, 9)",233.34141210869143
3,0,1,3,1,3,"(1, 3, 4)",365.3773667024529
2,1,2,4,2,4,"(1, 3, 5)",365.4335079906108
2,1,2,5,2,5,"(1, 3, 6)",365.4504865056092
2,1,2,6,2,6,"(1, 3, 7)",365.4335079906108
2,1,2,8,2,8,"(1, 3, 9)",295.92940093880316
2,1,1,4,1,4,"(1, 4, 5)",365.3773667024529
2,1,2,5,2,5,"(1, 4, 6)",365.4504865056092
2,1,3,6,3,6,"(1, 4, 7)",294.5243494375287
2,1,3,7,3,7,"(1, 4, 8)",296.56640998204864
2,1,3,8,3,8,"(1, 4, 9)",295.92940093880316
1,2,1,5,1,5,"(1, 5, 6)",365.4504865056092
1,2,2,6,2,6,"(1, 5, 7)",365.4335079906108
1,2,3,7,3,7,"(1, 5, 8)",296.56640998204773
1,2,4,8,4,8,"(1, 5, 9)",295.92940093880316
1,2,1,6,1,6,"(1, 6, 7)",458.2753501346808
1,2,1,7,1,7,"(1, 7, 8)",240.1625352889134
1,2,2,8,2,8,"(1, 7, 9)",230.3124333400728
3,0,1,2,1,2,"(2, 3, 4)",458.6996615694874
2,1,1,4,1,4,"(2, 3, 6)",458.6996615694874
2,1,1,5,1,5,"(2, 3, 7)",458.549396056509
2,1,1,6,1,6,"(2, 3, 8)",458.3386915538306
2,1,1,7,1,7,"(2, 3, 9)",301.5627342514975
2,1,2,4,2,4,"(2, 4, 6)",458.6996615694874
2,1,2,5,2,5,"(2, 4, 7)",458.69520919153393
2,1,2,6,2,6,"(2, 4, 8)",446.27385466703015
2,1,2,7,2,7,"(2, 4, 9)",301.5627342514975
1,2,2,5,2,5,"(2, 5, 7)",458.62551271719366
1,2,3,6,3,6,"(2, 5, 8)",446.27385466703015
1,2,3,7,3,7,"(2, 5, 9)",238.28833543724937
1,2,1,5,1,5,"(2, 6, 7)",458.549396056509
1,2,2,6,2,6,"(2, 6, 8)",446.27385466703015
1,2,3,7,3,7,"(2, 6, 9)",238.28833543724937
1,2,1,6,1,6,"(2, 7, 8)",365.3359286769646
1,2,2,7,2,7,"(2, 7, 9)",236.38581837080696
1,2,1,7,1,7,"(2, 8, 9)",293.95766463686533
2,1,1,5,1,5,"(3, 4, 8)",458.3386915538306
2,1,1,6,1,6,"(3, 4, 9)",236.38581837080696
1,2,2,5,2,5,"(3, 5, 8)",458.35173990481337
1,2,2,6,2,6,"(3, 5, 9)",236.38581837080696
1,2,1,4,1,4,"(3, 6, 7)",458.6996615694874
1,2,2,5,2,5,"(3, 6, 8)",458.3452761510429
1,2,3,6,3,6,"(3, 6, 9)",236.38581837080696
1,2,1,5,1,5,"(3, 7, 8)",458.2881897578508
1,2,1,6,1,6,"(3, 8, 9)",294.8068205631822
1,2,1,4,1,4,"(4, 5, 8)",458.3452761510429
1,2,2,4,2,4,"(4, 6, 8)",365.4517569539335
1,2,2,5,2,5,"(4, 6, 9)",236.38581837080696
1,2,1,4,1,4,"(4, 7, 8)",365.0589076076844
1,2,2,5,2,5,"(4, 7, 9)",236.38581837080696
1,2,1,5,1,5,"(4, 8, 9)",294.5982984505724
0,3,1,3,1,3,"(5, 6, 8)",365.4517569539335
0,3,1,4,1,4,"(5, 6, 9)",236.38581837080696
0,3,1,3,1,3,"(5, 7, 8)",365.0589076076844
0,3,2,4,2,4,"(5, 7, 9)",236.38581837080696
0,3,1,4,1,4,"(5, 8, 9)",231.5027027367096
0,3,1,2,1,2,"(6, 7, 8)",365.0589076076844
0,3,1,3,1,3,"(6, 7, 9)",236.38581837080696
0,3,1,2,1,2,"(7, 8, 9)",230.2839613082117
