triple,err_mHa,captured,retained_J_oppspin,source,status,jab_weight
"(0, 1, 9)",247.27858328064744,0.6375995619759883,0.159614760759288,B2_reused,,12.151581760149767
"(0, 8, 9)",257.11435362020563,0.6288742346048453,0.159614760759288,B2_reused,,12.151581760149767
"(0, 7, 9)",247.27858328064744,0.6375995619759884,0.1324089832738224,B2_reused,,9.488694693835068
"(0, 2, 9)",247.27858328064744,0.6375995619759883,0.1324089832738224,B2_reused,,9.488694693835068
"(0, 6, 9)",247.27858328064744,0.6375995619759882,0.1305101251639467,B2_reused,,9.114114065251254
"(0, 3, 9)",247.27858328064744,0.6375995619759882,0.1305101251639467,B2_reused,,9.114114065251254
"(0, 5, 9)",247.27858328064744,0.6375995619759884,0.129715837681556,B2_reused,,8.836769297127493
"(0, 4, 9)",247.27858328064744,0.6375995619759884,0.129715837681556,B2_reused,,8.836769297127493
"(1, 8, 9)",238.4666851471939,0.6131574261325994,0.1252243621670119,B2_reused,,11.2695437397008
"(0, 1, 8)",237.40961119760317,0.6136709749648273,0.1252243621670118,B2_reused,,11.2695437397008
"(3, 5, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,,1.372338495016349
"(5, 6, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,,1.3723384950163493
"(4, 6, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,,1.372338495016349
"(3, 4, 7)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,,1.3723384950163489
"(2, 4, 5)",458.6996615694874,0.470193930372267,0.0038303399338061,B2_reused,,1.0949937268925867
"(4, 5, 7)",458.6996615694874,0.470193930372267,0.0038303399338061,B2_reused,,1.0949937268925862
"(3, 5, 6)",458.6996615694874,0.470193930372267,0.0027257693063211,B2_reused,,0.9977578664325344
"(3, 4, 6)",458.6996615694874,0.470193930372267,0.0027257693063211,B2_reused,,0.9977578664325344
"(4, 5, 6)",458.6996615694874,0.470193930372267,0.0019314818239304,B2_reused,,0.7204130983087718
"(3, 4, 5)",458.6996615694874,0.470193930372267,0.0019314818239304,B2_reused,,0.7204130983087715
"(1, 3, 8)",296.5457231982533,0.5775381093186457,0.0617293279793944,B2_reused,,7.3500380243533225
"(4, 5, 9)",236.38581837080696,0.6297827813983574,0.0654265160115479,B2_reused,,4.639918813656251
"(0, 1, 2)",224.59889961938285,0.6282143489644749,0.0980185846815462,B2_reused,,8.606656673386103
"(0, 4, 8)",300.31919403956664,0.5554887797095325,0.0953254390892798,B2_reused,,7.954731276678526
"(3, 7, 9)",236.38581837080696,0.6297827813983575,0.068913949086205,B2_reused,,5.56918897848759
"(6, 8, 9)",230.86586030434563,0.6258450900157321,0.0961197265716706,B2_reused,,8.232076044802287
"(1, 6, 9)",300.6037081154602,0.5634385197749637,0.0961197265716706,B2_reused,,8.23207604480229
"(1, 6, 8)",303.7640003041826,0.5596740718651256,0.0617293279793944,B2_reused,,7.3500380243533225
"(2, 5, 6)",457.9529596286971,0.4704020787680804,0.0046246274161968,B2_reused,,1.3723384950163495
"(2, 3, 5)",458.6996615694874,0.470193930372267,0.0046246274161968,B2_reused,,1.3723384950163493
"(0, 1, 3)",225.9529912288274,0.6356385055764429,0.0961197265716705,C1_new,OK,8.23207604480229
"(0, 1, 4)",225.9529912288274,0.6356385055764427,0.0953254390892798,C1_new,OK,7.954731276678526
"(0, 1, 5)",225.9529912288274,0.6356385055764427,0.0953254390892798,C1_new,OK,7.954731276678526
"(0, 1, 6)",287.9825389173369,0.5885763371019783,0.0961197265716705,C1_new,OK,8.23207604480229
"(0, 1, 7)",225.95309927133388,0.6256356334818867,0.0980185846815462,C1_new,OK,8.606656673386103
"(0, 2, 3)",233.2070232490526,0.6329303916639427,0.0689139490862049,C1_new,OK,5.56918897848759
"(0, 2, 4)",233.2070232490526,0.6329303916639428,0.0681196616038142,C1_new,OK,5.291844210363828
"(0, 2, 5)",294.25998017798884,0.5757256819880452,0.0681196616038142,C1_new,OK,5.291844210363828
"(0, 2, 6)",294.25998017798884,0.5757256819880452,0.0689139490862049,C1_new,OK,5.569188978487591
"(0, 2, 7)",295.8198576831057,0.5749080116609866,0.0708128071960806,C1_new,OK,5.943769607071405
"(0, 2, 8)",303.8089550003589,0.552231926660376,0.0980185846815462,C1_new,OK,8.606656673386103
"(0, 3, 4)",233.2070232490526,0.6329303916639429,0.0662208034939385,C1_new,OK,4.917263581780013
"(0, 3, 5)",233.2070232490526,0.6329303916639428,0.0662208034939385,C1_new,OK,4.917263581780013
"(0, 3, 6)",295.8198576831057,0.5749080116609866,0.0670150909763292,C1_new,OK,5.194608349903776
"(0, 3, 7)",295.8198576831057,0.5749080116609866,0.0689139490862049,C1_new,OK,5.56918897848759
"(0, 3, 8)",306.0917193849022,0.5500036044192987,0.0961197265716705,C1_new,OK,8.232076044802287
"(0, 4, 5)",295.8198576831057,0.5749080116609866,0.0654265160115478,C1_new,OK,4.639918813656251
"(0, 4, 6)",295.8198576831057,0.5749080116609866,0.0662208034939385,C1_new,OK,4.917263581780014
"(0, 4, 7)",295.8198576831057,0.5749080116609866,0.0681196616038142,C1_new,OK,5.291844210363828
"(0, 5, 6)",295.8198576831057,0.5749080116609866,0.0662208034939385,C1_new,OK,4.917263581780014
"(0, 5, 7)",295.8198576831057,0.5749080116609866,0.0681196616038142,C1_new,OK,5.291844210363828
"(0, 5, 8)",374.3630554883097,0.4943643243316059,0.0953254390892798,C1_new,OK,7.954731276678526
"(0, 6, 7)",295.8198576831057,0.5749080116609865,0.0689139490862049,C1_new,OK,5.569188978487591
"(0, 6, 8)",372.931064268756,0.4962774758602947,0.0961197265716705,C1_new,OK,8.23207604480229
"(0, 7, 8)",300.31919403956664,0.5554887797095325,0.0980185846815462,C1_new,OK,8.606656673386103
