triple,budget,status,err_mHa,captured,wall_s,dim
"(0, 1, 2)",5,OK,465.9875781404228,0.40498478862987614,1.1182761192321777,25
"(0, 1, 2)",8,OK,458.81235333945904,0.43786136826828376,1.1206810474395752,64
"(0, 1, 2)",10,OK,376.0149339686709,0.4915830980387078,1.1291890144348145,100
"(0, 1, 2)",15,OK,224.59889961938285,0.6282143489644749,1.1283318996429443,225
"(0, 1, 3)",5,OK,465.9875781404228,0.40498478862987614,1.1017439365386963,25
"(0, 1, 3)",8,OK,458.81235333945904,0.43786136826828376,1.128458023071289,64
"(0, 1, 3)",10,OK,301.3028584558368,0.5502857175057991,1.1439588069915771,100
"(0, 1, 3)",15,OK,225.9529912288274,0.6356385055764429,1.1309781074523926,225
"(0, 1, 4)",5,OK,465.9875781404228,0.40498478862987614,1.1006808280944824,25
"(0, 1, 4)",8,OK,458.81235333945904,0.43786136826828376,1.1199641227722168,64
"(0, 1, 4)",10,OK,376.0149339686709,0.4915830980387078,1.1104776859283447,100
"(0, 1, 4)",15,OK,225.9529912288274,0.6356385055764427,1.1288330554962158,225
"(0, 1, 5)",5,OK,465.9875781404228,0.40498478862987614,1.1018548011779785,25
"(0, 1, 5)",8,OK,458.81235333945904,0.43786136826828376,1.1248879432678223,64
"(0, 1, 5)",10,OK,376.0149339686709,0.49158309803870787,1.12819504737854,100
"(0, 1, 5)",15,OK,225.9529912288274,0.6356385055764427,1.1268038749694824,225
"(0, 1, 6)",5,OK,465.9875781404228,0.40498478862987614,1.101048231124878,25
"(0, 1, 6)",8,OK,458.81235333945904,0.43786136826828376,1.123276710510254,64
"(0, 1, 6)",10,OK,376.0149339686709,0.49158309803870787,1.1184730529785156,100
"(0, 1, 6)",15,OK,287.9825389173369,0.5885763371019783,1.1270439624786377,225
"(0, 1, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1034932136535645,25
"(0, 1, 7)",8,OK,458.81235333945904,0.43786136826828376,1.121140956878662,64
"(0, 1, 7)",10,OK,376.3130208352452,0.490961322456967,1.1381340026855469,100
"(0, 1, 7)",15,OK,225.95309927133388,0.6256356334818867,1.1391010284423828,225
"(0, 1, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1013498306274414,25
"(0, 1, 8)",8,OK,383.5520568092044,0.47882143187836823,1.1235430240631104,64
"(0, 1, 8)",10,OK,376.0149339686709,0.4915830980387078,1.122032880783081,100
"(0, 1, 8)",15,OK,237.40961119760317,0.6136709749648273,1.131904125213623,225
"(0, 1, 9)",5,OK,340.50724082090954,0.4911970531719473,1.099494218826294,25
"(0, 1, 9)",8,OK,280.1635915989875,0.5723989661276139,1.1216039657592773,64
"(0, 1, 9)",10,OK,275.6879403905881,0.5783909790359847,1.1345579624176025,100
"(0, 1, 9)",15,OK,247.27858328064744,0.6375995619759883,1.1388158798217773,225
"(0, 2, 3)",5,OK,465.9875781404228,0.40498478862987614,1.099628210067749,25
"(0, 2, 3)",8,OK,458.81235333945904,0.43786136826828376,1.1281368732452393,64
"(0, 2, 3)",10,OK,379.7717075174738,0.4922427481224008,1.129075050354004,100
"(0, 2, 3)",15,OK,233.2070232490526,0.6329303916639427,1.1387128829956055,225
"(0, 2, 4)",5,OK,465.9875781404228,0.40498478862987614,1.1030967235565186,25
"(0, 2, 4)",8,OK,458.81235333945904,0.43786136826828376,1.1375858783721924,64
"(0, 2, 4)",10,OK,379.7717075174738,0.4922427481224008,1.1220762729644775,100
"(0, 2, 4)",15,OK,233.2070232490526,0.6329303916639428,1.1383130550384521,225
"(0, 2, 5)",5,OK,465.9875781404228,0.40498478862987614,1.1032638549804688,25
"(0, 2, 5)",8,OK,458.81235333945904,0.43786136826828376,1.1214179992675781,64
"(0, 2, 5)",10,OK,458.4083220861732,0.4483460225802241,1.1256377696990967,100
"(0, 2, 5)",15,OK,294.25998017798884,0.5757256819880452,1.1322009563446045,225
"(0, 2, 6)",5,OK,465.9875781404228,0.40498478862987614,1.102928876876831,25
"(0, 2, 6)",8,OK,461.98647554031777,0.4261950903274284,1.129836082458496,64
"(0, 2, 6)",10,OK,376.0149339686709,0.49158309803870787,1.1375479698181152,100
"(0, 2, 6)",15,OK,294.25998017798884,0.5757256819880452,1.1441152095794678,225
"(0, 2, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1075820922851562,25
"(0, 2, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1343860626220703,64
"(0, 2, 7)",10,OK,379.7717075174738,0.4922427481224008,1.1316711902618408,100
"(0, 2, 7)",15,OK,295.8198576831057,0.5749080116609866,1.1435348987579346,225
"(0, 2, 8)",5,OK,465.9875781404228,0.40498478862987614,1.110802173614502,25
"(0, 2, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1365501880645752,64
"(0, 2, 8)",10,OK,376.0149339686709,0.4915830980387078,1.1325170993804932,100
"(0, 2, 8)",15,OK,303.8089550003589,0.552231926660376,1.146956205368042,225
"(0, 2, 9)",5,OK,296.78085229139305,0.5315494898277694,1.1045689582824707,25
"(0, 2, 9)",8,OK,292.6455282765694,0.5411689279690961,1.132727861404419,64
"(0, 2, 9)",10,OK,283.17371920888235,0.5640343860124322,1.1309702396392822,100
"(0, 2, 9)",15,OK,247.27858328064744,0.6375995619759883,1.1321289539337158,225
"(0, 3, 4)",5,OK,465.9875781404228,0.4049847886298762,1.1094756126403809,25
"(0, 3, 4)",8,OK,458.81235333945904,0.43786136826828376,1.1330208778381348,64
"(0, 3, 4)",10,OK,379.7717075174738,0.49224274812240076,1.1363890171051025,100
