score,system,chain,n,rho_lucj,p_lucj,rho_sqd,p_sqd,regret_frac
S0,H10,identity,120,-0.691782884665784,2.168359581317723e-18,-0.734891981285689,1.24407943845941e-21,0.21707863725319532
S0,H10,physical,40,0.39746399253522496,0.011095984920447102,-0.32297350413524967,0.0420799547957172,0.6961938329702501
S0,H10,rand007,40,0.3068110138548912,0.05414929814571388,-0.5904751093635129,6.05219285756674e-05,0.5130191422251992
S0,N2,identity,120,-0.9637267895977557,1.542426318665523e-69,-0.3755995885187801,2.3654664583052033e-05,0.0
S0,N2,reverse,40,-0.9630260045657871,3.022274021315032e-23,-0.6876641589126868,9.477028799954031e-07,0.0
S0,N2,r039,40,-0.9812069709045524,9.217600310701762e-29,-0.279890685849011,0.08025607855292255,0.0
S1,H10,identity,120,-0.6978681379928101,8.194094621779562e-19,-0.7541976730089384,2.6921439446885005e-23,0.21707863725319532
S1,H10,physical,40,0.6420262664165104,7.992465710569496e-06,-0.42107262580843974,0.0068154556171193545,0.6961938329702501
S1,H10,rand007,40,0.21388367729831145,0.18509812249264565,-0.5553959566487284,0.00019922013828806804,0.5130191422251992
S1,N2,identity,120,-0.9634199434129058,2.5129300791498517e-69,-0.37541418234955687,2.3892639490739406e-05,0.0
S1,N2,reverse,40,-0.9615045932777352,6.416882224286621e-23,-0.6863748824097031,1.0118022559027339e-06,0.0
S1,N2,r039,40,-0.9055778647333248,9.927120956463811e-16,-0.25831130041492434,0.10754072515911231,0.0
S2,H10,identity,120,-0.6967806474618005,9.767913772126336e-19,-0.7247937040801306,8.109396599945268e-21,0.21707863725319532
S2,H10,physical,40,0.40360259113729996,0.009806969768230823,-0.3087905193457332,0.052536991879572933,0.6961938329702501
S2,H10,rand007,40,0.3301280551499873,0.037485978863408494,-0.5826144467915219,7.99899080640335e-05,0.5130191422251992
S2,N2,identity,120,-0.9590480248994867,1.7290185464751794e-66,-0.3615831182337912,4.95679564066267e-05,0.0
S2,N2,reverse,40,-0.9569968328213008,5.05835487454362e-22,-0.6606889196270154,3.4910565745780866e-06,0.0
S2,N2,r039,40,-0.9332718679146556,1.7339038997375867e-18,-0.1931941309001461,0.23231604870202294,0.559398060815513
S3,H10,identity,120,-0.6968539481908466,9.653161122888953e-19,-0.7570874511655707,1.471072628445329e-23,0.21707863725319532
S3,H10,physical,40,0.6420262664165104,7.992465710569496e-06,-0.42107262580843974,0.0068154556171193545,0.6961938329702501
S3,H10,rand007,40,0.1953095684803002,0.2271436674339518,-0.5550196083806282,0.00020163886950750823,0.5130191422251992
S3,N2,identity,120,-0.8895780819451762,5.764124662148738e-42,-0.38197838285026703,1.670049549750623e-05,0.0
S3,N2,reverse,40,-0.9312373521868762,3.0134207958359617e-18,-0.6745769874105196,1.814203517432056e-06,0.0
S3,N2,r039,40,-0.9055778647333248,9.927120956463811e-16,-0.25831130041492434,0.10754072515911231,0.0
S4,H10,identity,120,-0.7017873456776247,4.3218505335752863e-19,-0.7355379477470071,1.1002875104151292e-21,0.21707863725319532
S4,H10,physical,40,0.5187617260787993,0.0006047543275733519,-0.37966026452799323,0.015679822021928868,0.6961938329702501
S4,H10,rand007,40,0.2590994371482177,0.10643398392418997,-0.5831516414211111,7.849769296010945e-05,0.5130191422251992
S4,N2,identity,120,-0.9560006594397745,1.0923839572404249e-64,-0.35134294786009707,8.330557636491211e-05,0.0
S4,N2,reverse,40,-0.9429910840647567,9.48853931478272e-20,-0.6439858386544194,7.345867493209247e-06,0.0
S4,N2,r039,40,-0.9412164414115439,1.6725560016901088e-19,-0.20325855770264495,0.2084146958309074,0.0
