chain,triple,err_lucj,S0
newchain00,"(0, 1, 2)",505.5208286337338,8.606656673386103
newchain00,"(0, 1, 3)",508.16571434215075,8.23207604480229
newchain00,"(0, 1, 4)",514.4261277213582,7.954731276678526
newchain00,"(0, 1, 5)",514.2499106613033,7.954731276678526
newchain00,"(0, 1, 6)",515.5305383331132,8.23207604480229
newchain00,"(0, 1, 7)",508.64379768706857,8.606656673386103
newchain00,"(0, 1, 8)",552.5252217291836,11.2695437397008
newchain00,"(0, 1, 9)",479.8682138593815,12.151581760149767
newchain00,"(0, 2, 3)",524.7136396202476,5.56918897848759
newchain00,"(0, 2, 4)",533.9670185486174,5.291844210363828
newchain00,"(0, 2, 5)",534.0781602007426,5.291844210363828
newchain00,"(0, 2, 6)",535.833416227228,5.569188978487591
newchain00,"(0, 2, 7)",532.7721576257618,5.943769607071405
newchain00,"(0, 2, 8)",553.668515633988,8.606656673386103
newchain00,"(0, 2, 9)",521.2729720415199,9.488694693835068
newchain00,"(0, 3, 4)",543.6217361789533,4.917263581780013
newchain00,"(0, 3, 5)",542.696940452438,4.917263581780013
newchain00,"(0, 3, 6)",543.6706579361826,5.194608349903776
newchain00,"(0, 3, 7)",539.0437364088001,5.56918897848759
newchain00,"(0, 3, 8)",565.2985530437951,8.232076044802287
newchain00,"(0, 3, 9)",530.7487377760172,9.114114065251254
newchain00,"(0, 4, 5)",553.6803180332264,4.639918813656251
newchain00,"(0, 4, 6)",553.0876439024901,4.917263581780014
newchain00,"(0, 4, 7)",547.874811183191,5.291844210363828
newchain00,"(0, 4, 8)",574.4417454369719,7.954731276678526
newchain00,"(0, 4, 9)",540.3522346988412,8.836769297127493
newchain00,"(0, 5, 6)",552.548022501905,4.917263581780014
newchain00,"(0, 5, 7)",546.3395829677173,5.291844210363828
newchain00,"(0, 5, 8)",572.6930572793786,7.954731276678526
newchain00,"(0, 5, 9)",538.9313793851622,8.836769297127493
newchain00,"(0, 6, 7)",547.5636597500104,5.569188978487591
newchain00,"(0, 6, 8)",577.256821576917,8.23207604480229
newchain00,"(0, 6, 9)",537.0231066475446,9.114114065251254
newchain00,"(0, 7, 8)",576.774939253533,8.606656673386103
newchain00,"(0, 7, 9)",535.9733612239008,9.488694693835068
newchain00,"(0, 8, 9)",521.8707264208939,12.151581760149767
newchain00,"(1, 2, 3)",491.4514265928478,4.687150958038624
newchain00,"(1, 2, 4)",495.36582525071185,4.409806189914862
newchain00,"(1, 2, 5)",495.3942040537713,4.409806189914862
newchain00,"(1, 2, 6)",498.15506333962213,4.687150958038625
newchain00,"(1, 2, 7)",492.69112006332796,5.0617315866224395
newchain00,"(1, 2, 8)",560.6009890981554,7.724618652937137
newchain00,"(1, 2, 9)",423.5531116259814,8.606656673386103
newchain00,"(1, 3, 4)",503.1969373303129,4.035225561331047
newchain00,"(1, 3, 5)",502.14837991354244,4.035225561331047
newchain00,"(1, 3, 6)",504.3687153588596,4.31257032945481
newchain00,"(1, 3, 7)",496.8960711183188,4.687150958038625
newchain00,"(1, 3, 8)",569.8509008661592,7.3500380243533225
newchain00,"(1, 3, 9)",430.0323838734785,8.23207604480229
newchain00,"(1, 4, 5)",507.9752551234362,3.7578807932072844
newchain00,"(1, 4, 6)",508.37307159698054,4.035225561331047
newchain00,"(1, 4, 7)",500.59375516393965,4.409806189914862
newchain00,"(1, 4, 8)",574.3630096661905,7.0726932562295595
newchain00,"(1, 4, 9)",434.8246808285348,7.954731276678526
newchain00,"(1, 5, 6)",507.7612216667715,4.035225561331048
newchain00,"(1, 5, 7)",498.94139872755085,4.409806189914862
newchain00,"(1, 5, 8)",572.5966482422882,7.0726932562295595
newchain00,"(1, 5, 9)",433.647596343369,7.954731276678526
newchain00,"(1, 6, 7)",501.36007969818496,4.687150958038625
newchain00,"(1, 6, 8)",578.1699271376848,7.3500380243533225
newchain00,"(1, 6, 9)",433.19400088831196,8.23207604480229
newchain00,"(1, 7, 8)",574.9463064639251,7.724618652937137
newchain00,"(1, 7, 9)",429.03850346178274,8.606656673386103
newchain00,"(1, 8, 9)",470.2198856671238,11.2695437397008
newchain00,"(2, 3, 4)",494.28197041981383,1.3723384950163493
newchain00,"(2, 3, 5)",493.2555505080902,1.3723384950163493
newchain00,"(2, 3, 6)",496.1243989637154,1.6496832631401122
newchain00,"(2, 3, 7)",492.80357561111646,2.024263891723927
newchain00,"(2, 3, 8)",542.3344364586721,4.687150958038624
newchain00,"(2, 3, 9)",445.11883011422174,5.569188978487591
newchain00,"(2, 4, 5)",502.1679701120272,1.0949937268925867
newchain00,"(2, 4, 6)",503.260691371981,1.3723384950163493
newchain00,"(2, 4, 7)",499.4644248908058,1.746919123600164
newchain00,"(2, 4, 8)",549.4731508189279,4.409806189914862
newchain00,"(2, 4, 9)",453.29827930248,5.291844210363828
newchain00,"(2, 5, 6)",502.6502104623374,1.3723384950163495
newchain00,"(2, 5, 7)",497.8394967647386,1.746919123600164
newchain00,"(2, 5, 8)",547.7298870606857,4.409806189914862
newchain00,"(2, 5, 9)",451.9815684401536,5.291844210363828
newchain00,"(2, 6, 7)",500.87822489778324,2.024263891723927
newchain00,"(2, 6, 8)",553.8334509050422,4.687150958038624
newchain00,"(2, 6, 9)",452.1655156070548,5.569188978487591
newchain00,"(2, 7, 8)",554.589728567839,5.0617315866224395
newchain00,"(2, 7, 9)",451.95825622288055,5.943769607071405
newchain00,"(2, 8, 9)",463.7287622264514,8.606656673386103
newchain00,"(3, 4, 5)",516.0658504677027,0.7204130983087715
newchain00,"(3, 4, 6)",516.4923923937064,0.9977578664325344
newchain00,"(3, 4, 7)",510.86519062022796,1.3723384950163489
newchain00,"(3, 4, 8)",566.3696388148916,4.035225561331047
newchain00,"(3, 4, 9)",467.0113078460547,4.917263581780013
newchain00,"(3, 5, 6)",514.8286671250295,0.9977578664325344
newchain00,"(3, 5, 7)",508.1916315918038,1.372338495016349
newchain00,"(3, 5, 8)",563.5306641944169,4.035225561331047
newchain00,"(3, 5, 9)",464.6649553570921,4.917263581780013
newchain00,"(3, 6, 7)",510.54288179389926,1.649683263140112
newchain00,"(3, 6, 8)",568.9908076372844,4.312570329454809
newchain00,"(3, 6, 9)",464.2990611805651,5.194608349903776
newchain00,"(3, 7, 8)",568.1133516599343,4.687150958038624
newchain00,"(3, 7, 9)",461.89570901957563,5.56918897848759
newchain00,"(3, 8, 9)",478.6153458044451,8.232076044802287
newchain00,"(4, 5, 6)",523.8754338875253,0.7204130983087718
newchain00,"(4, 5, 7)",516.7702149173365,1.0949937268925862
newchain00,"(4, 5, 8)",572.5529468246328,3.757880793207284
newchain00,"(4, 5, 9)",474.77501153538174,4.639918813656251
newchain00,"(4, 6, 7)",517.3832605519308,1.372338495016349
newchain00,"(4, 6, 8)",576.2945508418245,4.035225561331047
newchain00,"(4, 6, 9)",472.69552039154394,4.917263581780013
newchain00,"(4, 7, 8)",574.9437251234175,4.409806189914861
newchain00,"(4, 7, 9)",469.8838925192881,5.291844210363828
newchain00,"(4, 8, 9)",487.1850272367597,7.954731276678525
newchain00,"(5, 6, 7)",515.1289959294827,1.3723384950163493
newchain00,"(5, 6, 8)",573.886666687688,4.035225561331047
newchain00,"(5, 6, 9)",470.7071478117495,4.917263581780013
newchain00,"(5, 7, 8)",571.5042779373479,4.409806189914861
newchain00,"(5, 7, 9)",466.9031834454325,5.291844210363828
newchain00,"(5, 8, 9)",484.1149387738435,7.954731276678526
newchain00,"(6, 7, 8)",576.9810692258312,4.687150958038624
newchain00,"(6, 7, 9)",466.8076315517098,5.56918897848759
newchain00,"(6, 8, 9)",487.5344122303069,8.232076044802287
newchain00,"(7, 8, 9)",488.83115815436804,8.606656673386102
