system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha,role,triple_parsed,S0,is_floor,is_default
H10,newchain00,"(4, 6, 9)",newchain00_4-6-9,472.69552039154394,1.0000000000003988,251,250,3332,OK,221.89807501795488,0.6534450110507337,0.20075145929967983,0.33528211510542105,0.06622080349393862,1.1943001008208443,0.967927764940239,0.9173935,0.8788261851015802,,"(4, 6, 9)",4.917263581780013,False,False
H10,newchain00,"(0, 3, 7)",newchain00_0-3-7,539.0437364088001,1.0000000000004023,252,252,3332,OK,235.85003357562505,0.6173282439626219,0.202098032095813,0.33528211510542105,0.06891394908620498,1.5077488391636005,0.9614834325396825,0.905114,0.9167839824808384,,"(0, 3, 7)",5.56918897848759,False,False
H10,newchain00,"(1, 2, 3)",newchain00_1-2-3,491.4514265928478,1.000000000000397,252,252,3382,OK,172.10646317464563,0.6936498745444886,0.18490283279967495,0.33528211510542105,0.03452355049392884,0.9240279152653883,0.9741752579365079,0.934379,0.9320512820512821,,"(1, 2, 3)",4.687150958038624,False,False
H10,newchain00,"(1, 3, 9)",newchain00_1-3-9,430.0323838734785,1.0000000000004001,252,252,3332,OK,178.66940062463854,0.7133078787352902,0.2157009208385458,0.33528211510542105,0.09611972657167062,1.1263294026484982,0.9689663253968254,0.919362,0.9944374475230898,,"(1, 3, 9)",8.23207604480229,False,False
H10,newchain00,"(3, 7, 9)",newchain00_3-7-9,461.89570901957563,1.0000000000004026,251,252,3332,OK,221.98519838737596,0.6530852323389585,0.20209803209581303,0.33528211510542105,0.06891394908620502,1.23673879498142,0.966932860557769,0.914294,0.8983432378894292,,"(3, 7, 9)",5.56918897848759,False,False
H10,newchain00,"(2, 4, 9)",newchain00_2-4-9,453.29827930248,1.0000000000004001,252,251,3382,OK,218.00639165689884,0.6687947443469664,0.20170088835461766,0.33528211510542105,0.06811966160381429,1.1877629652536559,0.9675150436507937,0.9121865,0.9821759033797604,,"(2, 4, 9)",5.291844210363828,False,False
H10,newchain00,"(2, 7, 9)",newchain00_2-7-9,451.95825622288055,1.0000000000004023,251,252,3382,OK,184.20896517347617,0.6945330051742714,0.20304746115075087,0.33528211510542105,0.07081280719608068,1.2882380547517722,0.9643857330677291,0.906131,0.9562227440456222,,"(2, 7, 9)",5.943769607071405,False,False
H10,newchain00,"(0, 2, 8)",newchain00_0-2-8,553.668515633988,1.0000000000004035,250,252,3382,OK,219.19472177023192,0.629178300662566,0.2166503498934836,0.33528211510542105,0.09801858468154624,1.843511713702488,0.949823648,0.8857515,0.9940348525469169,,"(0, 2, 8)",8.606656673386103,False,False
H10,newchain00,"(0, 5, 7)",newchain00_0-5-7,546.3395829677173,1.0000000000004006,252,251,3332,OK,276.97309603058784,0.5612889286146188,0.20170088835461766,0.33528211510542105,0.06811966160381425,1.5127730901608687,0.9612174166666667,0.9037515,0.9283614420547733,,"(0, 5, 7)",5.291844210363828,False,False
H10,newchain00,"(5, 6, 7)",newchain00_5-6-7,515.1289959294827,1.0000000000003997,249,247,3332,OK,256.07458130966967,0.5874866244388663,0.16995337126080895,0.33528211510542105,0.004624627416196836,0.8467490549705884,0.9789600281124498,0.9526255,0.9968190854870775,,"(5, 6, 7)",1.3723384950163493,False,False
H10,newchain00,"(1, 3, 5)",newchain00_1-3-5,502.14837991354244,1.0000000000003968,250,251,3332,OK,197.31982953341998,0.640004759208646,0.18355626000354175,0.33528211510542105,0.03183040490166244,0.8446345685989687,0.976086096,0.9388335,0.9754040758959944,,"(1, 3, 5)",4.035225561331047,False,False
H10,newchain00,"(2, 5, 7)",newchain00_2-5-7,497.8394967647386,1.0000000000003986,248,248,3382,OK,196.5335537452182,0.6422599838752368,0.17090280031574678,0.33528211510542105,0.006523485526072514,0.8727350767676886,0.977315254032258,0.946542,0.9924610487518848,,"(2, 5, 7)",1.746919123600164,False,False
H10,newchain00,"(1, 2, 4)",newchain00_1-2-4,495.36582525071185,1.0000000000003992,252,250,3382,OK,223.654503063047,0.6327583483152573,0.1845056890584796,0.33528211510542105,0.03372926301153811,0.9134465598399891,0.9747090952380952,0.9355965,0.9865894974590627,,"(1, 2, 4)",4.409806189914862,False,False
H10,newchain00,"(0, 2, 4)",newchain00_0-2-4,533.9670185486174,1.0000000000004,252,252,3382,OK,225.71776281295007,0.6385895513977805,0.20170088835461766,0.33528211510542105,0.06811966160381425,1.4671088467313749,0.9621520436507937,0.907152,0.9840912876894886,,"(0, 2, 4)",5.291844210363828,False,False
H10,newchain00,"(2, 3, 6)",newchain00_2-3-6,496.1243989637154,1.0000000000003968,249,248,3382,OK,386.4664475092958,0.46754259042569374,0.17035051500200432,0.33528211510542105,0.005418914898587555,0.7944965982825974,0.9796336385542168,0.9542685,0.9927465202901392,,"(2, 3, 6)",1.6496832631401122,False,False
H10,newchain00,"(1, 4, 8)",newchain00_1-4-8,574.3630096661905,1.0000000000003988,252,252,3370,OK,222.70191276154438,0.6232714482831302,0.19810857780121238,0.33528211510542105,0.06093504049700372,1.5325002216990657,0.9575417777777778,0.8931895,0.9497596628695595,,"(1, 4, 8)",7.0726932562295595,False,False
H10,newchain00,"(2, 8, 9)",newchain00_2-8-9,463.7287622264514,1.000000000000407,252,252,3382,OK,225.96407216023982,0.6440723746338548,0.21665034989348367,0.33528211510542105,0.09801858468154628,1.5663206158038503,0.9565489285714286,0.889639,0.990506103219359,,"(2, 8, 9)",8.606656673386103,False,False
H10,newchain00,"(2, 3, 5)",newchain00_2-3-5,493.2555505080902,1.0000000000004012,249,246,3382,OK,386.4355041608496,0.46787458531544085,0.16995337126080895,0.33528211510542105,0.0046246274161968375,0.7486332864623089,0.9809566666666667,0.9587755,0.9826510721247563,,"(2, 3, 5)",1.3723384950163493,False,False
H10,newchain00,"(0, 1, 5)",newchain00_0-1-5,514.2499106613033,1.0000000000004023,252,252,3332,OK,229.9657989502384,0.6322897709162592,0.2153037770973505,0.33528211510542105,0.09532543908927986,1.3998461094119634,0.9630062380952381,0.906294,0.9789172306090578,,"(0, 1, 5)",7.954731276678526,False,False
H10,newchain00,"(0, 1, 4)",newchain00_0-1-4,514.4261277213582,1.0000000000003997,252,252,3332,OK,230.82617000723093,0.633369722154109,0.21530377709735044,0.33528211510542105,0.09532543908927983,1.3998785051067018,0.963082376984127,0.907185,0.9302597511066566,,"(0, 1, 4)",7.954731276678526,False,False
H10,newchain00,"(2, 3, 8)",newchain00_2-3-8,542.3344364586721,1.0000000000003983,249,252,3382,OK,212.3361673198021,0.6346393907767476,0.18490283279967493,0.33528211510542105,0.03452355049392883,1.323436725678941,0.9664449317269076,0.923783,0.9988257397839361,,"(2, 3, 8)",4.687150958038624,False,False
H10,newchain00,"(3, 5, 6)",newchain00_3-5-6,514.8286671250295,1.0000000000003948,248,247,3332,OK,387.6243093148695,0.4629744190905218,0.16900394220587112,0.33528211510542105,0.0027257693063211593,0.7645248491421416,0.9809612016129032,0.958782,0.9815265935850589,,"(3, 5, 6)",0.9977578664325344,False,False
H10,newchain00,"(1, 2, 9)",newchain00_1-2-9,423.5531116259814,1.0000000000004041,252,252,3382,OK,178.66940062463854,0.7133078787352901,0.21665034989348367,0.33528211510542105,0.09801858468154631,1.191063150972115,0.9666455396825396,0.914076,0.9954337899543378,,"(1, 2, 9)",8.606656673386103,False,False
H10,newchain00,"(2, 4, 8)",newchain00_2-4-8,549.4731508189279,1.000000000000399,252,252,3382,OK,218.6650931911549,0.6321987172055368,0.1845056890584796,0.33528211510542105,0.03372926301153811,1.330807009191784,0.966447376984127,0.9233785,0.9496802599853235,,"(2, 4, 8)",4.409806189914862,False,False
H10,newchain00,"(5, 6, 9)",newchain00_5-6-9,470.7071478117495,1.000000000000407,251,251,3332,OK,220.02142165013083,0.6611848587247225,0.20075145929967983,0.33528211510542105,0.06622080349393862,1.1881972632535098,0.9681160996015936,0.917193,0.9783882432043032,,"(5, 6, 9)",4.917263581780013,False,False
H10,newchain00,"(4, 5, 7)",newchain00_4-5-7,516.7702149173365,1.0000000000004001,248,246,3332,OK,256.0548683437336,0.5876073113748025,0.16955622751961358,0.33528211510542105,0.0038303399338061165,0.8251941912437821,0.9793312056451613,0.9529545,0.9423549423549423,,"(4, 5, 7)",1.0949937268925862,False,False
H10,newchain00,"(1, 2, 7)",newchain00_1-2-7,492.69112006332796,1.0000000000003981,252,250,3382,OK,188.69222262453266,0.6764586269888958,0.1858522618546128,0.33528211510542105,0.03642240860380452,1.0253009859067266,0.972254003968254,0.931491,0.9974177765697201,,"(1, 2, 7)",5.0617315866224395,False,False
H10,newchain00,"(0, 2, 5)",newchain00_0-2-5,534.0781602007426,1.0000000000004028,252,251,3382,OK,229.22013111543737,0.6290069162483517,0.20170088835461766,0.33528211510542105,0.06811966160381425,1.4689224751572698,0.9621882420634921,0.9066625,0.9954570376752565,,"(0, 2, 5)",5.291844210363828,False,False
H10,newchain00,"(4, 5, 6)",newchain00_4-5-6,523.8754338875253,1.0000000000003995,244,239,3332,OK,385.6865188569554,0.4658085053539026,0.16860679846467574,0.33528211510542105,0.0019314818239304394,0.7756775495254866,0.9806459139344262,0.958723,0.9911740558292282,,"(4, 5, 6)",0.7204130983087718,False,False
H10,newchain00,"(1, 5, 8)",newchain00_1-5-8,572.5966482422882,1.000000000000406,252,252,3370,OK,222.70191276154438,0.6232714482831301,0.19810857780121238,0.33528211510542105,0.06093504049700372,1.5272853874903989,0.9578730912698412,0.894273,0.9056836057725189,,"(1, 5, 8)",7.0726932562295595,False,False
H10,newchain00,"(2, 5, 6)",newchain00_2-5-6,502.6502104623374,1.0000000000004001,246,245,3382,OK,387.2411424056619,0.4644304066876028,0.16995337126080895,0.33528211510542105,0.0046246274161968375,0.7921512066117928,0.980040918699187,0.956863,0.9431773495871019,,"(2, 5, 6)",1.3723384950163495,False,False
H10,newchain00,"(0, 5, 8)",newchain00_0-5-8,572.6930572793786,1.0000000000003972,252,251,3370,OK,219.19472177023192,0.6291783006625659,0.21530377709735044,0.33528211510542105,0.09532543908927983,1.8076616339054985,0.9522943412698412,0.889881,0.931576903158985,,"(0, 5, 8)",7.954731276678526,False,False
H10,newchain00,"(0, 7, 8)",newchain00_0-7-8,576.774939253533,1.0000000000003941,252,252,3370,OK,218.56802443478162,0.6316160918921908,0.2166503498934836,0.33528211510542105,0.09801858468154624,1.903541455019554,0.9482635396825397,0.879576,0.984190800681431,,"(0, 7, 8)",8.606656673386103,False,False
H10,newchain00,"(0, 6, 8)",newchain00_0-6-8,577.256821576917,1.0000000000003977,251,252,3370,OK,219.19472177023192,0.6291783006625659,0.2157009208385458,0.33528211510542105,0.09611972657167055,1.8517702096325275,0.9502988565737052,0.885307,0.9694765634713416,,"(0, 6, 8)",8.23207604480229,False,False
H10,newchain00,"(1, 3, 4)",newchain00_1-3-4,503.1969373303129,1.000000000000397,250,251,3332,OK,249.05513495487952,0.5919368232210813,0.18355626000354175,0.33528211510542105,0.03183040490166244,0.8474617098059964,0.97598688,0.938914,0.9743725698126546,,"(1, 3, 4)",4.035225561331047,False,False
