chain,n,rho_s0_sqd,p
newchain00,43,-0.4511667551491295,0.0023933795144033816
newchain01,43,-0.7513427791310516,6.434405707791489e-09
newchain02,43,-0.8186634485557448,1.989875194554022e-11
newchain03,43,-0.3832798220200084,0.011181235496015128
newchain04,43,-0.7021858707190572,1.5421216653316415e-07
newchain05,43,-0.6558247353492013,1.8087142302525353e-06
newchain06,43,-0.75937999056178,3.568443465610559e-09
newchain07,43,-0.8088359981367363,5.3132181911307434e-11
newchain08,43,-0.7456990084406742,9.607457529830368e-09
newchain09,43,-0.6881498147978458,3.407421010238911e-07
newchain10,43,-0.7983956981425404,1.4206952592918518e-10
newchain11,43,-0.5325950198319508,0.00023649654333764123
