chain,rho_link1,p_link1,rho_link2,p_link2,link1_holds,link2_holds
newchain00,-0.5235020957406368,0.00031540718483589314,-0.9084249246180196,4.0065465642950653e-17,True,True
newchain01,0.3669863334483018,0.015490261520925962,-0.9606858436312962,1.9592828096481184e-24,True,True
newchain02,-0.36216013737370717,0.017009386497872012,-0.9412031868989329,6.2392549629592775e-21,True,True
newchain03,0.5868046715331379,3.538275700344297e-05,-0.9694267595238439,1.2280250307575268e-26,True,True
newchain04,-0.29150932137571095,0.05787422804301838,-0.9151476250402002,8.958353106157027e-18,False,True
newchain05,0.015785499209823733,0.919972468741508,-0.9561340707888683,1.7730472791260678e-23,False,True
newchain06,-0.41101168310353015,0.006182943589157763,-0.9517153032805539,1.2161323313207368e-22,True,True
newchain07,-0.3694921677470073,0.014747930770752805,-0.9584436194569216,5.979892179077783e-24,True,True
newchain08,-0.2568904334138113,0.09632374772842511,-0.9890475365346352,1.070721303771842e-35,False,True
newchain09,-0.5842506944640823,3.899337705632588e-05,-0.8977906836176557,3.4353524778236056e-16,True,True
newchain10,-0.4883836147478634,0.0008917868319982824,-0.9674809487508286,4.2713218259806676e-26,True,True
newchain11,-0.5122531526558152,0.0004454273000968839,-0.9533917537399652,5.988127567063527e-23,True,True
