chain,rho_lucj,p_lucj,rho_sqd,p_sqd,n_sqd
newchain00,-0.04902510579864312,0.5949048056822026,-0.4511667551491295,0.0023933795144033816,43
newchain01,0.23735893475874106,0.009045310850981262,-0.7513427791310516,6.434405707791489e-09,43
newchain02,0.031785699088473826,0.7303669370015451,-0.8186634485557448,1.989875194554022e-11,43
newchain03,0.25105038052331813,0.005678797380863356,-0.3832798220200084,0.011181235496015128,43
newchain04,-0.4686818184278704,6.711632213333723e-08,-0.7021858707190572,1.5421216653316415e-07,43
newchain05,0.022462311020869662,0.8076045340215758,-0.6558247353492013,1.8087142302525353e-06,43
newchain06,0.03715455282103007,0.6870315204157439,-0.75937999056178,3.568443465610559e-09,43
newchain07,0.013854770117606333,0.8806146978321833,-0.8088359981367363,5.3132181911307434e-11,43
newchain08,0.0796883843333204,0.38693864567026753,-0.7456990084406742,9.607457529830368e-09,43
newchain09,-0.1517283239641448,0.0980674069257473,-0.6881498147978458,3.407421010238911e-07,43
newchain10,-0.695466370074528,1.2065967185497085e-18,-0.7983956981425404,1.4206952592918518e-10,43
newchain11,0.03338419275641937,0.7173680034133051,-0.5325950198319508,0.00023649654333764123,43
