chain,rho_link1,p_link1,link1_holds,rho_link2,p_link2,link2_holds
newchain00,-0.5235020957406368,0.00031540718483589314,True,-0.9084249246180196,4.0065465642950653e-17,True
newchain01,0.3669863334483018,0.015490261520925962,True,-0.9606858436312962,1.9592828096481184e-24,True
newchain02,-0.3620227559091685,0.017054408396392082,True,-0.9412387435823062,6.164453972554826e-21,True
newchain03,0.5868046715331379,3.538275700344297e-05,True,-0.9694267595238439,1.2280250307575268e-26,True
newchain04,-0.29256874060650945,0.05692840349290136,False,-0.9153897870787737,8.468379279635494e-18,True
newchain05,0.015785499209823733,0.919972468741508,False,-0.9561340707888683,1.7730472791260678e-23,True
newchain06,-0.41101168310353015,0.006182943589157763,True,-0.9517153032805539,1.2161323313207368e-22,True
newchain07,-0.36973267299821944,0.014678298122616305,True,-0.9584798137742419,5.876038938223389e-24,True
newchain08,-0.2568904334138113,0.09632374772842511,False,-0.9890475365346352,1.070721303771842e-35,True
newchain09,-0.5858502397467112,3.669469411992952e-05,True,-0.8990850670335716,2.679060389118826e-16,True
newchain10,-0.48972357943539613,0.000858836039942459,True,-0.9675906840144662,3.989495584867947e-26,True
newchain11,-0.5122531526558152,0.0004454273000968839,True,-0.9533917537399652,5.988127567063527e-23,True
