ordering,baseline,best_of_43
newchain00,217.87914259329355,172.10646317464565
newchain01,397.4206659977941,176.23536983983445
newchain02,217.05249847760211,170.47919991611238
newchain03,178.73498837171908,178.4864263062298
newchain04,367.2785846626212,261.27515814669965
newchain05,219.8508330393327,189.73265746851095
newchain06,313.31662457207,173.0256136171082
newchain07,178.5937720785915,175.30505567433164
newchain08,229.9088441620221,172.64984840434482
newchain09,293.839652818348,208.95374513184973
newchain10,279.9904175995156,223.3358144140789
newchain11,189.3079420526469,171.6496697767882
