triple,captured,err_sqd,err_lucj,S0,S_int,S0_plus_Sint,system,chain
"(0, 1, 6)",0.5885763371019783,287.9825389173369,491.1771192923107,8.23207604480229,31.139863528784684,2.053085337263252,H10,identity
"(0, 1, 7)",0.6256356334818867,225.95309927133388,479.6226885678667,8.606656673386103,32.83293317781348,2.349070867813788,H10,identity
"(0, 1, 4)",0.6356385055764427,225.9529912288274,495.9167643847708,7.954731276678526,30.86864576608879,1.9231200469079501,H10,identity
"(0, 1, 5)",0.6356385055764427,225.9529912288274,495.82634686413394,7.954731276678526,30.86864576608879,1.9231200469079501,H10,identity
"(0, 1, 8)",0.6136709749648273,237.40961119760317,487.0496842892686,11.2695437397008,47.08739870417019,4.65463781930128,H10,identity
"(0, 1, 2)",0.6282143489644749,224.59889961938285,496.03208162255544,8.606656673386103,32.83293317781348,2.349070867813788,H10,identity
"(0, 1, 3)",0.6356385055764429,225.9529912288274,496.0783809389557,8.23207604480229,31.139863528784684,2.053085337263252,H10,identity
"(0, 1, 9)",0.6375995619759883,247.27858328064744,465.0262831240566,12.151581760149767,45.3649425431995,4.833276558676202,H10,identity
"(0, 2, 4)",0.6329303916639428,233.2070232490526,494.8106077309147,5.291844210363828,16.61418023973207,-0.3824469045795422,H10,identity
"(0, 2, 5)",0.5757256819880452,294.25998017798884,495.6278187479928,5.291844210363828,16.61418023973207,-0.3824469045795422,H10,identity
"(0, 2, 3)",0.6329303916639427,233.2070232490526,491.4806864689707,5.56918897848759,16.885398002427966,-0.2524816142242411,H10,identity
"(0, 2, 6)",0.5757256819880452,294.25998017798884,492.0593372179187,5.569188978487591,16.885398002427966,-0.2524816142242407,H10,identity
"(0, 2, 7)",0.5749080116609866,295.8198576831057,484.534736524088,5.943769607071405,18.578467651456762,0.04350391632629583,H10,identity
"(0, 3, 4)",0.6329303916639429,233.2070232490526,502.3437463768481,4.917263581780013,14.921110590703275,-0.6784324351300791,H10,identity
"(0, 2, 8)",0.552231926660376,303.8089550003589,472.76989256416704,8.606656673386103,32.83293317781347,2.3490708678137877,H10,identity
"(0, 2, 9)",0.6375995619759883,247.27858328064744,487.2541096978864,9.488694693835068,31.11047701684278,2.527709607188709,H10,identity
"(0, 3, 5)",0.6329303916639428,233.2070232490526,502.1327165142839,4.917263581780013,14.921110590703275,-0.6784324351300791,H10,identity
"(0, 4, 6)",0.5749080116609866,295.8198576831057,501.63496461475887,4.917263581780014,14.921110590703275,-0.6784324351300788,H10,identity
"(0, 4, 7)",0.5749080116609866,295.8198576831057,491.8506385829078,5.291844210363828,16.61418023973207,-0.3824469045795422,H10,identity
"(0, 3, 6)",0.5749080116609866,295.8198576831057,497.9087696589479,5.194608349903776,15.192328353399166,-0.548467144774778,H10,identity
"(0, 4, 5)",0.5749080116609866,295.8198576831057,507.37888900637176,4.639918813656251,14.649892828007385,-0.80839772548538,H10,identity
"(0, 3, 7)",0.5749080116609866,295.8198576831057,488.4993240064803,5.56918897848759,16.885398002427962,-0.2524816142242414,H10,identity
"(0, 3, 8)",0.5500036044192987,306.0917193849022,482.0882508525921,8.232076044802287,31.139863528784673,2.05308533726325,H10,identity
