group,system,chain,score,k,top1,recall,regret,regret_p90,regret_worst,beats_default_top5
dev,H10,identity,S0,1,False,False,0.21707863725319532,0.21707863725319532,0.21707863725319532,
dev,H10,identity,S0,3,False,False,0.13273553674994046,0.13273553674994046,0.13273553674994046,
dev,H10,identity,S0,5,False,False,0.12261775133986755,0.12261775133986755,0.12261775133986755,True
dev,H10,identity,S0,10,False,False,0.12261775133986755,0.12261775133986755,0.12261775133986755,
dev,H10,identity,S_int,1,False,False,0.12261775133986755,0.12261775133986755,0.12261775133986755,
dev,H10,identity,S_int,3,False,False,0.12261775133986755,0.12261775133986755,0.12261775133986755,
dev,H10,identity,S_int,5,False,False,0.12261775133986755,0.12261775133986755,0.12261775133986755,True
dev,H10,identity,S_int,10,False,True,0.0,0.0,0.0,
dev,H10,identity,S0_plus_Sint,1,False,False,0.21707863725319532,0.21707863725319532,0.21707863725319532,
dev,H10,identity,S0_plus_Sint,3,False,False,0.12261775133986755,0.12261775133986755,0.12261775133986755,
dev,H10,identity,S0_plus_Sint,5,False,False,0.12261775133986755,0.12261775133986755,0.12261775133986755,True
dev,H10,identity,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
dev,H10,identity,__random__,1,0.008,0.008,0.6888371685146074,2.2406959084203475,2.2406959084203475,
dev,H10,identity,__random__,3,0.0085,0.0265,0.11281851626278862,0.7274801756251037,2.2406959084203475,
dev,H10,identity,__random__,5,0.0125,0.0465,0.11281851626278862,0.6699993850782953,2.121762272949774,
dev,H10,identity,__random__,10,0.008,0.092,0.05998422665544432,0.11281851626278862,0.6888371685146162,
dev,H10,physical,S0,1,False,False,0.6961938329702501,0.6961938329702501,0.6961938329702501,
dev,H10,physical,S0,3,False,False,0.6961938329702501,0.6961938329702501,0.6961938329702501,
dev,H10,physical,S0,5,False,False,0.13534952159880617,0.13534952159880617,0.13534952159880617,True
dev,H10,physical,S0,10,False,False,0.13534952159880617,0.13534952159880617,0.13534952159880617,
dev,H10,physical,S_int,1,False,False,0.16670470874068527,0.16670470874068527,0.16670470874068527,
dev,H10,physical,S_int,3,False,False,0.16670470874068527,0.16670470874068527,0.16670470874068527,
dev,H10,physical,S_int,5,False,False,0.16670470874068527,0.16670470874068527,0.16670470874068527,True
dev,H10,physical,S_int,10,False,False,0.13534952159880617,0.13534952159880617,0.13534952159880617,
dev,H10,physical,S0_plus_Sint,1,False,False,0.16670470874068527,0.16670470874068527,0.16670470874068527,
dev,H10,physical,S0_plus_Sint,3,False,False,0.16670470874068527,0.16670470874068527,0.16670470874068527,
dev,H10,physical,S0_plus_Sint,5,False,False,0.13534952159880617,0.13534952159880617,0.13534952159880617,True
dev,H10,physical,S0_plus_Sint,10,False,False,0.13534952159880617,0.13534952159880617,0.13534952159880617,
dev,H10,physical,__random__,1,0.0295,0.0295,0.7113604975003375,1.8284499729868617,3.1234183524218553,
dev,H10,physical,__random__,3,0.0195,0.061,0.6767242388092569,0.7808533454092,1.8808340802689925,
dev,H10,physical,__random__,5,0.0285,0.14,0.16670470874068527,0.6777223878351941,1.4067149516976976,
dev,H10,physical,__random__,10,0.023,0.2395,0.13534952159880617,0.6175230691702631,0.7213266934637385,
dev,H10,rand007,S0,1,False,False,0.5130191422251992,0.5130191422251992,0.5130191422251992,
dev,H10,rand007,S0,3,False,False,0.5034562108725873,0.5034562108725873,0.5034562108725873,
dev,H10,rand007,S0,5,False,False,0.168783788842993,0.168783788842993,0.168783788842993,True
