ordering,floor_err,default_err,status
rand000,458.75125483291777,231.12111998008623,OK
rand001,457.02451805697564,359.1898064074224,OK
rand002,381.3449308057342,187.1774591743476,OK
rand003,457.9431344577216,362.8747447208891,OK
rand004,293.33088940162446,310.67261357804375,OK
rand005,427.2470441946954,268.5222864819448,OK
rand006,377.32018103388754,183.52408505986872,OK
rand007,372.85532344303715,261.59552953727336,OK
rand008,370.1987534039315,311.113902971381,OK
rand009,216.1866537569477,266.33922131470024,OK
rand010,310.97926992247335,176.3970471421672,OK
rand011,300.0617737763731,270.6351386638,OK
rand012,442.92015915935946,255.0673167275157,OK
rand013,454.6624859770931,269.1452012822362,OK
rand014,270.50768950784754,186.7406837329044,OK
rand015,370.1266490829056,289.2113473837554,OK
rand016,452.3650329668394,231.19780067005635,OK
rand017,369.36843035732545,310.2158350971731,OK
rand018,368.7797938126316,368.62632040340947,OK
rand019,464.74537042579647,222.37208807520136,OK
rand020,298.6440782864204,284.690775749203,OK
rand021,318.4682924797624,253.82250945855577,OK
rand022,310.226245646855,219.99422376478608,OK
rand023,361.17921720893696,278.53585589537477,OK
rand024,471.2943769501043,270.9723757653517,OK
rand025,265.19775374900246,217.74903345125907,OK
rand026,257.1342168441584,216.0745174590275,OK
rand027,457.37781868239756,372.5759795152674,OK
rand028,247.7689842972568,235.46461920299856,OK
rand029,454.96955647085,454.89330798801575,OK
rand030,253.98621300831616,168.66670723260137,OK
rand031,471.19253358502357,377.43529140104835,OK
rand032,301.2944617541011,264.7799701135831,OK
rand033,310.23340048654455,221.50774203635848,OK
rand034,371.1699800115333,181.00305198475297,OK
rand035,437.9248403054428,268.8065266568396,OK
rand036,396.8360844182461,224.42560063128437,OK
rand037,306.3925617022614,175.59684296815092,OK
rand038,457.16037711693946,219.42750119900188,OK
rand039,458.3386915538306,303.2000513751205,OK
rand040,376.27974736489824,272.6496215540184,OK
rand041,457.75172473921623,305.9689524073459,OK
rand042,256.0148368911772,221.15204072072635,OK
rand043,377.0860144685617,308.5958691465942,OK
rand044,361.18868638763234,236.0160073700781,OK
rand045,311.0221113790086,183.03166026683203,OK
rand046,447.9711310872654,222.07898207172065,OK
rand047,465.7039966157752,383.1635803108098,OK
rand048,306.7802112063491,223.11024427236336,OK
rand049,394.3519091950858,278.37137418178503,OK
