ordering,triple,err_mHa,source,status
identity,"(1, 3, 4)",365.3773667024529,reused_c1,
identity,"(1, 6, 9)",300.6037081154602,reused_c1,
identity,"(0, 3, 9)",247.27858328064744,reused_c1,
identity,"(5, 7, 9)",236.38581837080696,reused_c1,
identity,"(3, 4, 8)",458.3386915538306,reused_c1,
identity,"(2, 7, 8)",365.3359286769646,reused_c1,
identity,"(2, 5, 8)",446.27385466703015,reused_c1,
identity,"(2, 3, 7)",458.549396056509,reused_c1,
identity,"(1, 6, 8)",303.7640003041826,reused_c1,
identity,"(5, 8, 9)",231.5027027367096,reused_c1,
identity,"(3, 5, 6)",458.6996615694874,reused_c1,
identity,"(3, 7, 8)",458.2881897578508,reused_c1,
identity,"(0, 4, 8)",300.31919403956664,reused_c1,
identity,"(2, 8, 9)",293.95766463686533,reused_c1,
identity,"(2, 5, 6)",457.9529596286971,reused_c1,
identity,"(0, 6, 7)",295.8198576831057,reused_c1,
identity,"(4, 5, 7)",458.6996615694874,reused_c1,
identity,"(5, 6, 7)",458.6996615694874,reused_c1,
identity,"(0, 8, 9)",257.11435362020563,reused_c1,
identity,"(4, 6, 8)",365.4517569539335,reused_c1,
identity,"(2, 4, 9)",301.5627342514975,reused_c1,
identity,"(1, 7, 9)",230.3124333400728,reused_c1,
identity,"(2, 6, 8)",446.27385466703015,reused_c1,
identity,"(1, 3, 5)",365.4335079906108,reused_c1,
identity,"(2, 4, 8)",446.27385466703015,reused_c1,
identity,"(3, 6, 9)",236.38581837080696,reused_c1,
identity,"(3, 5, 8)",458.35173990481337,reused_c1,
identity,"(0, 3, 8)",306.0917193849022,reused_c1,
identity,"(0, 4, 6)",295.8198576831057,reused_c1,
identity,"(2, 4, 5)",458.6996615694874,reused_c1,
identity,"(4, 6, 9)",236.38581837080696,reused_c1,
identity,"(1, 2, 9)",233.34141210869143,reused_c1,
identity,"(3, 6, 8)",458.3452761510429,reused_c1,
identity,"(5, 6, 9)",236.38581837080696,reused_c1,
identity,"(0, 2, 4)",233.2070232490526,reused_c1,
identity,"(2, 5, 9)",238.28833543724937,reused_c1,
identity,"(0, 1, 6)",287.9825389173369,reused_c1,
identity,"(2, 3, 8)",458.3386915538306,reused_c1,
identity,"(0, 3, 6)",295.8198576831057,reused_c1,
identity,"(0, 4, 7)",295.8198576831057,reused_c1,
physical,"(1, 3, 4)",268.87516285398937,new,OK
physical,"(1, 6, 9)",223.04536112231955,new,OK
physical,"(0, 3, 9)",268.0928570822267,new,OK
physical,"(5, 7, 9)",219.32371513488567,reused_c2,
physical,"(3, 4, 8)",253.28443405287172,new,OK
physical,"(2, 7, 8)",183.2359694617729,new,OK
physical,"(2, 5, 8)",212.06927215720216,new,OK
physical,"(2, 3, 7)",175.17356732665235,reused_c2,
physical,"(1, 6, 8)",183.58452992042817,reused_c2,
physical,"(5, 8, 9)",225.71215968089663,new,OK
