E_lucj,err_lucj,overlap,full_capture,triple,ordering,triple_str,err_sqd
-4.338267240184483,627.8038481413378,0.29859603221971537,1.000000000000402,"(1, 6, 8)",physical,"(1, 6, 8)",183.58452992042817
-4.392541931752901,573.5291565729196,0.31517084902159487,1.0000000000003997,"(1, 4, 7)",physical,"(1, 4, 7)",268.87516285398937
-4.422524109016915,543.5469793089061,0.31521501985921707,1.000000000000403,"(2, 4, 6)",physical,"(2, 4, 6)",297.572227797807
-4.3940635550850065,572.0075332408144,0.31807876147774955,1.000000000000404,"(1, 6, 7)",physical,"(1, 6, 7)",270.74337446453
-4.396847889568018,569.2231987578032,0.3477092597550268,1.0000000000004026,"(0, 2, 7)",physical,"(0, 2, 7)",221.6289189077152
-4.418852810014774,547.2182783110471,0.3733299943115382,1.0000000000004017,"(3, 6, 9)",physical,"(3, 6, 9)",269.1237568078595
-4.394141161111653,571.9299272141676,0.31576022930104614,1.0000000000004006,"(1, 2, 6)",physical,"(1, 2, 6)",220.4397209424638
-4.395756841688017,570.3142466378042,0.3165689890439406,1.0000000000004052,"(1, 5, 7)",physical,"(1, 5, 7)",226.48491392501313
-4.363597782645272,602.4733056805492,0.36938979880318673,1.0000000000003997,"(0, 2, 9)",physical,"(0, 2, 9)",268.5719206638488
-4.416834864558394,549.2362237674264,0.3759912893377323,1.0000000000004092,"(5, 7, 9)",physical,"(5, 7, 9)",219.32371513488567
-4.433393543363826,532.6775449619952,0.32067545495418887,1.0000000000004021,"(2, 3, 5)",physical,"(2, 3, 5)",304.7670319220908
-4.388735228536893,577.3358597889278,0.3349861783699366,1.0000000000003972,"(0, 5, 7)",physical,"(0, 5, 7)",220.94528600747145
-4.389615705598299,576.4553827275219,0.30975221411871073,1.0000000000004001,"(1, 5, 6)",physical,"(1, 5, 6)",210.0243033866711
-4.396222964301082,569.8481240247384,0.34196135170615904,1.0000000000004132,"(0, 2, 6)",physical,"(0, 2, 6)",218.63787417716551
-4.417915549524631,548.1555388011898,0.31146937978418265,1.0000000000003988,"(5, 6, 7)",physical,"(5, 6, 7)",269.86705160719634
-4.4242063208622,541.864767463621,0.38204933711647504,1.000000000000402,"(2, 6, 9)",physical,"(2, 6, 9)",268.3478007147997
-4.394062398386224,572.0086899395964,0.31140164632768397,1.0000000000004035,"(1, 3, 5)",physical,"(1, 3, 5)",264.65016424447094
-4.374712841741071,591.3582465847495,0.2885400449083373,1.0000000000003992,"(4, 6, 8)",physical,"(4, 6, 8)",301.16552450996005
