dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin,err_lucj,full_capture
15,15,225,39,41,2672,14814,OK,28.84444850734269,0.9806563594670196,identity,"(0, 1, 2)",0.2883321499011539,0.46557389435310936,0.11109040544919842,196.99025271097526,1.0000000000001303
15,15,225,43,42,2688,14814,OK,31.870454303643214,0.9788639618129478,identity,"(0, 1, 3)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.73821783479195,1.0000000000001286
15,15,225,43,42,2672,14812,OK,31.870454303643214,0.9788639618129478,identity,"(0, 1, 4)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.73821783479195,1.0000000000001286
15,15,225,43,42,2696,14814,OK,31.870454303643214,0.9788639618129478,identity,"(0, 1, 5)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.73821783479195,1.0000000000001286
15,15,225,43,42,2672,14814,OK,31.870454303643214,0.9788639618129478,identity,"(0, 1, 6)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.73821783479195,1.0000000000001286
15,15,225,41,42,2696,14814,OK,24.289052413038803,0.9831338991515087,identity,"(0, 1, 7)",0.2883321499011539,0.46557389435310936,0.11109040544919842,195.56600417168113,1.0000000000001308
15,15,225,47,47,2672,14814,OK,31.870454303643214,0.9788639618129477,identity,"(0, 1, 8)",0.3130620797915397,0.46557389435310936,0.1605502652299701,178.78282184649663,1.0000000000001275
15,15,225,46,45,2672,14814,OK,24.267038653349005,0.9831497139805823,identity,"(0, 1, 9)",0.31621179744580524,0.46557389435310936,0.1668497005385012,171.6496972727839,1.0000000000001263
15,15,225,38,39,2686,14814,OK,46.56101398974499,0.9659792814594121,identity,"(0, 2, 3)",0.2626236782475807,0.46557389435310936,0.05967346214205206,219.48523498463146,1.0000000000001297
15,15,225,38,39,2654,14812,OK,46.56101398974499,0.9659792814594121,identity,"(0, 2, 4)",0.2626236782475807,0.46557389435310936,0.05967346214205206,219.48523498463146,1.0000000000001297
15,15,225,38,39,2696,14814,OK,46.56101398974499,0.9659792814594121,identity,"(0, 2, 5)",0.2626236782475807,0.46557389435310936,0.05967346214205206,219.48523498463146,1.0000000000001297
