dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin
15,15,225,26,26,2654,14812,OK,106.66698534174657,0.8020183055023274,reverse,"(2, 4, 6)",0.233765488939742,0.46557389435310936,0.0019570835263746453
15,15,225,26,26,2696,14812,OK,106.66698534174657,0.8020183055023274,reverse,"(2, 4, 5)",0.233765488939742,0.46557389435310936,0.0019570835263746453
15,15,225,36,36,2696,14814,OK,29.068263305447317,0.9781335524780966,reverse,"(2, 5, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096
15,15,225,26,27,2696,14814,OK,106.66698534184604,0.8020183055023276,reverse,"(3, 5, 7)",0.233765488939742,0.46557389435310936,0.0019570835263746453
15,15,225,43,49,2686,14814,OK,46.56101398974499,0.965979281459412,reverse,"(0, 3, 9)",0.2905033257922321,0.46557389435310936,0.11543275723135486
15,15,225,38,36,2696,14814,OK,33.0299463829391,0.9558504132451004,reverse,"(2, 5, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075
15,15,225,38,39,2686,14814,OK,46.56101398974499,0.9659792814594121,reverse,"(0, 2, 3)",0.2626236782475807,0.46557389435310936,0.05967346214205206
15,15,225,37,39,2696,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(0, 3, 5)",0.26164513648439336,0.46557389435310936,0.05771637861567742
15,15,225,43,42,2672,14812,OK,31.870454303643214,0.9788639618129478,reverse,"(0, 1, 4)",0.28735360813796657,0.46557389435310936,0.1091333219228238
15,15,225,43,49,2654,14814,OK,46.56101398974499,0.965979281459412,reverse,"(0, 6, 9)",0.2905033257922321,0.46557389435310936,0.11543275723135486
15,15,225,26,26,2696,14814,OK,106.66698534174657,0.8020183055023274,reverse,"(2, 3, 5)",0.233765488939742,0.46557389435310936,0.0019570835263746453
15,15,225,38,36,2654,14812,OK,33.0299463829391,0.9558504132451004,reverse,"(2, 4, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075
15,15,225,41,43,2654,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(0, 6, 8)",0.28735360813796657,0.46557389435310936,0.10913332192282374
15,15,225,32,31,2686,14814,OK,46.02280850293994,0.9581210331383865,reverse,"(3, 6, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631
15,15,225,26,23,2696,14814,OK,104.01992929894277,0.8030626249760254,reverse,"(2, 3, 7)",0.23474403070292932,0.46557389435310936,0.003914167052749291
15,15,225,38,34,2686,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(3, 6, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424
15,15,225,43,42,2696,14814,OK,29.259903314340363,0.9788515552522662,reverse,"(7, 8, 9)",0.28833214990115386,0.46557389435310936,0.11109040544919838
15,15,225,34,32,2696,14814,OK,46.02280850293994,0.9581210331383865,reverse,"(1, 5, 6)",0.25849541883012783,0.46557389435310936,0.05141694330714636
15,15,225,35,35,2696,14814,OK,27.133941327647904,0.9788648172146902,reverse,"(1, 2, 7)",0.26045250235650247,0.46557389435310936,0.055331110359895644
15,15,225,41,43,2696,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(0, 5, 8)",0.28735360813796657,0.46557389435310936,0.10913332192282374
15,15,225,40,38,2672,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(1, 2, 9)",0.2883321499011539,0.46557389435310936,0.11109040544919843
15,15,225,46,45,2672,14814,OK,24.267038653349005,0.9831497139805823,reverse,"(0, 1, 9)",0.31621179744580524,0.46557389435310936,0.1668497005385012
15,15,225,44,43,2686,14814,OK,31.870454303643214,0.9788639618129477,reverse,"(3, 8, 9)",0.28735360813796657,0.46557389435310936,0.10913332192282374
15,15,225,26,26,2686,14812,OK,106.66698534174657,0.8020183055023274,reverse,"(2, 3, 4)",0.233765488939742,0.46557389435310936,0.0019570835263746453
15,15,225,26,23,2696,14814,OK,104.01992929894277,0.8030626249760254,reverse,"(2, 6, 7)",0.23474403070292932,0.46557389435310936,0.003914167052749291
15,15,225,37,39,2686,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(0, 3, 6)",0.26164513648439336,0.46557389435310936,0.05771637861567742
15,15,225,43,42,2688,14814,OK,31.870454303643214,0.9788639618129478,reverse,"(0, 1, 3)",0.28735360813796657,0.46557389435310936,0.1091333219228238
15,15,225,21,20,2696,14814,OK,113.99971569494483,0.7962485851786193,reverse,"(3, 5, 6)",0.23278694717655468,0.46557389435310936,2.607619655227535e-66
15,15,225,41,43,2686,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(0, 3, 8)",0.28735360813796657,0.46557389435310936,0.10913332192282374
15,15,225,36,33,2688,14814,OK,51.781914492949,0.9562949301626548,reverse,"(1, 3, 8)",0.284203890483701,0.46557389435310936,0.10283388661429267
15,15,225,45,42,2688,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(1, 3, 9)",0.28735360813796657,0.46557389435310936,0.1091333219228238
15,15,225,39,41,2672,14814,OK,28.84444850734269,0.9806563594670196,reverse,"(0, 1, 2)",0.2883321499011539,0.46557389435310936,0.11109040544919842
15,15,225,44,43,2696,14814,OK,31.870454303643214,0.9788639618129477,reverse,"(5, 8, 9)",0.28735360813796657,0.46557389435310936,0.10913332192282374
15,15,225,21,20,2696,14812,OK,113.99971569494483,0.7962485851786193,reverse,"(3, 4, 5)",0.23278694717655468,0.46557389435310936,4.1123931627165904e-67
15,15,225,26,26,2686,14814,OK,106.66698534174657,0.8020183055023274,reverse,"(2, 3, 6)",0.233765488939742,0.46557389435310936,0.0019570835263746453
15,15,225,46,46,2654,14814,OK,31.307073886935655,0.9762021976868116,reverse,"(0, 8, 9)",0.3162117974458052,0.46557389435310936,0.16684970053850112
15,15,225,38,34,2696,14812,OK,31.870454303643214,0.9788639618129475,reverse,"(4, 5, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424
15,15,225,45,42,2696,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(1, 5, 9)",0.28735360813796657,0.46557389435310936,0.1091333219228238
15,15,225,32,31,2696,14814,OK,46.02280850293994,0.9581210331383865,reverse,"(3, 5, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631
15,15,225,38,34,2696,14814,OK,31.870454303643214,0.9788639618129475,reverse,"(5, 6, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424
15,15,225,31,32,2724,14812,OK,45.75080481754412,0.9643927567155179,r039,"(2, 4, 6)",0.22415892421684902,0.44636076490732335,0.0019570835263746453
15,15,225,31,32,2726,14812,OK,45.75080481754412,0.9643927567155179,r039,"(2, 4, 5)",0.22415892421684902,0.44636076490732335,0.0019570835263746453
15,15,225,34,36,2726,14814,OK,37.2598280890486,0.973211483030115,r039,"(2, 5, 8)",0.24986739587042214,0.44636076490732335,0.05337402683352096
15,15,225,35,32,2726,14814,OK,41.59491381363978,0.9645794364322233,r039,"(3, 5, 7)",0.22415892421684902,0.44636076490732335,0.0019570835263746453
15,15,225,47,43,2766,14814,OK,48.084568788738125,0.9629211927822986,r039,"(0, 3, 9)",0.28089676106933914,0.44636076490732335,0.11543275723135486
15,15,225,35,37,2756,14814,OK,49.22033479513743,0.9620023579000732,r039,"(2, 5, 9)",0.2530171135246877,0.44636076490732335,0.059673462142052075
15,15,225,39,38,2736,14814,OK,50.33715381054549,0.9632309741275616,r039,"(0, 2, 3)",0.2530171135246877,0.44636076490732335,0.05967346214205206
15,15,225,37,39,2736,14814,OK,51.71034096474614,0.9620186330560143,r039,"(0, 3, 5)",0.2520385717615004,0.44636076490732335,0.05771637861567742
15,15,225,36,42,2734,14812,OK,31.307073886935655,0.9762021976868118,r039,"(0, 1, 4)",0.27774704341507356,0.44636076490732335,0.1091333219228238
15,15,225,47,43,2764,14814,OK,48.084568788738125,0.9629211927822986,r039,"(0, 6, 9)",0.28089676106933914,0.44636076490732335,0.11543275723135486
15,15,225,31,32,2726,14814,OK,45.75080481754412,0.9643927567155179,r039,"(2, 3, 5)",0.22415892421684902,0.44636076490732335,0.0019570835263746453
15,15,225,35,37,2754,14812,OK,49.22033479513743,0.9620023579000732,r039,"(2, 4, 9)",0.2530171135246877,0.44636076490732335,0.059673462142052075
15,15,225,42,42,2734,14814,OK,39.53086646883719,0.972737887074901,r039,"(0, 6, 8)",0.27774704341507356,0.44636076490732335,0.10913332192282374
15,15,225,35,32,2726,14814,OK,49.74748074573654,0.9570155385460307,r039,"(3, 6, 8)",0.24888885410723482,0.44636076490732335,0.05141694330714631
15,15,225,35,33,2726,14814,OK,38.688189150647645,0.9674939870277988,r039,"(2, 3, 7)",0.22513746598003634,0.44636076490732335,0.003914167052749291
