shots,seed,energy,err_mHa,n_unique_alpha,n_unique_beta,depth,captured,top15_alpha,top15_beta
500000,2026,-4.746166162240812,219.9049260850092,251,249,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
500000,7,-4.746480817940117,219.59027038570423,249,250,3282,0.6557435880616465,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0100001111|0100010111|0100011011|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
500000,13,-4.746166162240812,219.9049260850092,252,247,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
500000,41,-4.746166162240812,219.9049260850092,250,251,3282,0.6547827697182128,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
500000,97,-4.746166162240812,219.9049260850092,250,251,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
2000000,2026,-4.746166162240812,219.9049260850092,252,252,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
2000000,7,-4.746166162240812,219.9049260850092,252,252,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
2000000,13,-4.746166162240812,219.9049260850092,252,252,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
2000000,41,-4.746166162240812,219.9049260850092,252,252,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
2000000,97,-4.746166162240812,219.9049260850092,252,252,3282,0.6547827697182127,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110,0000011111|0000101111|0000111101|0000111110|0001010111|0010001111|0010010111|0100001111|0100010111|0100011101|0100011110|1000001111|1000010111|1000011101|1000011110
