ordering,err_mHa,captured,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,retained_J,retained_J_samespin,retained_J_oppspin
identity,300.31919403956664,0.5554887797095325,0.23224869139795454,0.14839720173418003,0.31610018106172905,0.3045318468582826,0.16579100402022162,0.44327268969634365,0.5472025560278337,0.0944051120556674,1.0,0.16190393350724216,0.24419999627885725,0.3930745534684346,0.09532543908927983
physical,389.7149558584312,0.4516828391937879,0.31614044655300405,0.3415516488422823,0.2907292442637258,0.18547773875522194,0.30332595223794667,0.06762952527249719,0.8828130931116978,0.7656261862233956,1.0,0.5457242906129373,0.16162561933334427,0.3186266112504917,0.004624627416196836
physical_reverse,218.63787417716551,0.6615930986901127,0.3162039932383287,0.3415516488422823,0.2908563376343752,0.3035023587019699,0.30332595223794667,0.3036787651659931,0.8828130931116978,0.7656261862233956,1.0,0.5457242906129373,0.19377028016834832,0.3186266112504917,0.06891394908620496
rand000,231.12111998009334,0.629809834588214,0.2347073815428511,0.1656843239053176,0.3037304391803846,0.34246683161957275,0.18058245572797463,0.5043512075111709,0.5258310807116579,0.051662161423315624,1.0,0.1703157877377648,0.26489437275137145,0.39927862033879624,0.13051012516394672
rand001,359.1898064074224,0.5234123608024195,0.23636049443085072,0.19698377250306723,0.2757372163586342,0.1583386052739194,0.23689821631006644,0.07977899423777238,0.610169133582001,0.22033826716400196,1.0,0.20863071181151033,0.2119512218076276,0.41848352871666766,0.005418914898587555
rand002,187.1774591743476,0.6853607550691929,0.24880444189933806,0.19662782402594048,0.30098105977273565,0.3098238000918139,0.15117358026639843,0.46847401991722937,0.6880642711197645,0.37612854223952913,1.0,0.273618866636016,0.21484084158936542,0.3316630984971845,0.09801858468154631
rand003,363.22616918158394,0.5067607870286708,0.23815559445753304,0.16033810123758777,0.31597308767747834,0.19655150861375886,0.18596151771013344,0.20714149951738425,0.605150511047238,0.21030102209447601,1.0,0.1845577464678605,0.21530647037528483,0.3995768233312979,0.031036117419271713
rand004,310.67261357804375,0.5189292714936912,0.24618921220699613,0.1888637741131918,0.3035146503008005,0.2146799694537795,0.20988414373206152,0.2194757951754975,0.6490061345539051,0.29801226910781015,1.0,0.22417095808670373,0.21808114500665307,0.40433188511164364,0.03183040490166244
rand005,268.5222864819448,0.5924890697407736,0.2615493357539202,0.23448735360932138,0.288611317898519,0.3127597543676448,0.3269743963537901,0.29854511238149944,0.6417735204196966,0.28354704083939314,1.0,0.256731953062817,0.2492600537814862,0.42960615847676736,0.068913949086205
rand006,183.52408505986872,0.6909992981454953,0.26363052738453363,0.21340589344697608,0.3138551613220911,0.4050936497322412,0.18962341738804003,0.6205638820764424,0.6004671969025712,0.20093439380514241,1.0,0.20497663407615127,0.22749976945960304,0.32977517675219414,0.1252243621670119
rand007,261.59552953727336,0.5995156824584572,0.27836343200903707,0.2385087566118674,0.31821810740620676,0.3771606431359734,0.3110387086195118,0.4432825776524351,0.662926502733187,0.3258530054663741,1.0,0.2659287385598101,0.25954205000390435,0.4237586609185288,0.09532543908927986
rand008,311.23547464428026,0.5149314451862219,0.23682276725948903,0.1979083181528671,0.2757372163661109,0.142573850471689,0.18719308062159296,0.09795462032178504,0.6438780765685055,0.2877561531370111,1.0,0.23541052934060697,0.19791574374454052,0.3885137144806178,0.007317773008463233
rand009,266.33922131470024,0.5775754790165861,0.242130296585907,0.1961536349351814,0.2881069582366326,0.1757034344647368,0.2841238123205637,0.06728305660890987,0.7129958363536697,0.4259916727073395,1.0,0.3098181121931925,0.19551615364799896,0.38640767987980107,0.004624627416196836
rand010,176.3970471421672,0.708103650573283,0.23461495877280553,0.15546345171507153,0.3137664658305395,0.2836114232879192,0.17782803182070253,0.38939481475513593,0.647633417485452,0.29526683497090395,1.0,0.23018622222522933,0.22559186219712923,0.39024868389725476,0.06093504049700372
rand011,270.6351386638,0.5892379222780979,0.25828478642836505,0.2279582549520865,0.28861131790464356,0.32711117745927276,0.3737709183355952,0.28045143658295024,0.6678722326166799,0.3357444652333598,1.0,0.22395422541080318,0.28734216961469794,0.5076692482530666,0.06701509097632934
rand012,255.0074621085714,0.6181103099631258,0.23054876287818135,0.15787144623786448,0.3032260795184982,0.19613494930318182,0.11918074686778225,0.2730891517385814,0.6725430979735818,0.34508619594716367,1.0,0.22766590390737024,0.17758559326455028,0.28895038303516196,0.06622080349393857
rand013,269.1452012822362,0.5685558974932015,0.261916415980053,0.20773265089837692,0.31610018106172905,0.35607887254558335,0.268885055394823,0.44327268969634365,0.693143704339406,0.38628740867881206,1.0,0.28442814928650084,0.21669822223977894,0.338071005390278,0.09532543908927983
rand014,186.7406837329044,0.6768095886388308,0.2667292041847335,0.23035942224512587,0.3030989861243411,0.19028180988394422,0.1430871372451248,0.2374764825227636,0.5863512485837673,0.17270249716753464,1.0,0.23568591246041176,0.15396350941166942,0.2741977558118008,0.03372926301153811
rand015,289.2113473837554,0.5666577620594963,0.23870922691218616,0.16365198799383282,0.3137664658305395,0.28894226454740035,0.18848971433966483,0.38939481475513593,0.5260116501042478,0.12821472307534088,0.9238085771331547,0.16652372227969314,0.23324922477250595,0.4055634090480082,0.06093504049700372
