chain,triple,err_lucj,full_capture
identity,"(0, 1, 2)",614.6149453365979,1.000000000000735
identity,"(0, 1, 3)",617.4400817344576,1.0000000000007387
identity,"(0, 1, 4)",617.6150227529433,1.0000000000007112
identity,"(0, 1, 5)",623.6280067573716,1.000000000000712
identity,"(0, 1, 6)",623.4501673425257,1.000000000000715
identity,"(0, 1, 7)",613.0054619188741,1.0000000000007672
identity,"(0, 1, 8)",611.796761194455,1.000000000000747
identity,"(0, 1, 9)",612.7982942671224,1.0000000000007574
identity,"(0, 1, 10)",577.7023776181522,1.0000000000007703
identity,"(0, 1, 11)",561.9773054554571,1.0000000000007685
identity,"(0, 2, 3)",659.1653582718209,1.0000000000007219
identity,"(0, 2, 4)",659.3184785219819,1.0000000000007117
identity,"(0, 2, 5)",665.0092818135818,1.0000000000007354
identity,"(0, 2, 6)",664.8054552019858,1.000000000000715
identity,"(0, 2, 7)",653.9356273833619,1.0000000000006748
identity,"(0, 2, 8)",652.6680696993026,1.0000000000007185
identity,"(0, 2, 9)",653.9699256650238,1.0000000000007205
identity,"(0, 2, 10)",615.0394831474841,1.0000000000007536
identity,"(0, 2, 11)",601.3712470808059,1.000000000000697
identity,"(0, 3, 4)",662.8200984932846,1.0000000000006757
identity,"(0, 3, 5)",668.0834192147813,1.0000000000007279
identity,"(0, 3, 6)",667.8509330608904,1.0000000000007025
identity,"(0, 3, 7)",656.5302669805533,1.0000000000006752
identity,"(0, 3, 8)",655.3815835350179,1.0000000000007239
identity,"(0, 3, 9)",656.5890770589249,1.000000000000733
identity,"(0, 3, 10)",618.0286702365265,1.000000000000753
identity,"(0, 3, 11)",602.5426954784052,1.0000000000006302
identity,"(0, 4, 5)",668.4036690621724,1.0000000000006721
identity,"(0, 4, 6)",668.1785401069646,1.0000000000006708
identity,"(0, 4, 7)",657.227321503342,1.000000000000705
identity,"(0, 4, 8)",655.4204390354244,1.0000000000006946
identity,"(0, 4, 9)",656.7499464167668,1.0000000000006988
identity,"(0, 4, 10)",618.1326475170863,1.0000000000007412
identity,"(0, 4, 11)",603.8807889103737,1.0000000000006095
identity,"(0, 5, 6)",674.1276471248057,1.0000000000007174
identity,"(0, 5, 7)",663.4915410622853,1.0000000000006903
identity,"(0, 5, 8)",662.010739049947,1.0000000000007088
identity,"(0, 5, 9)",662.9179224050858,1.0000000000007108
identity,"(0, 5, 10)",623.9104581095489,1.0000000000007396
identity,"(0, 5, 11)",611.5507663644166,1.000000000000564
identity,"(0, 6, 7)",663.3417768030085,1.0000000000006612
identity,"(0, 6, 8)",661.8658765737564,1.0000000000006755
identity,"(0, 6, 9)",662.7440490588015,1.0000000000007083
identity,"(0, 6, 10)",623.7146404400846,1.000000000000741
identity,"(0, 6, 11)",611.5514206830994,1.0000000000005278
identity,"(0, 7, 8)",651.9665481864649,1.0000000000007163
identity,"(0, 7, 9)",652.385838639475,1.0000000000007017
identity,"(0, 7, 10)",613.1004410422065,1.0000000000007327
identity,"(0, 7, 11)",603.9022012155328,1.0000000000005747
identity,"(0, 8, 9)",651.1062329495871,1.0000000000007343
identity,"(0, 8, 10)",611.7886496799656,1.0000000000007516
identity,"(0, 8, 11)",602.6136977616261,1.000000000000657
identity,"(0, 9, 10)",612.8720211213476,1.0000000000007703
identity,"(0, 9, 11)",601.4194221997968,1.0000000000007294
identity,"(0, 10, 11)",562.0795094932873,1.0000000000007585
identity,"(1, 2, 3)",662.6861658664893,1.0000000000006675
identity,"(1, 2, 4)",662.9271849087672,1.00000000000065
identity,"(1, 2, 5)",671.5318765332086,1.00000000000061
identity,"(1, 2, 6)",671.5266601404437,1.0000000000006248
identity,"(1, 2, 7)",662.6130940267103,1.0000000000006344
identity,"(1, 2, 8)",662.55756011833,1.0000000000006601
identity,"(1, 2, 9)",662.0821621459072,1.0000000000006501
identity,"(1, 2, 10)",625.3558653529581,1.0000000000006357
identity,"(1, 2, 11)",612.8354798452165,1.0000000000007254
identity,"(1, 3, 4)",664.1590806220847,1.0000000000006597
identity,"(1, 3, 5)",672.3044516711525,1.0000000000006062
identity,"(1, 3, 6)",672.2692302496398,1.0000000000005722
identity,"(1, 3, 7)",662.9032508362798,1.0000000000006435
