chain,permutation,triple,role,tag,err_lucj,full_capture,depth,two_qubit_count,n_unique_alpha,n_unique_beta,dim,status,err_mHa,captured,retained_J_samespin,S0
identity,01234567891011,"(1, 6, 9)",triple,identity_1-6-9,671.7445051831419,1.0000000000006477,5510,40080,313,321,3025,OK,266.45354235915875,0.7921598487256148,0.42224937674827345,1.4212095967534368
identity,01234567891011,"(4, 10, 11)",triple,identity_4-10-11,613.1816774454819,1.0000000000007485,5438,40080,345,350,3025,OK,211.21125030504118,0.835540665037674,0.42224937674827345,2.4543201606952563
identity,01234567891011,"(4, 6, 9)",triple,identity_4-6-9,713.3576206160797,1.0000000000005353,5510,40080,268,261,3025,OK,350.7726271291176,0.5603673135286191,0.42224937674827345,0.39446540330290425
identity,01234567891011,"(3, 4, 9)",triple,identity_3-4-9,704.6381445297811,1.0000000000005334,5510,40080,283,287,3025,OK,296.9484199029466,0.6571836537563213,0.42224937674827345,0.6703821238864874
identity,01234567891011,"(1, 3, 8)",triple,identity_1-3-8,662.9615895394636,1.0000000000005955,5510,40080,313,323,3025,OK,258.2996701053162,0.8012781574942572,0.42224937674827345,1.6775054690388815
identity,01234567891011,"(0, 3, 11)",triple,identity_0-3-11,602.5426954784052,1.0000000000006302,5510,40080,384,410,3025,OK,202.0433471720935,0.8626804489605239,0.42224937674827345,2.8170516614933208
identity,01234567891011,"(3, 6, 11)",triple,identity_3-6-11,662.073013112149,1.0000000000007179,5510,40080,322,335,3025,OK,241.1528739280584,0.7839758572007147,0.42224937674827345,1.5600999150559562
identity,01234567891011,"(2, 6, 10)",triple,identity_2-6-10,671.7639519479235,1.0000000000006255,5438,40080,312,314,3025,OK,264.02192856403417,0.7943540651645453,0.42224937674827345,1.421209596753437
identity,01234567891011,"(5, 6, 11)",triple,identity_5-6-11,674.2608865629336,1.0000000000006988,5510,40080,318,322,3025,OK,222.89820458809118,0.8028316278854065,0.42224937674827345,1.2841831944723732
identity,01234567891011,"(1, 2, 8)",triple,identity_1-2-8,662.55756011833,1.0000000000006601,5510,40080,322,312,3025,OK,253.79029578334666,0.8083983187949574,0.42224937674827345,1.6971263173370201
identity,01234567891011,"(0, 2, 8)",triple,identity_0-2-8,652.6680696993026,1.0000000000007185,5438,40080,343,339,3025,OK,213.8821379271576,0.8164527059624126,0.42224937674827345,1.8556374839376772
identity,01234567891011,"(3, 5, 11)",triple,identity_3-5-11,661.9274341428536,1.0000000000007288,5510,40080,327,331,3025,OK,240.11028529002942,0.7873896114909342,0.42224937674827345,1.5600999150559562
identity,01234567891011,"(4, 9, 10)",triple,identity_4-9-10,662.7422041910904,1.0000000000006353,5510,40080,311,317,3025,OK,228.35201805219185,0.8100429500475225,0.42224937674827345,1.492905983139612
identity,01234567891011,"(0, 6, 7)",triple,identity_0-6-7,663.3417768030085,1.0000000000006612,5510,40080,321,326,3025,OK,242.60380046598584,0.7864841978310484,0.42224937674827345,1.3558795808585475
identity,01234567891011,"(5, 6, 7)",triple,identity_5-6-7,723.9656977249069,1.0000000000004516,5510,40080,245,241,3025,OK,355.21471773790836,0.5523377609378334,0.42224937674827345,0.09892783442118286
identity,01234567891011,"(3, 6, 7)",triple,identity_3-6-7,713.8348310759284,1.0000000000005151,5510,40080,266,256,3025,OK,340.8955183699618,0.5866486077661476,0.42224937674827345,0.374844555004766
identity,01234567891011,"(4, 9, 11)",triple,identity_4-9-11,654.1057072377043,1.0000000000006826,5510,40080,327,342,3025,OK,218.07784550492215,0.810230120343442,0.42224937674827345,1.6514171497402697
identity,01234567891011,"(4, 5, 9)",triple,identity_4-5-9,713.3819756631965,1.0000000000005327,5510,40080,258,258,3025,OK,351.01608213517466,0.5604238168966742,0.42224937674827345,0.3944654033029043
identity,01234567891011,"(2, 4, 10)",triple,identity_2-4-10,663.365207474726,1.0000000000006781,5438,40080,319,317,3025,OK,222.99732012925233,0.8163387883689388,0.42224937674827345,1.492905983139612
identity,01234567891011,"(0, 5, 9)",triple,identity_0-5-9,662.9179224050858,1.0000000000007108,5510,40080,336,323,3025,OK,215.6350025802567,0.8176228556544441,0.42224937674827345,1.5797207633540942
identity,01234567891011,"(2, 6, 11)",triple,identity_2-6-11,663.006187393421,1.0000000000006644,5438,40080,333,337,3025,OK,215.01077103312127,0.8187401643292628,0.42224937674827345,1.5797207633540946
identity,01234567891011,"(1, 3, 5)",triple,identity_1-3-5,672.3044516711525,1.0000000000006062,5510,40080,307,295,3025,OK,276.73867237308514,0.7789622910412648,0.42224937674827345,1.4015887484552982
identity,01234567891011,"(0, 1, 5)",triple,identity_0-1-5,623.6280067573716,1.000000000000712,5510,40080,346,352,3025,OK,211.88167275931846,0.8333980427799963,0.42224937674827345,2.3826237743090797
identity,01234567891011,"(2, 3, 10)",triple,identity_2-3-10,663.239031835019,1.000000000000657,5510,40080,325,325,3025,OK,258.83371960298973,0.8063701701050514,0.42224937674827345,1.6971263173370204
identity,01234567891011,"(7, 9, 11)",triple,identity_7-9-11,659.5199014977879,1.0000000000007068,5510,40080,350,341,3025,OK,220.01963864431673,0.807560619033133,0.42224937674827345,1.6514171497402699
identity,01234567891011,"(0, 1, 10)",triple,identity_0-1-10,577.7023776181522,1.0000000000007703,5510,40080,394,390,3025,OK,206.08051721592346,0.8427231707950933,0.42224937674827345,3.4810643541457873
identity,01234567891011,"(4, 5, 8)",triple,identity_4-5-8,713.8823196191879,1.000000000000498,5510,40080,255,256,3025,OK,346.253369706119,0.5812789387222612,0.42224937674827345,0.3748445550047659
identity,01234567891011,"(5, 9, 10)",triple,identity_5-9-10,671.654186188789,1.0000000000006177,5510,40080,318,312,3025,OK,279.34732430230724,0.7550063699440839,0.42224937674827345,1.4212095967534373
identity,01234567891011,"(2, 3, 11)",triple,identity_2-3-11,651.1238076768677,1.0000000000007074,5510,40080,345,337,3025,OK,214.9442606919365,0.8174619420296773,0.42224937674827345,1.855637483937678
identity,01234567891011,"(2, 3, 6)",triple,identity_2-3-6,713.4125399657023,1.0000000000005167,5510,40080,261,262,3025,OK,335.3473279653372,0.5991387777354741,0.42224937674827345,0.5986857375003125
