system,chain,diagnostic,rho_err,p_err,rho_resid,p_resid
H10,identity,n_unique_alpha,-0.6231673012112655,2.94541722161203e-14,-0.5968606209016528,6.273406672809819e-13
H10,identity,n_unique_beta,-0.6179045944379479,5.5569791830577135e-14,-0.5931035401866553,9.494248052514476e-13
H10,identity,entropy_alpha,-0.7040148357245359,2.99049790649239e-19,-0.4322730745190637,8.213526214259905e-07
H10,identity,gini_alpha,0.7116294359211949,8.272657192655095e-20,0.4446489339537467,3.6215813968162656e-07
H10,identity,top15_mass_alpha,0.70487056512078,2.593640491267524e-19,0.4481630668796444,2.8531644518295566e-07
H10,identity,w16_w15_alpha,-0.25420728788096825,0.005082886684466601,-0.14196124730884085,0.12194172881476988
H10,physical,n_unique_alpha,-0.33128670030452767,0.03678209112481827,-0.27325431569730396,0.08799875251403341
H10,physical,n_unique_beta,-0.24512298795475737,0.1273841816047781,-0.14325314955591764,0.37786147928547986
H10,physical,entropy_alpha,-0.35796807528585467,0.02333316113993938,-0.27579737335834903,0.08496618887980675
H10,physical,gini_alpha,0.3402199204513776,0.031710090209252424,0.26941838649155725,0.09273069468535412
H10,physical,top15_mass_alpha,0.29120120709901237,0.06829542217127517,0.24784240150093811,0.12308399687960517
H10,physical,w16_w15_alpha,0.31082747355618545,0.05091833500907758,0.36772983114446534,0.01957286429998885
H10,rand007,n_unique_alpha,-0.5384873617916209,0.0003378855287636215,-0.6144834180792109,2.4644675412090615e-05
H10,rand007,n_unique_beta,-0.5692214593864852,0.0001265833448071739,-0.6422314480565541,7.92239686068962e-06
H10,rand007,entropy_alpha,-0.5823048578178858,8.08615171009281e-05,-0.6746716697936211,1.8059109504871675e-06
H10,rand007,gini_alpha,0.5878559947723624,6.646887808021722e-05,0.6735459662288931,1.9068022338877293e-06
H10,rand007,top15_mass_alpha,0.5598180487989047,0.00017269496194681624,0.6450281425891183,7.0218267640357155e-06
H10,rand007,w16_w15_alpha,0.43957477714092147,0.004539521949179304,0.477110694183865,0.0018529421952360823
N2,identity,n_unique_alpha,-0.5078660939811337,3.2046939200228737e-09,-0.07566923153637939,0.4114086318976633
N2,identity,n_unique_beta,-0.4585426949794285,1.3884746709335671e-07,-0.023555220879998822,0.7984380194330888
N2,identity,entropy_alpha,-0.37585429108690493,2.333137361944959e-05,0.06763325336393032,0.4629661830523503
N2,identity,gini_alpha,-0.5324040326885258,3.8861371137044275e-10,-0.14118424255067627,0.12401854256439172
N2,identity,top15_mass_alpha,0.4167401430064603,2.1948287473077863e-06,-0.016920656279000038,0.8544610203544847
N2,identity,w16_w15_alpha,0.19553346953114314,0.03233483827634789,0.05880880358819234,0.5234556319912077
N2,reverse,n_unique_alpha,-0.71866447566027,1.7656643847398507e-07,-0.08252614073662902,0.6126773702618801
N2,reverse,n_unique_beta,-0.6784659416867175,1.50095190390828e-06,-0.03885516071949602,0.8118508867761856
N2,reverse,entropy_alpha,-0.6923997662037075,7.430597840450141e-07,0.01139037936552763,0.9443871444204299
N2,reverse,gini_alpha,-0.703229088060266,4.1859424795719286e-07,-0.14995763908500426,0.3557059127363371
N2,reverse,top15_mass_alpha,0.7469331369813769,3.107392557001421e-08,0.05073896262825944,0.7558569274451931
N2,reverse,w16_w15_alpha,0.2081743746175928,0.1973852810085268,0.23091405441024193,0.1516933258716233
N2,r039,n_unique_alpha,-0.19031907098117387,0.23947350556668595,0.12615386365821452,0.43794190252964843
N2,r039,n_unique_beta,-0.24791471269722373,0.12297115617043028,0.05410128628766531,0.7402219476985776
N2,r039,entropy_alpha,-0.25743827189297086,0.10877686316267823,0.0025416548997458347,0.9875813399620953
N2,r039,gini_alpha,-0.19840663885084642,0.21971420302846412,0.1156923656217641,0.4771505047102888
N2,r039,top15_mass_alpha,0.3249568809315668,0.040762881283472135,0.03002918196366375,0.8540603892671785
N2,r039,w16_w15_alpha,0.2260471004697687,0.16075313983466918,0.29371616883561286,0.06583760992140224
