triple,two_q_gates,depth,swap_count,S0,err_sqd
"(0, 1, 2)",12747.2,7025.6,626.4,8.606656673386103,224.59889961938285
"(0, 1, 3)",13293.2,7779.0,808.4,8.23207604480229,225.9529912288274
"(0, 1, 4)",12635.0,8257.8,610.6,7.954731276678526,225.9529912288274
"(0, 1, 5)",12406.4,6619.4,532.0,7.954731276678526,225.9529912288274
"(0, 1, 6)",13068.2,7739.2,733.4,8.23207604480229,287.9825389173369
"(0, 1, 7)",12466.4,6019.8,532.8,8.606656673386103,225.95309927133388
"(0, 1, 8)",12144.8,7677.2,425.6,11.2695437397008,237.40961119760317
"(0, 1, 9)",11789.6,6874.4,307.2,12.151581760149767,247.27858328064744
"(0, 2, 3)",13257.8,8758.6,796.6,5.56918897848759,233.2070232490526
"(0, 2, 4)",13508.6,8426.8,909.4,5.291844210363828,233.2070232490526
"(0, 2, 5)",13008.2,6787.0,736.2,5.291844210363828,294.25998017798884
"(0, 2, 6)",13790.6,8525.6,974.2,5.569188978487591,294.25998017798884
"(0, 2, 7)",13274.0,6534.4,802.0,5.943769607071405,295.8198576831057
"(0, 2, 8)",12891.2,6834.8,674.4,8.606656673386103,303.8089550003589
"(0, 2, 9)",11948.0,5952.2,360.0,9.488694693835068,247.27858328064744
"(0, 3, 4)",12896.0,8681.6,692.4,4.917263581780013,233.2070232490526
"(0, 3, 5)",13173.8,8859.0,797.8,4.917263581780013,233.2070232490526
"(0, 3, 6)",13370.0,8789.6,834.0,5.194608349903776,295.8198576831057
"(0, 3, 7)",13259.0,7580.4,797.4,5.56918897848759,295.8198576831057
"(0, 3, 8)",12609.8,6802.6,580.6,8.232076044802287,306.0917193849022
"(0, 3, 9)",12453.2,6907.2,528.4,9.114114065251254,247.27858328064744
"(0, 4, 5)",12570.2,8916.4,674.2,4.639918813656251,295.8198576831057
"(0, 4, 6)",13193.0,8625.0,800.2,4.917263581780014,295.8198576831057
"(0, 4, 7)",13379.6,7591.2,860.4,5.291844210363828,295.8198576831057
"(0, 4, 8)",12813.8,7815.2,676.2,7.954731276678526,300.31919403956664
"(0, 4, 9)",11781.8,6237.0,323.4,8.836769297127493,247.27858328064744
"(0, 5, 6)",12624.8,8788.0,601.6,4.917263581780014,295.8198576831057
"(0, 5, 7)",13194.2,8182.2,792.6,5.291844210363828,295.8198576831057
"(0, 5, 8)",12920.6,6955.6,700.2,7.954731276678526,374.3630554883097
"(0, 5, 9)",12099.2,6283.8,430.4,8.836769297127493,247.27858328064744
"(0, 6, 7)",13614.2,8568.8,915.4,5.569188978487591,295.8198576831057
"(0, 6, 8)",12489.8,6500.8,540.6,8.23207604480229,372.931064268756
"(0, 6, 9)",12210.8,6560.2,447.6,9.114114065251254,247.27858328064744
"(0, 7, 8)",12518.0,7442.2,550.0,8.606656673386103,300.31919403956664
"(0, 7, 9)",12065.6,6512.8,399.2,9.488694693835068,247.27858328064744
"(0, 8, 9)",11626.4,5725.0,252.8,12.151581760149767,257.11435362020563
"(1, 2, 3)",13299.8,7892.6,810.6,4.687150958038624,365.3931112773181
"(1, 2, 4)",14092.4,9280.0,1094.8,4.409806189914862,294.5243494375287
"(1, 2, 5)",13695.8,8300.6,975.8,4.409806189914862,365.3931112773181
"(1, 2, 6)",14399.0,8397.6,1177.4,4.687150958038625,365.3931112773181
"(1, 2, 7)",13898.0,8394.8,1010.4,5.0617315866224395,365.3931112773181
"(1, 2, 8)",13385.6,7815.8,839.2,7.724618652937137,240.1625352889134
"(1, 2, 9)",11909.0,6921.2,347.0,8.606656673386103,233.34141210869143
"(1, 3, 4)",13988.6,8710.8,1062.6,4.035225561331047,365.3773667024529
"(1, 3, 5)",14256.8,9010.2,1148.4,4.035225561331047,365.4335079906108
"(1, 3, 6)",14292.8,9040.8,1141.6,4.31257032945481,365.4504865056092
"(1, 3, 7)",14055.2,7697.8,1062.4,4.687150958038625,365.4335079906108
"(1, 3, 8)",13547.0,7541.8,893.0,7.3500380243533225,296.5457231982533
"(1, 3, 9)",12797.6,8090.8,643.2,8.23207604480229,295.92940093880316
"(1, 4, 5)",14129.0,10612.4,1161.4,3.7578807932072844,365.3773667024529
"(1, 4, 6)",14093.0,8602.0,1101.4,4.035225561331047,365.4504865056092
"(1, 4, 7)",13457.0,7783.0,885.8,4.409806189914862,294.5243494375287
"(1, 4, 8)",13664.6,7720.0,953.4,7.0726932562295595,296.56640998204864
"(1, 4, 9)",12752.0,7838.8,649.2,7.954731276678526,295.92940093880316
"(1, 5, 6)",13823.6,9342.0,1009.2,4.035225561331048,365.4504865056092
"(1, 5, 7)",13817.6,7949.2,1004.0,4.409806189914862,365.4335079906108
"(1, 5, 8)",14002.4,8735.4,1072.8,7.0726932562295595,296.56640998204773
"(1, 5, 9)",12341.6,7447.8,507.2,7.954731276678526,295.92940093880316
"(1, 6, 7)",14580.2,8931.6,1237.4,4.687150958038625,458.2753501346808
"(1, 6, 8)",13595.0,8008.0,909.0,7.3500380243533225,303.7640003041826
"(1, 6, 9)",12944.6,7384.8,692.2,8.23207604480229,300.6037081154602
"(1, 7, 8)",13144.4,8025.2,758.8,7.724618652937137,240.1625352889134
"(1, 7, 9)",13283.6,7482.2,805.2,8.606656673386103,230.3124333400728
"(1, 8, 9)",12572.6,6630.4,568.2,11.2695437397008,238.4666851471939
"(2, 3, 4)",12905.6,8877.4,695.2,1.3723384950163493,458.6996615694874
"(2, 3, 5)",13964.0,9315.0,1048.8,1.3723384950163493,458.6996615694874
"(2, 3, 6)",14296.4,9483.4,1143.2,1.6496832631401122,458.6996615694874
"(2, 3, 7)",14237.0,8824.0,1123.0,2.024263891723927,458.549396056509
"(2, 3, 8)",13722.2,9035.6,951.4,4.687150958038624,458.3386915538306
"(2, 3, 9)",13586.0,9037.4,906.0,5.569188978487591,301.5627342514975
"(2, 4, 5)",13926.8,9578.4,1080.8,1.0949937268925867,458.6996615694874
"(2, 4, 6)",14194.4,9383.4,1134.0,1.3723384950163493,458.6996615694874
"(2, 4, 7)",14225.6,9191.2,1142.4,1.746919123600164,458.69520919153393
"(2, 4, 8)",14037.2,7815.6,1072.4,4.409806189914862,446.27385466703015
"(2, 4, 9)",13168.4,8012.0,784.8,5.291844210363828,301.5627342514975
"(2, 5, 6)",13820.0,8919.0,1016.8,1.3723384950163495,457.9529596286971
"(2, 5, 7)",14304.2,8837.6,1162.2,1.746919123600164,458.62551271719366
"(2, 5, 8)",14249.6,8701.6,1146.4,4.409806189914862,446.27385466703015
"(2, 5, 9)",13790.0,9019.4,992.4,5.291844210363828,238.28833543724937
"(2, 6, 7)",13943.0,9098.4,1025.0,2.024263891723927,458.549396056509
"(2, 6, 8)",14168.0,8195.0,1100.0,4.687150958038624,446.27385466703015
"(2, 6, 9)",13123.4,8150.8,751.8,5.569188978487591,238.28833543724937
"(2, 7, 8)",14001.8,8171.2,1044.6,5.0617315866224395,365.3359286769646
"(2, 7, 9)",13419.8,7118.2,850.6,5.943769607071405,236.38581837080696
"(2, 8, 9)",12713.6,6876.6,615.2,8.606656673386103,293.95766463686533
"(3, 4, 5)",13356.8,8805.8,890.8,0.7204130983087715,458.6996615694874
"(3, 4, 6)",13286.6,8704.6,823.4,0.9977578664325344,458.6996615694874
"(3, 4, 7)",13402.4,8975.2,863.6,1.3723384950163489,458.6996615694874
"(3, 4, 8)",13343.6,9142.4,841.2,4.035225561331047,458.3386915538306
"(3, 4, 9)",12852.2,8804.6,678.2,4.917263581780013,236.38581837080696
"(3, 5, 6)",13888.4,9671.8,1028.0,0.9977578664325344,458.6996615694874
"(3, 5, 7)",13724.0,8946.4,974.4,1.372338495016349,458.6996615694874
"(3, 5, 8)",13509.2,8501.2,896.4,4.035225561331047,458.35173990481337
"(3, 5, 9)",13245.2,8583.8,819.6,4.917263581780013,236.38581837080696
"(3, 6, 7)",14141.6,8925.8,1091.2,1.649683263140112,458.6996615694874
"(3, 6, 8)",14358.2,9392.2,1165.0,4.312570329454809,458.3452761510429
"(3, 6, 9)",13542.8,8597.2,891.6,5.194608349903776,236.38581837080696
"(3, 7, 8)",13540.4,8120.6,890.8,4.687150958038624,458.2881897578508
"(3, 7, 9)",13749.2,8339.8,960.4,5.56918897848759,236.38581837080696
"(3, 8, 9)",12979.4,7315.4,703.8,8.232076044802287,294.8068205631822
"(4, 5, 6)",14052.8,9434.8,1114.0,0.7204130983087718,458.6996615694874
"(4, 5, 7)",13482.2,8723.8,931.8,1.0949937268925862,458.6996615694874
"(4, 5, 8)",12690.8,7339.2,681.2,3.757880793207284,458.3452761510429
"(4, 5, 9)",12176.6,8763.4,511.4,4.639918813656251,236.38581837080696
"(4, 6, 7)",14205.8,9273.6,1134.6,1.372338495016349,458.6996615694874
"(4, 6, 8)",13679.6,8898.2,964.4,4.035225561331047,365.4517569539335
"(4, 6, 9)",13110.2,8763.0,777.4,4.917263581780013,236.38581837080696
"(4, 7, 8)",13771.4,7863.8,996.2,4.409806189914861,365.0589076076844
"(4, 7, 9)",13206.2,7937.6,808.6,5.291844210363828,236.38581837080696
"(4, 8, 9)",13144.4,8242.8,781.2,7.954731276678525,294.5982984505724
"(5, 6, 7)",13370.6,8695.6,851.0,1.3723384950163493,458.6996615694874
"(5, 6, 8)",13619.0,8694.8,933.0,4.035225561331047,365.4517569539335
"(5, 6, 9)",12866.0,8664.6,682.0,4.917263581780013,236.38581837080696
"(5, 7, 8)",13593.8,8862.6,932.2,4.409806189914861,365.0589076076844
"(5, 7, 9)",13085.0,7441.0,756.6,5.291844210363828,236.38581837080696
"(5, 8, 9)",12495.8,6957.4,558.6,7.954731276678526,231.5027027367096
"(6, 7, 8)",13177.4,8542.2,769.8,4.687150958038624,365.0589076076844
"(6, 7, 9)",13272.2,8467.4,801.4,5.56918897848759,236.38581837080696
"(6, 8, 9)",12574.4,6791.4,568.8,8.232076044802287,230.86586030434563
"(7, 8, 9)",12588.2,8021.2,573.4,8.606656673386102,230.2839613082117
