chain,two_q_gates,depth,swap_count
identity,12813.8,7815.2,676.2
physical,26516.0,16095.6,5284.0
physical_reverse,26405.6,15799.4,5232.4
rand002,21746.0,12164.8,3665.6
rand008,24492.8,15195.0,4603.2
rand009,21354.8,12688.6,3552.4
rand012,23349.2,13951.6,4186.4
rand013,26104.4,15147.6,5066.4
rand015,19685.0,11511.4,2924.2
rand019,20478.8,13352.4,3309.2
rand027,21249.2,13175.6,3553.2
rand029,23319.8,13922.0,4207.0
rand030,16356.2,7526.8,1893.8
rand033,25264.4,15249.4,4852.0
rand034,20785.4,11717.8,3361.8
rand038,25311.2,15165.4,4860.0
rand043,23842.4,15372.0,4349.2
rand044,24924.8,15303.2,4725.2
rand049,19365.2,10157.2,2912.8
reverse,12341.6,7447.8,507.2
