config,sqd_err,two_q_gates_mean,two_q_gates_sd,depth_mean,depth_sd,two_q_depth_mean,swap_mean,swap_sd,n_free_params,n_pairs_aa,n_pairs_ab
H10_identity_default,300.32 mHa,12813.8,253.63398825867168,7815.2,596.173380821385,2718.8,676.2,77.96922469795375,1100,19,3
H10_identity_best_012,224.60 mHa,12747.2,546.7807604515726,7025.6,1136.8075034938854,2687.6,626.4,182.26025348385753,1100,19,3
H10_identity_S0_top_019,n/a (S0 top pick),11789.6,538.1108621836211,6874.4,1883.220061490425,2181.2,307.2,179.37028739454036,1100,19,3
H10_physical_default,389.71 mHa,26516.0,174.95427974188,16095.6,234.2633133890153,7803.4,5284.0,58.30094338859364,1100,19,3
H10_physical_best_247,172.15 mHa,26852.6,163.82856893716678,16109.4,361.0523507747872,7706.6,5399.8,54.40772004045015,1100,19,3
H10_identity_no_ab,458.70 mHa,10568.0,0.0,4808.0,0.0,1218.0,0.0,0.0,950,19,0
N2_identity_default,31.87 mHa,9492.2,404.8810936559029,6388.2,453.3394975071111,2107.2,502.6,137.58742675113885,924,19,3
N2_identity_best_019,24.27 mHa,8611.4,28.174456516497354,4949.2,1474.0514577178099,1522.6,163.8,9.391485505499118,924,19,3
Cr2_identity_default,240.79 mHa,24649.0,1257.102024499205,13616.4,499.13605359661204,4656.0,1479.0,373.0154152310599,1872,23,3
Cr2_identity_best_01_11,201.95 mHa,21825.6,473.2322896844635,8592.8,33.36465195382682,2679.6,403.2,157.74409656148782,1872,23,3
