two_q_gates,depth,two_q_depth,swap_count,single_q_gates,n_reps,n_pairs_aa,n_pairs_ab,n_free_params,transpile_wall_s,tag,seed,set,system,chain,triple,sqd_err_label
13016,6626,2558,716,58766,50,19,3,1100,0.11558771133422852,A1_0-1-2,11,A1,H10,identity,"(0, 1, 2)",
12896,9025,3571,676,58327,50,19,3,1100,0.08879899978637695,A1_0-1-2,22,A1,H10,identity,"(0, 1, 2)",
11774,6167,2168,302,57963,50,19,3,1100,0.08395123481750488,A1_0-1-2,33,A1,H10,identity,"(0, 1, 2)",
13028,6646,2562,720,58780,50,19,3,1100,0.08805203437805176,A1_0-1-2,44,A1,H10,identity,"(0, 1, 2)",
13022,6664,2579,718,58775,50,19,3,1100,0.08903288841247559,A1_0-1-2,55,A1,H10,identity,"(0, 1, 2)",
13277,8133,3091,803,58683,50,19,3,1100,0.10816717147827148,A1_0-1-3,11,A1,H10,identity,"(0, 1, 3)",
13277,8131,3091,803,58684,50,19,3,1100,0.08548092842102051,A1_0-1-3,22,A1,H10,identity,"(0, 1, 3)",
12980,6985,2716,704,58132,50,19,3,1100,0.08528590202331543,A1_0-1-3,33,A1,H10,identity,"(0, 1, 3)",
13112,6612,2361,748,58485,50,19,3,1100,0.08455610275268555,A1_0-1-3,44,A1,H10,identity,"(0, 1, 3)",
13820,9034,3766,984,58505,50,19,3,1100,0.10901784896850586,A1_0-1-3,55,A1,H10,identity,"(0, 1, 3)",
12908,7859,2766,722,58649,50,19,3,1100,0.11302900314331055,A1_0-1-4,11,A1,H10,identity,"(0, 1, 4)",
12332,7820,2686,504,58509,50,19,3,1100,0.08495378494262695,A1_0-1-4,22,A1,H10,identity,"(0, 1, 4)",
13271,9969,3394,819,58549,50,19,3,1100,0.10848188400268555,A1_0-1-4,33,A1,H10,identity,"(0, 1, 4)",
12332,7820,2686,504,58509,50,19,3,1100,0.08548283576965332,A1_0-1-4,44,A1,H10,identity,"(0, 1, 4)",
12332,7821,2686,504,58508,50,19,3,1100,0.1083991527557373,A1_0-1-4,55,A1,H10,identity,"(0, 1, 4)",
12716,8113,2996,632,58370,50,19,3,1100,0.0853738784790039,A1_0-1-5,11,A1,H10,identity,"(0, 1, 5)",
12080,5442,1730,420,58309,50,19,3,1100,0.08466482162475586,A1_0-1-5,22,A1,H10,identity,"(0, 1, 5)",
12056,5401,1702,412,58310,50,19,3,1100,0.08612394332885742,A1_0-1-5,33,A1,H10,identity,"(0, 1, 5)",
12260,8064,2718,494,58193,50,19,3,1100,0.10231709480285645,A1_0-1-5,44,A1,H10,identity,"(0, 1, 5)",
12920,6077,2030,702,58482,50,19,3,1100,0.13378095626831055,A1_0-1-5,55,A1,H10,identity,"(0, 1, 5)",
13274,8998,3227,802,58776,50,19,3,1100,0.08615303039550781,A1_0-1-6,11,A1,H10,identity,"(0, 1, 6)",
