triple,logical_two_q_gates,logical_depth,posthoc_two_q_gates,routing_added_gates
"(0, 1, 2)",10868.0,4932.0,12747.2,1879.2000000000007
"(0, 1, 3)",10868.0,4829.0,13293.2,2425.2000000000007
"(0, 1, 4)",10820.0,4910.0,12635.0,1815.0
"(0, 1, 5)",10820.0,4868.0,12406.4,1586.3999999999996
"(0, 1, 6)",10868.0,4911.0,13068.2,2200.2000000000007
"(0, 1, 7)",10868.0,4888.0,12466.4,1598.3999999999996
"(0, 1, 8)",10868.0,4976.0,12144.8,1276.7999999999993
"(0, 1, 9)",10868.0,4817.0,11789.6,921.6000000000004
"(0, 2, 3)",10868.0,4933.0,13257.8,2389.7999999999993
"(0, 2, 4)",10820.0,4978.0,13508.6,2688.6000000000004
"(0, 2, 5)",10820.0,4941.0,13008.2,2188.2000000000007
"(0, 2, 6)",10868.0,4973.0,13790.6,2922.6000000000004
"(0, 2, 7)",10868.0,4938.0,13274.0,2406.0
"(0, 2, 8)",10868.0,4983.0,12891.2,2023.2000000000007
"(0, 2, 9)",10868.0,4932.0,11948.0,1080.0
"(0, 3, 4)",10820.0,4901.0,12896.0,2076.0
"(0, 3, 5)",10820.0,4862.0,13173.8,2353.7999999999993
"(0, 3, 6)",10868.0,4907.0,13370.0,2502.0
"(0, 3, 7)",10868.0,4889.0,13259.0,2391.0
"(0, 3, 8)",10868.0,4979.0,12609.8,1741.7999999999993
"(0, 3, 9)",10868.0,4821.0,12453.2,1585.2000000000007
"(0, 4, 5)",10772.0,4901.0,12570.2,1798.2000000000007
"(0, 4, 6)",10820.0,4922.0,13193.0,2373.0
"(0, 4, 7)",10820.0,4949.0,13379.6,2559.6000000000004
"(0, 4, 8)",10820.0,5004.0,12813.8,1993.7999999999993
"(0, 4, 9)",10820.0,4901.0,11781.8,961.7999999999993
"(0, 5, 6)",10820.0,4907.0,12624.8,1804.7999999999993
"(0, 5, 7)",10820.0,4911.0,13194.2,2374.2000000000007
"(0, 5, 8)",10820.0,4982.0,12920.6,2100.6000000000004
"(0, 5, 9)",10820.0,4862.0,12099.2,1279.2000000000007
"(0, 6, 7)",10868.0,4940.0,13614.2,2746.2000000000007
"(0, 6, 8)",10868.0,4991.0,12489.8,1621.7999999999993
"(0, 6, 9)",10868.0,4904.0,12210.8,1342.7999999999993
"(0, 7, 8)",10868.0,4978.0,12518.0,1650.0
"(0, 7, 9)",10868.0,4888.0,12065.6,1197.6000000000004
"(0, 8, 9)",10868.0,4976.0,11626.4,758.3999999999996
"(1, 2, 3)",10868.0,4933.0,13299.8,2431.7999999999993
"(1, 2, 4)",10820.0,4978.0,14092.4,3272.3999999999996
"(1, 2, 5)",10820.0,4941.0,13695.8,2875.7999999999993
"(1, 2, 6)",10868.0,4973.0,14399.0,3531.0
"(1, 2, 7)",10868.0,4938.0,13898.0,3030.0
"(1, 2, 8)",10868.0,4983.0,13385.6,2517.6000000000004
"(1, 2, 9)",10868.0,4932.0,11909.0,1041.0
"(1, 3, 4)",10820.0,4910.0,13988.6,3168.6000000000004
"(1, 3, 5)",10820.0,4868.0,14256.8,3436.7999999999993
"(1, 3, 6)",10868.0,4913.0,14292.8,3424.7999999999993
"(1, 3, 7)",10868.0,4889.0,14055.2,3187.2000000000007
"(1, 3, 8)",10868.0,4979.0,13547.0,2679.0
"(1, 3, 9)",10868.0,4829.0,12797.6,1929.6000000000004
"(1, 4, 5)",10772.0,4910.0,14129.0,3357.0
"(1, 4, 6)",10820.0,4929.0,14093.0,3273.0
"(1, 4, 7)",10820.0,4949.0,13457.0,2637.0
"(1, 4, 8)",10820.0,5004.0,13664.6,2844.6000000000004
"(1, 4, 9)",10820.0,4910.0,12752.0,1932.0
"(1, 5, 6)",10820.0,4913.0,13823.6,3003.6000000000004
"(1, 5, 7)",10820.0,4911.0,13817.6,2997.6000000000004
"(1, 5, 8)",10820.0,4982.0,14002.4,3182.3999999999996
"(1, 5, 9)",10820.0,4868.0,12341.6,1521.6000000000004
"(1, 6, 7)",10868.0,4941.0,14580.2,3712.2000000000007
"(1, 6, 8)",10868.0,4991.0,13595.0,2727.0
"(1, 6, 9)",10868.0,4911.0,12944.6,2076.6000000000004
"(1, 7, 8)",10868.0,4978.0,13144.4,2276.3999999999996
"(1, 7, 9)",10868.0,4888.0,13283.6,2415.6000000000004
"(1, 8, 9)",10868.0,4976.0,12572.6,1704.6000000000004
"(2, 3, 4)",10820.0,4978.0,12905.6,2085.6000000000004
