logical_two_q_gates,logical_depth,triple,seed
10868,4932,"(0, 1, 2)",11
10868,4932,"(0, 1, 2)",22
10868,4932,"(0, 1, 2)",33
10868,4932,"(0, 1, 2)",44
10868,4932,"(0, 1, 2)",55
10868,4829,"(0, 1, 3)",11
10868,4829,"(0, 1, 3)",22
10868,4829,"(0, 1, 3)",33
10868,4829,"(0, 1, 3)",44
10868,4829,"(0, 1, 3)",55
10820,4910,"(0, 1, 4)",11
10820,4910,"(0, 1, 4)",22
10820,4910,"(0, 1, 4)",33
10820,4910,"(0, 1, 4)",44
10820,4910,"(0, 1, 4)",55
10820,4868,"(0, 1, 5)",11
10820,4868,"(0, 1, 5)",22
10820,4868,"(0, 1, 5)",33
10820,4868,"(0, 1, 5)",44
10820,4868,"(0, 1, 5)",55
10868,4911,"(0, 1, 6)",11
10868,4911,"(0, 1, 6)",22
10868,4911,"(0, 1, 6)",33
10868,4911,"(0, 1, 6)",44
10868,4911,"(0, 1, 6)",55
10868,4888,"(0, 1, 7)",11
10868,4888,"(0, 1, 7)",22
10868,4888,"(0, 1, 7)",33
10868,4888,"(0, 1, 7)",44
10868,4888,"(0, 1, 7)",55
10868,4976,"(0, 1, 8)",11
10868,4976,"(0, 1, 8)",22
10868,4976,"(0, 1, 8)",33
10868,4976,"(0, 1, 8)",44
10868,4976,"(0, 1, 8)",55
10868,4817,"(0, 1, 9)",11
10868,4817,"(0, 1, 9)",22
10868,4817,"(0, 1, 9)",33
10868,4817,"(0, 1, 9)",44
10868,4817,"(0, 1, 9)",55
10868,4933,"(0, 2, 3)",11
10868,4933,"(0, 2, 3)",22
10868,4933,"(0, 2, 3)",33
10868,4933,"(0, 2, 3)",44
10868,4933,"(0, 2, 3)",55
10820,4978,"(0, 2, 4)",11
10820,4978,"(0, 2, 4)",22
10820,4978,"(0, 2, 4)",33
10820,4978,"(0, 2, 4)",44
10820,4978,"(0, 2, 4)",55
10820,4941,"(0, 2, 5)",11
10820,4941,"(0, 2, 5)",22
10820,4941,"(0, 2, 5)",33
10820,4941,"(0, 2, 5)",44
10820,4941,"(0, 2, 5)",55
10868,4973,"(0, 2, 6)",11
10868,4973,"(0, 2, 6)",22
10868,4973,"(0, 2, 6)",33
10868,4973,"(0, 2, 6)",44
10868,4973,"(0, 2, 6)",55
10868,4938,"(0, 2, 7)",11
10868,4938,"(0, 2, 7)",22
10868,4938,"(0, 2, 7)",33
10868,4938,"(0, 2, 7)",44
10868,4938,"(0, 2, 7)",55
10868,4983,"(0, 2, 8)",11
10868,4983,"(0, 2, 8)",22
10868,4983,"(0, 2, 8)",33
10868,4983,"(0, 2, 8)",44
10868,4983,"(0, 2, 8)",55
10868,4932,"(0, 2, 9)",11
10868,4932,"(0, 2, 9)",22
10868,4932,"(0, 2, 9)",33
10868,4932,"(0, 2, 9)",44
10868,4932,"(0, 2, 9)",55
10820,4901,"(0, 3, 4)",11
10820,4901,"(0, 3, 4)",22
10820,4901,"(0, 3, 4)",33
10820,4901,"(0, 3, 4)",44
10820,4901,"(0, 3, 4)",55
10820,4862,"(0, 3, 5)",11
10820,4862,"(0, 3, 5)",22
10820,4862,"(0, 3, 5)",33
10820,4862,"(0, 3, 5)",44
10820,4862,"(0, 3, 5)",55
10868,4907,"(0, 3, 6)",11
10868,4907,"(0, 3, 6)",22
10868,4907,"(0, 3, 6)",33
10868,4907,"(0, 3, 6)",44
10868,4907,"(0, 3, 6)",55
10868,4889,"(0, 3, 7)",11
10868,4889,"(0, 3, 7)",22
10868,4889,"(0, 3, 7)",33
10868,4889,"(0, 3, 7)",44
10868,4889,"(0, 3, 7)",55
10868,4979,"(0, 3, 8)",11
10868,4979,"(0, 3, 8)",22
10868,4979,"(0, 3, 8)",33
10868,4979,"(0, 3, 8)",44
10868,4979,"(0, 3, 8)",55
10868,4821,"(0, 3, 9)",11
10868,4821,"(0, 3, 9)",22
10868,4821,"(0, 3, 9)",33
