ansatz,budget,n_alpha,n_beta,dim,pct_CI,E,err_mHa,pct_corr
masked,1,1,1,1,0.25,-108.587322561771,256.9778666290006,-1.1281183084975813e-08
masked,2,2,2,4,1.0,-108.5966181440509,247.68228434911066,3.6172696014199817
masked,3,3,3,9,2.25,-108.6052525008869,239.04792751309856,6.977230889234546
masked,5,5,5,25,6.25,-108.7400606431166,104.23978528339717,59.43627882721596
masked,8,8,8,64,16.0,-108.7429386667651,101.36176163490518,60.556228839475835
masked,10,10,10,100,25.0,-108.7707919704443,73.50845795571104,71.39502365387446
masked,15,15,15,225,56.25,-108.7977080415609,46.59238683910871,81.8691051273959
masked,all,44,48,2112,528.0,-108.8400707832541,4.2296451458980755,98.3540819285882
unmasked,1,1,1,1,0.25,-108.587322561771,256.9778666290006,-1.1281183084975813e-08
unmasked,2,2,2,4,1.0,-108.649473711697,194.82671670300533,24.18540970835602
unmasked,3,3,3,9,2.25,-108.7083096865992,135.9907418008106,47.08075695387336
unmasked,5,5,5,25,6.25,-108.7400606431166,104.23978528339717,59.43627882721596
unmasked,8,8,8,64,16.0,-108.7960895064513,48.210921948708574,81.23927068639357
unmasked,10,10,10,100,25.0,-108.8093010308855,34.99939751449688,86.38038443638654
unmasked,15,15,15,225,56.25,-108.8132342497952,31.066178604802985,87.91095162558965
unmasked,all,86,84,7224,1806.0,-108.843814238565,0.4861898350014826,99.81080478197049
