ordering,captured,cap_alpha,cap_beta,cap_product,missed_mHa_proxy,err_sub_mHa,err_var_mHa,retained_J,top1,n_unique
identity,0.9701887077916214,0.9811653419970129,0.9811653419970123,0.9626854283361147,0.029811292208378637,39.51349313170738,192.9648611481838,0.2873536078066107,0.976987,166
q001,0.9612669191985863,0.9690037439622241,0.9690037439622236,0.9389682558128071,0.03873308080141369,49.15162319490207,190.82165298982545,0.2342870623053604,0.971268,229
q002,0.9721733197711803,0.9826801262087004,0.9826801262087002,0.965660230445547,0.027826680228819733,39.2265145957964,168.07396788642848,0.2606455646369456,0.956758,241
q003,0.9633922756263127,0.970227184191421,0.9721596874795527,0.9432157561676983,0.03660772437368731,48.410172531106355,238.24261003716177,0.2486504213485685,0.981076,134
q004,0.8699764754314666,0.8940189801498183,0.8940189801498175,0.7992699368681205,0.1300235245685334,98.38277190630151,229.46055961136835,0.1377137564341078,0.991018,73
q005,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,223.42773752372125,0.2070752717158277,0.984529,138
q006,0.970704970909354,0.9809477668826793,0.9809477668826789,0.962258521352115,0.029295029090645963,36.35063205649658,231.65845314807143,0.1976649737882631,0.989315,89
q007,0.9623652251419854,0.9707115196996118,0.9706951878240127,0.9422650009377475,0.037634774858014586,49.87564487029772,212.40774078886204,0.1548157013301546,0.98414,131
q008,0.966904616116758,0.9737116657897223,0.9737116657897218,0.9481144080949954,0.03309538388324196,43.349025710199385,222.1043611379514,0.2103819339604117,0.980905,162
q009,0.8815519968101257,0.9059335807370089,0.9059335807370081,0.820715652706978,0.11844800318987425,77.17518140729851,250.0680127705408,0.1740705301654077,0.991346,98
q010,0.8626243213050878,0.895577169028461,0.8955771690284604,0.802058465685032,0.13737567869491218,84.84357536060827,260.3092626766852,0.2272908161586841,0.992379,68
q011,0.9580805973845231,0.9658106063464136,0.9809477668826789,0.9474097575271205,0.041919402615476886,52.67222544810579,220.87337619693415,0.2019501778294235,0.987906,139
q012,0.9699583659236893,0.9799381804020656,0.9809477668826789,0.9612681697484821,0.030041634076310664,36.666609251398086,204.4701903885482,0.2284624206530349,0.974747,175
q013,0.9567306104124321,0.9655192623639226,0.9655192623639219,0.9322274459957726,0.043269389587567875,56.26839023339869,212.64260043935224,0.1549904717491945,0.986836,125
q014,0.970724501860406,0.9809314350070808,0.9809314350070806,0.9622264801850505,0.02927549813959396,38.88629157530943,196.3934851553688,0.2875283782256506,0.956916,182
q015,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,189.0158093365528,0.2341122918863205,0.975488,170
q016,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,211.65570006743903,0.2103819339604118,0.985582,129
q017,0.8481544121933394,0.8823751244005448,0.872587809866368,0.7699497772812354,0.15184558780666058,112.33916761050013,229.53601688394087,0.137364215596028,0.985219,99
q018,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,187.22617491226856,0.2296340251473856,0.978385,152
q019,0.9634540325804491,0.9727560852310068,0.9727560852310064,0.9462544013539533,0.03654596741955085,54.98024712140648,194.8966375081227,0.2351118636099105,0.97006,185
q020,0.9563105446428045,0.9660244600949965,0.965540124586805,0.932735377554024,0.043689455357195484,57.75968677670562,223.5665538692757,0.1997579716844689,0.988117,117
q021,0.944955544724146,0.9520635288045288,0.9520635288045283,0.9064249628797314,0.055044455275854,47.78726670680555,252.62012067284445,0.1801741658483882,0.991893,71
q022,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,215.10995743692263,0.2661201993614298,0.987068,123
q023,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,198.52593626606563,0.2351118636099106,0.973809,180
q024,0.970704970909354,0.9809477668826793,0.9809477668826789,0.962258521352115,0.029295029090645963,36.35063205649658,196.9361701895025,0.2852002577776428,0.972349,176
q025,0.966904616116758,0.9737116657897226,0.9737116657897218,0.9481144080949956,0.03309538388324196,43.349025710199385,206.5194863732387,0.2113604757569881,0.986253,132
q026,0.9578056135131766,0.9680644952791071,0.9680644952791065,0.9371488670199918,0.04219438648682339,58.58665286220344,192.9243630075632,0.2318052013653265,0.980521,147
