# norb=10 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas610_155_lucj.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
00000001110000000111 980804
00000101010000010101 1689
00000010110000001011 1530
00000010110000000111 1487
00000001110000001011 1460
00000001110100000011 1394
01000000110000000111 1350
00000001110010000101 978
00100001010000000111 954
00000100110000010011 951
00000011010000001101 752
00000001110000110100 407
00001101000000000111 390
00000011010000010011 274
00000011010000000111 261
00000100110000001101 256
00000101010000001011 248
00000010110000010101 247
00000001110000010101 241
00000001110000001101 224
00000101010000000111 217
00001010100000000111 216
00000100110000010101 183
00000001110000101010 179
00000101010000010011 171
00000011010000001011 153
00001001100000100110 146
00000011010000010101 145
00000010110000001101 137
00000101010000001101 134
00000001110000011001 120
00001001100000000111 114
00000001110000100110 112
00000110010000000111 112
01000001010000000111 111
00000001110100000101 111
00000101100000010110 109
00000001110000010011 105
00000100110000000111 95
00000011100000001110 95
00000011100000000111 83
00000001110000001110 83
00100000110000000111 70
00000100110000001011 66
00000010110000010011 63
00000001111000000110 58
00000001110110000001 54
10000001100000000111 54
00000001110001010100 54
01100000010000000111 49
00010101000000000111 49
00000001110010000011 46
00000001110001001010 46
00010010100000000111 41
11000000100000000111 39
00000001111100000010 30
00010001100001000110 30
00001000110000100011 28
00001100100000000111 27
00000001110000110010 26
00001001010000100101 22
00010001100000100110 19
00001001010000000111 19
00001001100001000110 18
00000001110000010110 17
00000101100000000111 16
00100001010010000101 15
00000001110000101100 14
00001011000000000111 14
00000001110000100101 10
01000000110100000011 10
00000110010000011001 10
00000001111100000100 8
11000001000000000111 8
00000101010000011001 6
00000001110001000101 6
00010001100000000111 6
10100000100000000111 5
10100001000000000111 4
00001110000000000111 4
00000001111010000100 4
00000101010100010001 4
00000100110000011001 3
00010001010000000111 3
00000010110100000011 3
00100000110010000101 2
00001100010000110001 2
10000001101000000110 2
01000100010000010101 2
00010110000000001011 2
00000010110010001001 2
00100010010000000111 2
01000000110000101010 2
00100001010000001011 2
00000001110010001001 2
00000001110001000110 2
00000001110000111000 2
00100010010000010011 2
01000001010100000011 2
00000001111000000101 2
00001001100000010101 2
00100001010000001101 1
00000100110100000011 1
00001001100000001011 1
01000000110001001010 1
00000110100000001011 1
00000011010000111000 1
01000000110000100110 1
00000010110000111000 1
00100100010000001011 1
00000101010010000101 1
00100001010010000011 1
00010011000000000111 1
00000001110010100100 1
00001100100000001101 1
00000010110001001010 1
10000000111000000011 1
00010000110000100011 1
00000001110001000011 1
00000100110100010001 1
00000001110010000110 1
00001101000000110100 1
00100011000000001110 1
11000000101000000110 1
01000001010010000011 1
00000100111000010010 1
01000100010000000111 1
00000001110001010010 1
00001100100000011001 1
00000001110100101000 1
00000111000000000111 1
00100001010000001110 1
00000010110010000101 1
00010011000001010100 1
00100001010110000001 1
00001011000000110100 1
10000001010000000111 1
00001010100010000101 1
00000101010100001001 1
00000001111010000010 1
00001010010000100101 1
00001011000000101100 1
00000010110001011000 1
00001110000000001011 1
01000000110100000101 1
01000010010000010101 1
00000011010100001001 1
00001101000000001011 1
00100001010000010011 1
00000110010000001101 1
01000000111000000110 1
00001001010001000101 1
10000001011000000101 1
00100010010000010101 1
00001001100100100010 1
01001100000000000111 1
00000011010010001001 1
00010000110000000111 1
00100001100000000111 1
00100010010000001011 1
01000010100000000111 1
01000000110000001011 1
00010100100000000111 1
