# norb=10 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas610_155_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
00000001110000000111 791925
00000011010000001101 26134
00000100110000010011 26069
00000100110000010101 8576
00000101010000010011 8468
00000010110000001101 8432
00000011010000001011 8393
00000101010000001101 8369
00000011010000010101 8337
00000010110000010011 8312
00000100110000001011 8265
00000010110000001011 7652
00000101010000010101 7642
00000110010000011001 6907
00001001100000100110 5136
00000011010000010011 3208
00000100110000001101 3160
00001001100000001101 2757
00001001100000010011 2717
00000011010000100110 2667
00000100110000100110 2666
00000001110000011001 1978
00000110010000000111 1917
00001001100000010101 1362
00001011000000000111 1321
00001100100000000111 1313
00000001110000101100 1311
00000001110000110010 1302
00000010110000100110 1245
00000101010000100110 1217
00001001100000001011 1204
00000011100000001110 1145
00000101100000010110 1128
00000001110010000101 1047
01000000110000000111 1027
00100001010000000111 1021
00000001110100000011 984
00010001100000100110 707
00001001100001000110 703
00000001110000101010 624
00000001110000110100 595
00001010100000000111 588
00010001100001000110 578
00000010110000010101 558
00001101000000000111 545
00000101010000001011 516
00010001100000001101 483
00000011010001000110 461
00010001100000010011 457
00000100110001000110 449
00001011000000011001 438
00000110010000101100 427
00001100100000011001 418
00000110010000110010 404
01000000110100000011 317
00001000110000100011 302
00100001010010000101 300
00001100100000110010 295
00001001010000100101 293
00001011000000101100 290
00000101100000100011 276
00001000110000010110 272
00001001010000001110 266
00000011100000100101 256
10000001101000000110 256
00000011010000111000 232
00001110000000010011 230
00000100110000111000 217
00001110000000001101 215
00010001100000010101 210
00000001110001010010 208
00010001100000001011 206
00000101010001000110 204
00001010100000011001 201
00000110010000101010 198
01000000110010000101 193
00100001010100000011 192
00000001110110000001 192
10000001100100000011 191
00001101000000011001 189
01100000010000000111 186
00000001110001001100 185
00100001011000000110 183
00000110010000110100 182
01000000111000000110 176
00000010110001000110 175
00010100100000000111 164
10000001100010000101 163
00001110000000111000 158
00010011000000000111 150
00000101100000100101 142
00001000110000001110 132
00001001010000010110 129
00000101010000111000 122
00001011000000101010 122
00000001111100000010 113
00000011100000100011 112
00001100100000110100 107
00001110000000010101 107
10100001000000000111 105
00001101000000101100 104
00000001111010000100 102
11000000100000000111 100
00001110000000001011 100
00001010100000101100 98
00000010110000111000 96
00001010100000110010 95
00000001110001001010 94
00001011000000110100 93
00000110100000011010 93
00001110000000100110 92
00001101000000110010 91
00000111000000011100 90
00010010100000000111 90
00000001110001010100 87
00001100100000101010 87
01000001010000000111 86
00001001100000111000 84
00010101000000000111 83
00000001110100000101 82
00001100100000101100 81
00001011000000110010 76
00010100100000011001 75
00000101100001000011 75
00001101000000110100 73
00000001110010000011 73
00000110010001001100 73
00100000110000000111 73
00010011000000011001 73
00010000110000010110 70
00000011100001000101 68
00001010100000101010 62
10000001100000000111 62
00000001111000000110 60
00010001010000001110 58
00000110010001010010 54
00001100010000011010 39
00000011010001011000 39
00010100100000110010 38
00000110100000110001 38
00001100100001010010 38
00010011000000101100 38
00001011000001001100 35
00010110000000010011 34
00000111000000101001 33
00010011000001001100 31
00010010100000011001 31
00000011100001000011 31
00000101100001000101 30
00010000110000001110 28
00001010010000011100 28
00000011010010001001 28
00010100100001010010 26
01000100010000010011 26
00000110010001001010 26
00000100110001011000 26
00000011010100001001 26
00100100010000010011 26
00010101000000011001 26
01000010010000001101 25
00010001010000010110 25
00001100010000110001 25
00100010010000001101 24
01000001010010000101 24
00010110000000111000 23
00000100110100010001 23
00001100010000011100 22
00010100100000110100 22
00000110010001010100 22
00100001010100000101 21
00010010100000101100 21
00001110000001011000 21
00000100110010010001 20
00010011000000110100 19
00001010010000101001 19
00100010010000001011 18
10000001100100000101 18
00010010100000110010 18
00001010100001001100 18
00000100110010001001 18
00001010100001010010 17
01000100010100010001 17
00001110000001000110 17
10000001100010000011 17
00001011000001001010 17
00000101010100010001 17
00010110000000001101 17
00100001010010000011 16
00100000111000000110 16
00000111000000110001 16
00001100100001001010 16
00001101000001001100 16
00010110000000001011 15
01000010010000010101 15
00000110100000101001 15
00010100100000101010 15
00100010010000010011 15
00001100100001010100 15
01000100010000010101 15
10000011001000001100 14
00001101000001010010 14
00100001101000000101 14
00001010010000011010 14
00001100100001001100 14
01000100010000001101 14
00001001100001011000 14
01000000110100000101 14
00000101010001011000 13
00010101000000101100 13
00010110000000100110 13
01000001011000000110 13
01000001010100000011 12
00010010100001010010 12
00010010100000101010 12
00001010100001001010 12
00100000110010000101 12
00010001100000111000 12
01000010010100001001 12
00000010110001011000 11
00010110000001011000 11
00010011000001001010 11
00100000110100000011 11
00100100010000001011 11
00010101000000110010 11
00010010010000011100 10
00010011000000110010 10
00000010110010001001 10
00010011000000101010 10
00000100110010100100 9
00000010110010010001 9
00010101000001001100 9
00001011000001010100 9
00010110000000010101 9
00100010010010001001 9
00010101000001010010 9
00010100100001001010 9
00010011000001010100 9
10000000111000000011 9
00010101000001010100 9
01000000110010000011 9
00010100010000011010 8
00100100010010010001 8
10000010101000001100 8
10000101001000010100 8
10000001010010000110 8
00010010100001001010 8
00000101010100001001 8
11000001000000000111 8
00001001010001000101 8
00101001000000100110 8
10000100101000010010 8
00010100100001001100 7
01000100011000010100 7
00001000110001000011 7
00000111000001001001 7
00000011010100010001 7
00100100010000010101 7
00010101000000110100 7
01000001010100000101 7
00000110010100000011 7
10000001011000000101 6
00010100100000101100 6
00010010100001001100 6
00010000110000100011 6
00001001100100010001 6
00000001111010000010 6
10000010101000001010 6
00001101000001010100 6
00001011000001010010 6
00000011011010001000 6
00000001111100000100 6
10000100101000010100 5
00100000110010000011 5
10000011000100010001 5
10000000110100000110 5
00010010010000011010 5
00101001000010100100 5
00001001100100100010 5
10100000100000000111 5
10000011000100001001 5
00010001100001011000 5
00100010010100001001 5
01000001101000000011 5
10000101001000010010 5
01000010011000001100 5
00100010011000010010 5
00000010110100001001 4
00001001100010100100 4
01000100100000010110 4
00000110100001010001 4
00000011010100100010 4
00100001100010000110 4
10000010100010001001 4
00000001110100101000 4
00101001000000001101 4
01001000100000001101 4
01100000010100000011 4
01000010010000001011 4
10000010101000010010 4
00100001010110000001 4
10000100100010001001 4
00010100100001010100 4
00001100100010000101 4
00101001000100100010 4
00100100010010001001 4
00100010010010010001 4
00010100010000011100 4
00000100111100010000 4
00000011100100001010 4
01001000100000010011 3
01000001100100000110 3
10000100101000001010 3
10000100100010010001 3
00000101010010100100 3
00100001011010000100 3
10000011001000001010 3
10100010000000001011 3
00010001010001000101 3
10000000110010000110 3
01001000100000100110 3
00101001000000010011 3
00000011010010100100 3
00001001100010001001 3
00010001010000100101 3
11000100000000001101 3
00001100100100000011 3
01000000110110000001 3
01000010100000001110 3
