# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas66_lucj.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 993991
011001000111 817
000111011001 805
000111010011 558
010011000111 545
001101001101 426
010101010101 393
010011010011 314
001011001011 195
010011001011 189
001011010011 173
010101001101 124
001101000111 124
000111001101 118
000111001011 107
001101010101 102
001011010101 88
010110010110 88
001110001110 87
001011000111 79
010101001011 79
010011001101 73
001110000111 60
000111001110 59
001101010011 55
010101000111 50
000111010101 39
110100000111 36
000111110100 28
000111010110 25
010101010011 23
000111101100 20
010011010101 20
010110000111 20
101010000111 17
000111101010 16
101100000111 13
001101001011 8
000111100110 6
001011001101 6
000111110010 6
100110100110 5
100101100101 4
100110000111 3
011001011001 1
100011100011 1
000111011010 1
011010010011 1
100101000111 1
010011001110 1
