# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas66_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 940770
001011001011 8965
010101010101 8929
000111011001 3374
011001000111 3319
010101001011 2802
001011010101 2749
010011010101 2627
010011001011 2539
001011010011 2490
001101001011 2459
001101010101 2450
010101001101 2448
001011001101 2429
010101010011 2427
010011010011 2251
001101001101 2251
001110001110 1260
010110010110 1228
011001011001 762
000111101010 143
101010000111 129
110100000111 116
000111110100 115
100110100110 113
100011001110 58
001110100011 57
100101010110 54
101100000111 54
010110100101 50
100011100011 48
110010000111 43
000111101100 40
000111110010 38
010011001101 33
100101100101 30
011100011100 26
010110100011 26
001101010011 25
010101100110 24
100011010110 24
001110100101 23
011010011010 23
100101001110 23
100110010101 14
100110001011 12
001011100110 11
111000010101 11
001011111000 10
101010011001 8
111000001011 8
010101111000 8
001101100110 8
100110010011 7
010011100110 7
110100011001 7
100110001101 6
010011111000 4
001101111000 4
111000001101 4
011001110010 2
011010101001 2
011001101010 2
110100110010 2
110001011100 2
111000010011 2
100110111000 2
101010101010 2
110100110100 2
110001011010 1
101100011001 1
011001110100 1
101100110100 1
011100110001 1
011100101001 1
110010110010 1
101010110100 1
110010011001 1
