# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_equilibrium_lucj.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 994115
011001000111 816
000111011001 805
010011010011 643
001101001101 576
010101000111 276
000111010101 271
001011000111 255
000111001011 252
001011010101 146
001101010011 144
010101010101 143
010011001101 122
010101001011 117
001101000111 105
001110001110 102
001011001011 94
010101001101 90
000111010011 89
010110010110 88
001101010101 87
001011010011 85
010011000111 82
000111001101 81
010011001011 73
010110000111 62
000111010110 57
000111101100 37
110010000111 30
101100000111 30
000111110010 30
000111001110 25
001110000111 21
010011010101 9
010101010011 6
110100000111 6
100110100110 5
000111100110 5
100101100101 5
100110000111 3
001101001011 3
011001001110 2
000111110100 2
011010011010 1
100011100011 1
001011001101 1
010110010011 1
011100010101 1
