# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_stretched_lucj.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 984080
001101001101 2748
010011010011 2425
000111001011 1176
001011000111 1121
010011000111 698
000111010011 697
000111001101 665
001101000111 650
010101010011 640
010011010101 638
010101010101 631
001101001011 515
001011001101 486
000111101100 403
101100000111 378
001011001011 318
100110100110 207
000111011001 147
011001000111 120
000111110010 120
110010000111 118
000111101010 105
101010000111 103
001110001110 82
010110010110 81
000111100110 80
100110000111 65
000111001110 60
000111010110 51
010110000111 46
001110000111 34
010101001101 28
100011100011 25
001011010101 24
011001011001 24
001101010101 23
001011010011 21
010101001011 20
010011001011 19
100101000111 17
000111100101 17
110100000111 14
100101100101 13
010011001101 12
000111110100 10
001101010011 9
011001010011 4
001101011001 4
011001001101 3
111000010011 3
010011011001 3
010011111000 2
010101011001 1
010011101100 1
111000001011 1
110010110010 1
001011100110 1
000111010101 1
111000000111 1
011010011010 1
100011000111 1
100110001101 1
001101111000 1
011001101100 1
001011101010 1
001101010110 1
011001010101 1
110100010011 1
111000001101 1
