# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_stretched_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 796389
001101001101 24401
010011010011 24137
001011001011 10292
010101010101 10220
010011010101 9880
001011001101 9755
001011010011 9717
010101001101 9694
001101010101 9674
010101010011 9648
010011001011 9628
001101001011 9564
011001011001 8095
100110100110 5595
001101100110 2528
010011100110 2498
100110010011 2399
100110001101 2379
010011001101 2178
001101010011 2092
000111011001 2080
011001000111 2039
100110010101 1449
010101100110 1421
100110001011 1418
001011100110 1401
000111110010 1273
010110010110 1255
110010000111 1253
001110001110 1247
000111101100 1217
101100000111 1190
110100000111 764
000111110100 751
000111101010 750
101010000111 710
011001101100 426
011001110010 421
101100011001 416
110010011001 391
101100101100 273
001110100101 270
110010110010 268
011001101010 267
100011100011 254
111000001101 253
100011010110 251
100101100101 245
110100011001 235
010101001011 230
011001110100 228
100101001110 225
010110100011 224
010011111000 222
001101111000 211
001011010101 206
101010011001 202
111000010011 185
111000111000 163
010110100101 143
111000010101 133
101010101100 130
001011111000 129
010101111000 129
001110100011 127
100011001110 126
101100101010 122
111000001011 122
011100011100 122
110010101010 117
100101010110 116
110100101100 113
110100110100 113
100110111000 113
101010110010 111
111000100110 109
101100110100 108
011010011010 106
110100110010 99
101010101010 99
110010110100 97
110010101100 74
101100110010 65
101001011100 36
110001011010 29
011100101001 28
110001110001 27
011010110001 27
011010101001 24
101001101001 20
101001011010 15
011100110001 12
110001011100 6
110100101010 3
101010110100 3
