# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_very_stretched_lucj.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 874596
001101001101 16795
010011010011 15766
000111110010 11951
110010000111 11860
000111010011 11623
010011000111 11476
010110000111 3305
001101000111 3270
000111001101 3191
000111010110 3175
100110100110 2798
011001000111 2338
000111011001 2325
000111100110 1683
100110000111 1644
010101000111 1300
000111101100 1291
101100000111 1262
000111010101 1240
001011010011 1066
010101001101 1053
001101010101 1049
010011001011 1044
010011001101 885
001101010011 884
001011000111 837
000111001011 805
001101001011 757
001011001101 689
011001011001 571
000111110100 556
110100000111 512
001011010101 432
010101001011 419
110010110010 368
001101111000 319
001101011001 302
111000001101 299
011001001101 291
010101010101 281
010011010101 273
001011001011 265
010101010011 260
011001010011 232
010011011001 185
001101011100 149
011100001101 116
010110010011 98
010011010110 92
101100101100 87
101010000111 77
000111101010 67
110010010011 66
010101011001 61
011001010101 55
001101110010 54
110010001101 53
010011110010 53
001110000111 50
010011111000 49
101100001101 45
000111001110 44
110010011001 44
001101101100 42
100101000111 39
111000010011 36
000111100101 36
010110110010 36
011001110010 34
001011101100 33
010110011001 33
100110101100 32
101100001011 32
011001010110 30
010110001101 29
110010101100 28
101100100110 24
100101100101 24
010101111000 23
101100110010 23
100011100011 23
110010001011 20
001011110010 20
001101100110 19
100110010011 18
100110001101 18
110010010110 17
010101010110 17
010011100110 17
001110001110 17
010110010110 16
111000010101 16
011100000111 16
011010001101 16
001101010110 15
111000111000 14
110010010101 13
010110010101 13
000111011100 11
001011111000 11
101100010101 10
110010110100 9
101100010011 9
010101101100 9
001011011100 9
010101110010 9
001110001011 8
011100001011 8
001101011010 8
110100110010 8
100110111000 8
101010110010 8
101010001011 8
010011101100 8
111000100110 8
111000001011 8
010110001011 7
011001100110 7
001011010110 7
011010001011 6
001011101010 6
101010001110 6
100110011001 6
011100010101 6
001011011010 6
001110010101 5
000111111000 5
111000000111 5
001110110010 5
010101100110 4
011100111000 4
011001011100 4
011100011001 4
100110001011 4
010011011100 4
110100001011 4
010110101100 4
100110101010 4
000111011010 4
101100010110 4
010101001110 4
111000110010 3
001011001110 3
100110010101 3
001011110100 3
110010001110 3
110100010011 3
001011100110 3
100110110100 3
010101011100 3
110100101100 3
011010010011 3
011100010011 3
010011101010 2
101010101100 2
010110101010 2
001110101010 2
110100101010 2
110100011001 2
110010101010 2
101010110100 2
110010111000 2
011001110100 2
011010000111 2
011001001011 2
110001010011 2
010011110001 2
100110110010 2
110100010101 2
101010100110 2
101100110100 1
110001001011 1
100101110100 1
101001001011 1
100110100101 1
100101010110 1
011001101010 1
101100011001 1
111000011001 1
101100001110 1
010011110100 1
101100100011 1
100101110010 1
001011011001 1
110010100101 1
001110101100 1
100101001110 1
100101010011 1
110001000111 1
110010100110 1
101010001101 1
001110011010 1
100101100110 1
010101011010 1
110001100101 1
100101101010 1
