# norb=6 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_very_stretched_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
000111000111 328835
010011010011 81282
011001011001 80944
001101001101 78949
100110100110 61534
010011001101 31152
001101010011 30769
010011100110 17404
100110010011 17246
001101100110 17025
100110001101 16874
001110100101 14492
100011010110 14468
100101001110 14444
010110100011 14417
000111011001 12815
011001000111 12705
101100000111 9984
000111110010 9758
000111101100 9641
110010000111 9577
001011010101 9490
010101001011 9129
111000111000 7736
101100101100 6999
110010110010 6677
011001101100 6411
101100011001 6357
011001110010 6295
110010011001 6295
011100101001 5791
101001011100 5780
011010110001 5758
110001011010 5711
110010101100 2498
101100110010 2310
111000010011 2032
001101111000 2012
010011111000 1965
111000001101 1856
110100101010 1517
101010110100 1481
110100110100 1280
101010101010 1279
001011001101 885
001101001011 850
010101010011 488
111000100110 486
001011010011 486
010011010101 484
100110111000 473
010011001011 447
010110010110 309
001110001110 287
110100110010 254
100011100011 250
110010110100 248
010101001101 222
001101010101 220
100101100101 217
101010101100 205
101100101010 190
100110001011 149
001011100110 139
011010011010 138
110001110001 137
101001101001 132
011100011100 124
001110100011 110
100011001110 108
110100000111 94
010110100101 88
100101010110 88
000111110100 85
010101100110 79
100110010101 79
101010000111 50
101001011010 47
011001110100 45
110100011001 45
011010101001 44
110001011100 41
011100110001 34
000111101010 29
111000001011 23
001011111000 22
011001101010 20
101010011001 19
111000010101 11
001011001011 10
110100101100 6
010101010101 6
101100110100 6
010101111000 6
101001110001 3
011100011010 3
110001101001 2
001110010110 1
110010101010 1
010110001110 1
