ordering,perm,E_var,err_var_mHa,retained_J,n_unique,n_alpha_tot,n_beta_tot,top1,gini_alpha,gini_beta,dps_alpha,dps_beta,dim,E_sub,err_sub_mHa,pct_corr
identity,0123456789,-108.65133557031912,192.9648611481838,0.28735360780661073,166,45,44,0.976987,0.9747445333333333,0.9742161363636364,4.5e-05,4.4e-05,225,-108.8047869383356,39.51349313170738,84.62377590008103
q001,1860354297,-108.65347877847748,190.82165298982545,0.23428706230536042,229,49,45,0.971268,0.9760955510204081,0.9740169777777777,4.9e-05,4.5e-05,225,-108.7951488082724,49.15162319490207,80.87320777739265
q002,9452136087,-108.67622646358087,168.07396788642848,0.26064556463694566,241,50,48,0.956758,0.9755838,0.9745610416666667,5e-05,4.8e-05,225,-108.8050739168715,39.2265145957964,84.73545031634501
q003,4651789023,-108.60605782143014,238.24261003716174,0.24865042134856852,134,39,40,0.981076,0.9720120512820513,0.97276135,3.9e-05,4e-05,225,-108.7958902589362,48.410172531106355,81.16173482630619
q004,3820765149,-108.61483987185593,229.46055961136835,0.13771375643410785,73,26,28,0.991018,0.9600159230769231,0.9628905,2.6e-05,2.8e-05,225,-108.745917659561,98.38277190630151,61.71546910924456
q005,9061578423,-108.62087269394358,223.42773752372125,0.20707527171582774,138,39,48,0.984529,0.9722257435897436,0.9774033333333333,3.9e-05,4.8e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q006,0957413862,-108.61264197831923,231.65845314807143,0.19766497378826317,89,23,26,0.989315,0.9543037391304348,0.9595851538461538,2.3e-05,2.6e-05,225,-108.8079497994108,36.35063205649658,85.85456712694744
q007,8730245169,-108.63189269067844,212.40774078886204,0.15481570133015465,131,36,35,0.98414,0.9700393888888889,0.9691913714285715,3.6e-05,3.5e-05,225,-108.794424786597,49.87564487029772,80.5914630200518
q008,2361978450,-108.62219607032935,222.1043611379514,0.21038193396041177,162,40,44,0.980905,0.9723178,0.9748548181818182,4e-05,4.4e-05,225,-108.8009514057571,43.349025710199385,83.1312222482727
q009,7614380529,-108.59423241869676,250.0680127705408,0.1740705301654077,98,38,37,0.991346,0.9725228421052632,0.9717947567567568,3.8e-05,3.7e-05,225,-108.76712525006,77.17518140729851,69.96816048849169
q010,5498601723,-108.58399116879062,260.3092626766852,0.22729081615868418,68,27,25,0.992379,0.9619238518518518,0.95888488,2.7e-05,2.5e-05,225,-108.7594568561067,84.84357536060827,66.98409265324538
q011,3248061579,-108.62342705527037,220.87337619693415,0.20195017782942357,139,43,40,0.987906,0.9749493488372093,0.9730834,4.3e-05,4e-05,225,-108.7916282060192,52.67222544810579,79.50320566111554
q012,5064827391,-108.63983024107876,204.4701903885482,0.2284624206530349,175,44,43,0.974747,0.9743063636363636,0.973736511627907,4.4e-05,4.3e-05,225,-108.8076338222159,36.666609251398086,85.73160821407497
q013,1548392670,-108.63165783102795,212.64260043935224,0.1549904717491945,125,35,35,0.986836,0.9691298857142857,0.9691396571428571,3.5e-05,3.5e-05,225,-108.7880320412339,56.26839023339869,78.10379924937189
q014,4652108397,-108.64790694631193,196.3934851553688,0.28752837822565064,182,39,42,0.956916,0.970166358974359,0.9722685238095238,3.9e-05,4.2e-05,225,-108.805414139892,38.88629157530943,84.86784421504491
q015,4026817395,-108.65528462213075,189.01580933655282,0.23411229188632054,170,44,45,0.975488,0.9743616818181818,0.9749154222222223,4.4e-05,4.5e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
