seed,ordering,perm,E_var,err_var_mHa,retained_J,n_unique,n_alpha_tot,n_beta_tot,top1,dim,E_sub,err_sub_mHa
2026,identity,0123456789,-108.65100860560429,193.29182627400598,0.28735360762012224,167,43,44,0.978734,225,-108.8051917670315,39.10866484679332
2026,p01,2590783416,-108.63330906043248,210.99137144581448,0.21351062229676313,123,35,36,0.986087,225,-108.8185165086574,25.783923220899396
2026,p02,2847319065,-108.59115386425978,253.14656761851495,0.23063359699480662,77,33,32,0.993072,225,-108.766626483855,77.67394802328909
2026,p03,3186970425,-108.62283366776428,221.46676411401245,0.2095571326739993,154,37,39,0.978964,225,-108.7936903108467,50.61012103159612
2026,p04,3976501824,-108.59339540474853,250.90502712976104,0.23294068715981286,94,35,35,0.987827,225,-108.8235122547668,20.788177111498385
2026,p05,0841723956,-108.62879408961064,215.50634226765908,0.20373249106822536,120,41,41,0.989071,225,-108.8135344724155,30.76595946279781
2026,p06,7245831609,-108.64032686019662,203.97357168167218,0.2263090708330261,118,31,32,0.981484,225,-108.8079497994108,36.35063246748871
2026,p07,2519086374,-108.61350002968425,230.80040219404907,0.3044550866294505,135,39,37,0.9855,225,-108.8222589171851,22.041514693199815
2026,p08,5294863710,-108.64571947726827,198.5809546100228,0.2319621453446413,155,38,37,0.975769,225,-108.7956049662684,48.695465609895905
2026,p09,1420693857,-108.61686291812923,227.4375137490665,0.14540540334722948,111,34,33,0.988779,225,-108.7939040084166,50.3964234616916
2026,p10,2013948657,-108.6170659171217,227.23451475658862,0.2019501778630328,119,39,38,0.988896,225,-108.7986788360591,45.621595819199
2026,p11,2059483716,-108.6298705366428,214.42989523549727,0.15481570136774234,138,33,36,0.986214,225,-108.8024056552393,41.894776638997655
2026,p12,0874562139,-108.63590001440605,208.40041747224802,0.20922862182805174,123,35,37,0.987649,225,-108.8074257961212,36.87463575710126
2026,p13,8054372961,-108.6143513393681,229.94909251019635,0.1997790014454616,121,37,41,0.989493,225,-108.8191192863193,25.18114555898876
2026,p14,6579301248,-108.59314368195288,251.15674992541415,0.18054520269627788,79,33,31,0.989657,225,-108.7964739854315,47.82644644679124
2026,p15,8172640953,-108.60786111690781,236.43931497048243,0.2563210383146345,111,31,36,0.986781,225,-108.810371035846,33.92939603229195
2026,p16,0472635918,-108.63065618128186,213.6442505964311,0.27144760702025755,156,37,42,0.970268,225,-108.8174424814557,26.857950422595422
2026,p17,6237098145,-108.60760449300592,236.69593887237284,0.31010495781007363,130,38,37,0.986461,225,-108.8135344724156,30.765959462698333
2026,p18,9752803416,-108.67055627404666,173.744157831635,0.2608203349015658,247,52,46,0.949685,225,-108.8159255600464,28.37487183190035
2026,p19,0836497215,-108.65795767049146,186.34276138683958,0.23706894720772745,155,37,40,0.974722,225,-108.8136269796844,30.673452193894946
2026,p20,2756819403,-108.63777534889714,206.5250829811589,0.27242614883542915,189,40,45,0.964878,225,-108.8134832394555,30.81719242280201
