predictor,spearman_rho,direction,selected_ordering,selected_mean_error_mHa,regret_mHa,normalized_regret,selected_mean_rank,in_top1,in_top3,in_top5,pct_better_than_random
compactness99_beta,-0.21573214876950575,max,identity,26.018159341802516,6.0400536634261925,0.07884950054416283,8.0,False,False,False,69.44399999999999
compactness90_beta,,max,identity,26.018159341802516,6.0400536634261925,0.07884950054416283,8.0,False,False,False,69.44399999999999
compactness90_alpha,,max,identity,26.018159341802516,6.0400536634261925,0.07884950054416283,8.0,False,False,False,69.44399999999999
compactness90_full,,max,identity,26.018159341802516,6.0400536634261925,0.07884950054416283,8.0,False,False,False,69.44399999999999
err_ccsd_lucj_mHa,0.10974358974358973,min,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
compactness999_full,-0.41073873811072653,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
compactness99_alpha,-0.21597901257280197,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
compactness99_full,-0.06962847727851622,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
entropy_beta,-0.2341880341880342,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
entropy_alpha,-0.2341880341880342,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
compactness999_alpha,-0.3933261111875565,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
entropy_full,-0.0864957264957265,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
neff_alpha,-0.1938461538461538,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
neff_full,-0.07555555555555556,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
gini_beta,-0.6218803418803419,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
gini_alpha,-0.6136752136752136,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
gini_full,-0.42632478632478626,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
dps_beta,-0.6174107192021606,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
dps_alpha,-0.594594733779928,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
dps_full,-0.3299709400252122,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
neff_beta,-0.1938461538461538,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
compactness999_beta,-0.37804518653841146,max,p18,27.746229466345085,7.7681237879687615,0.10140848326488577,10.0,False,False,False,61.741
retained_J,-0.3688888888888889,max,p17,47.48664168184291,27.50853600346659,0.35910845258021873,19.0,False,False,False,26.814
