ordering,kind,perm,seed,dim,err_sub_mHa,retained_J,captured,n_unique,top1
identity,named,0123456789,2026,225,31.870454303643214,0.28735360813796657,0.9788639618129475,136,0.978058
identity,named,0123456789,7,225,31.870454303643214,0.28735360813796657,0.9788639618129475,143,0.978091
reverse,named,9876543210,2026,225,31.870454303643214,0.28735360813796657,0.9788639618129477,159,0.977645
reverse,named,9876543210,7,225,31.870454303643214,0.28735360813796657,0.9788639618129477,157,0.977664
max_retainedJ,named,2810974536,2026,225,44.32014149094243,0.319515255718449,0.966754661228433,134,0.981628
max_retainedJ,named,2810974536,7,225,44.32014149094243,0.319515255718449,0.966754661228433,131,0.981661
max_captured_ORACLE,named,1749023586,2026,225,24.26703865324953,0.2661201990928504,0.9831497139805823,161,0.967014
max_captured_ORACLE,named,1749023586,7,225,24.26703865324953,0.2661201990928504,0.9831497139805823,161,0.967264
r000,random,0214985367,2026,225,46.56101398964552,0.23826158134027667,0.9659792814594121,158,0.976492
r000,random,0214985367,7,225,46.56101398964552,0.23826158134027667,0.9659792814594121,146,0.976563
r001,random,2815690473,2026,225,54.92247062583999,0.23061256689966375,0.9334801605062695,58,0.992595
r001,random,2815690473,7,225,54.92247062583999,0.23061256689966375,0.9334801605062695,55,0.992621
r002,random,4638592710,2026,225,72.12048962684037,0.20821075790454702,0.9415751108659167,109,0.981663
r002,random,4638592710,7,225,72.12048962684037,0.20821075790454702,0.9415751108659167,104,0.98169
r003,random,1497852360,2026,225,44.41642877804952,0.17954563116933434,0.965053979900405,128,0.977288
r003,random,1497852360,7,225,44.41642877804952,0.17954563116933434,0.965053979900405,130,0.97732
r004,random,0279863154,2026,225,57.92927856803942,0.23724371762284138,0.9581892860733795,168,0.970999
r004,random,0279863154,7,225,37.69170475914052,0.23724371762284138,0.9581892860733795,161,0.971025
r005,random,7498351260,2026,225,48.35950532704203,0.17291721807606383,0.939421458443877,85,0.990008
r005,random,7498351260,7,225,51.69630671363734,0.17291721807606383,0.939421458443877,84,0.990114
r006,random,7840931256,2026,225,55.482046597944645,0.21550702713843575,0.935170321002877,122,0.983278
r006,random,7840931256,7,225,55.482046597944645,0.21550702713843575,0.935170321002877,139,0.983357
r007,random,5601328497,2026,225,44.32014149094243,0.2094033920324379,0.966754661228433,135,0.982752
r007,random,5601328497,7,225,44.08318695864466,0.2094033920324379,0.966754661228433,132,0.982808
r008,random,5824317906,2026,225,53.456798070243394,0.22313501178697107,0.9352755300970957,130,0.984779
r008,random,5824317906,7,225,57.21219711584524,0.22313501178697107,0.9352755300970957,130,0.98482
r009,random,9180657243,2026,225,31.870454303643214,0.2981556513153804,0.9788639618129474,123,0.986579
r009,random,9180657243,7,225,31.870454303643214,0.2981556513153804,0.9788639618129474,112,0.986606
r010,random,0941768253,2026,225,55.482046597944645,0.21550702713843578,0.9351703210028771,127,0.984395
r010,random,0941768253,7,225,55.482046597944645,0.21550702713843578,0.9351703210028771,114,0.984415
r011,random,4923601587,2026,225,21.654647891949708,0.20625367437817235,0.9823124393334214,115,0.984948
r011,random,4923601587,7,225,21.654647891949708,0.20625367437817235,0.9823124393334214,116,0.984994
r012,random,2957430168,2026,225,51.69630671363734,0.17309198848651955,0.9394214584438768,90,0.987473
r012,random,2957430168,7,225,51.69630671363734,0.17309198848651955,0.9394214584438768,90,0.987505
r013,random,1726835490,2026,225,31.307073886935655,0.2594707562075025,0.9762021976868118,152,0.966001
r013,random,1726835490,7,225,31.307073886935655,0.2594707562075025,0.9762021976868118,152,0.966219
r014,random,8345709126,2026,225,24.333033392636594,0.2659271365202244,0.965053979900405,155,0.979862
r014,random,8345709126,7,225,44.416428777935835,0.2659271365202244,0.965053979900405,161,0.979896
r015,random,1428750963,2026,225,47.60473525284681,0.21235730948417023,0.960926655207693,145,0.981758
r015,random,1428750963,7,225,47.60473525284681,0.21235730948417023,0.960926655207693,127,0.981797
r016,random,6451380927,2026,225,44.416428777935835,0.2327654506285716,0.965053979900405,90,0.990456
r016,random,6451380927,7,225,29.532524992049503,0.2327654506285716,0.965053979900405,85,0.990519
r017,random,1549632870,2026,225,50.520949364340595,0.16324745728021547,0.9616570316585733,142,0.98176
r017,random,1549632870,7,225,50.520949364340595,0.16324745728021547,0.9616570316585733,149,0.981798
r018,random,5946217038,2026,225,103.30311883573984,0.13753898562664227,0.8449034091971127,94,0.983622
r018,random,5946217038,7,225,103.30311883573984,0.13753898562664227,0.8449034091971127,93,0.983656
r019,random,9743061528,2026,225,44.32014149094243,0.18682360824105274,0.966754661228433,147,0.977232
r019,random,9743061528,7,225,44.32014149094243,0.18682360824105274,0.966754661228433,138,0.977284
r020,random,8724615390,2026,225,53.750813935437236,0.23376228455392925,0.9620023579000733,145,0.973865
r020,random,8724615390,7,225,49.22033479513743,0.23376228455392925,0.9620023579000733,149,0.974022
r021,random,4698501327,2026,225,103.7849887429445,0.21885906046358275,0.8036495659782102,56,0.993394
r021,random,4698501327,7,225,103.7849887429445,0.21885906046358275,0.8036495659782102,55,0.993425
r022,random,4951072386,2026,225,46.56101398964552,0.22863719121111875,0.9659792814594121,135,0.975874
r022,random,4951072386,7,225,46.56101398964552,0.22863719121111875,0.9659792814594121,146,0.975972
r023,random,8279065143,2026,225,44.08318695864466,0.24236881096565197,0.9659647090422337,161,0.978932
r023,random,8279065143,7,225,44.49211975874334,0.24236881096565197,0.9659647090422337,141,0.979006
r024,random,9851426730,2026,225,49.22033479513743,0.19236510961944825,0.9620023579000732,154,0.973567
r024,random,9851426730,7,225,49.22033479513743,0.19236510961944825,0.9620023579000732,145,0.973696
r025,random,3048251697,2026,225,51.571220196535705,0.15796541893321406,0.9394902763932311,125,0.983151
r025,random,3048251697,7,225,51.571220196535705,0.15796541893321406,0.9394902763932311,130,0.983221
r026,random,9271865043,2026,225,53.456798070243394,0.23606937565712086,0.9622303894996779,141,0.975078
r026,random,9271865043,7,225,50.983597491949695,0.23606937565712086,0.9622303894996779,149,0.975188
r027,random,6150294738,2026,225,120.18031709634158,0.12928200003583104,0.8473286705237688,58,0.991059
r027,random,6150294738,7,225,125.40912844984575,0.12928200003583104,0.8473286705237688,54,0.991113
r028,random,3759082146,2026,225,37.461073368746156,0.26694500023765955,0.9726632618918942,132,0.980991
r028,random,3759082146,7,225,37.461073368746156,0.26694500023765955,0.9726632618918942,117,0.981034
r029,random,7258614039,2026,81,215.935654925147,0.11402603073876035,0.8421637265189896,25,0.99473
r029,random,7258614039,7,90,196.3619656533382,0.11402603073876035,0.8421637265189896,28,0.994738
r030,random,5701329648,2026,225,75.87376258564404,0.18071997313505495,0.9148523085428775,88,0.987288
r030,random,5701329648,7,225,69.17908262023786,0.18071997313505495,0.9148523085428775,93,0.987265
r031,random,8493021756,2026,225,44.9164590125406,0.19112710482486686,0.9665290386112734,195,0.969009
r031,random,8493021756,7,225,44.9164590125406,0.19112710482486686,0.9665290386112734,181,0.969138
r032,random,9172483560,2026,225,43.769448361544505,0.2027539491470899,0.9762021976868118,127,0.983156
r032,random,9172483560,7,225,31.307073886935655,0.2027539491470899,0.9762021976868118,124,0.983225
r033,random,3964175820,2026,225,49.765962458337754,0.16324745728021545,0.9651212314269845,140,0.985126
r033,random,3964175820,7,225,44.673956369436496,0.16324745728021545,0.9651212314269845,132,0.985146
r034,random,6542307819,2026,225,48.91086234493969,0.2576706176853187,0.9579916591064588,95,0.989873
r034,random,6542307819,7,225,49.68586330053881,0.2576706176853187,0.9579916591064588,95,0.990006
r035,random,2158903674,2026,225,49.22033479513743,0.26047032776276724,0.962002357900073,162,0.975297
r035,random,2158903674,7,225,49.22033479513743,0.26047032776276724,0.962002357900073,167,0.975416
r036,random,4936781025,2026,225,51.69630671363734,0.23391922955812017,0.9394214584438769,93,0.988658
r036,random,4936781025,7,225,51.69630671363734,0.23391922955812017,0.9394214584438769,96,0.988695
r037,random,0567832491,2026,225,38.88629113924935,0.25536352658212713,0.9707238680482774,209,0.953094
r037,random,0567832491,7,225,36.133716375346125,0.25536352658212713,0.9707238680482774,194,0.953064
