system,noise_level,pert_seed,err_mHa
H10,0.0,-1,300.31919403956664
H10,1e-14,0,372.8185266277757
H10,1e-14,1,373.31813223933
H10,1e-14,2,373.62816291595635
H10,1e-14,3,373.61143208777304
H10,1e-14,4,373.31813223933
H10,1e-12,0,373.9233919596865
H10,1e-12,1,300.55461946787784
H10,1e-12,2,371.535602636353
H10,1e-12,3,373.6080733203604
H10,1e-12,4,373.31813223933
H10,1e-10,0,373.6340237159652
H10,1e-10,1,297.9623516909138
H10,1e-10,2,371.1798136224456
H10,1e-10,3,243.29374601673948
H10,1e-10,4,243.63098840342357
H10,1e-08,0,300.4246008587605
H10,1e-08,1,299.5567539255344
H10,1e-08,2,299.28774790293124
H10,1e-08,3,305.17137617049883
H10,1e-08,4,295.6181795063548
