system,noise_level,pert_seed,err_mHa
N2,0.0,-1,31.870454303643214
N2,1e-14,0,46.903474112937715
N2,1e-14,1,46.903474112937715
N2,1e-14,2,38.97352386894681
N2,1e-14,3,31.870454303643214
N2,1e-14,4,31.870454303643214
N2,1e-12,0,39.052956374447945
N2,1e-12,1,38.674623052443735
N2,1e-12,2,31.307073886935655
N2,1e-12,3,38.72117934214714
N2,1e-12,4,24.042860320136583
N2,1e-10,0,31.870454303643214
N2,1e-10,1,31.870454303643214
N2,1e-10,2,39.226514159736325
N2,1e-10,3,31.870454303643214
N2,1e-10,4,31.870454303643214
N2,1e-08,0,31.870454303643214
N2,1e-08,1,38.674623052443735
N2,1e-08,2,31.85375112644806
N2,1e-08,3,61.081189304246664
N2,1e-08,4,31.870454303643214
