tag,stored,computed,diff,tol,ok,wall_s,note
h10_identity_default,300.31919403956664,300.31919403956664,0.0,0.001,True,35.9,SHIPPED cache
h10_identity_best_012,224.59889961938285,224.59889961938285,0.0,0.001,True,38.4,
h10_physical_default,389.71,389.7149558584312,0.0049558584312308085,0.02,True,38.1,
h10_physical_best_247,172.149392,172.14939218691416,1.8691414993554645e-07,0.001,True,35.3,
h10_identity_noab,458.6996615694874,458.6996615694874,0.0,0.001,True,35.0,
h10_newchain07_(2, 4, 9),219.3822,219.38220008660636,8.660634875923279e-08,0.001,True,35.2,
h10_newchain11_(0, 2, 5),222.262024,222.26202404509098,4.50909851679171e-08,0.001,True,38.7,
h10_newchain10_(5, 6, 7),458.378461,458.3784609455748,-5.442524297905038e-08,0.001,True,40.2,
h10_newchain03_(1, 2, 9),184.070279,184.07027874691016,-2.530898370878276e-07,0.001,True,36.8,
n2_identity_default,31.870454303643218,31.870454303643214,-3.552713678800501e-15,1e-06,True,27.4,SHIPPED cache
n2_identity_best_019,24.267039,24.26703865324953,-3.467504718912551e-07,0.001,True,27.8,
n2_unmasked_identity_energy,-108.8236445639776,-108.8236445639776,0.0,1e-09,True,29.1,exact_bit tolerance
n2_unmasked_rand_seed101_energy,-108.8236445639776,-108.8236445639776,0.0,1e-09,True,23.5,exact_bit tolerance
n2_unmasked_rand_seed102_energy,-108.8236445639776,-108.8236445639776,0.0,1e-09,True,23.7,exact_bit tolerance
n2_unmasked_rand_seed103_energy,-108.8236445639776,-108.8236445639776,0.0,1e-09,True,27.3,exact_bit tolerance
